DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 25,@ TB,L 3-2,1.0,0,0,0,0,0,2,1,0,11,3,-,-,-,0.83
Jul 23,@ TB,L 7-6,1.0,0,0,0,0,0,1,1,1,15,3,-,-,-,0.87
Jul 20,vs NYM,L 7-5,1.0,1,1,1,0,0,1,2,1,20,4,-,-,-,0.92
Jul 11,@ BAL,W 9-0,2.0,2,0,0,0,0,2,2,4,25,8,-,-,-,0.48
Jul 9,@ BAL,L 5-4,2.0,2,0,0,0,0,3,2,2,26,7,-,-,-,0.54
Jul 3,vs ATL,W 8-5,1.2,1,0,0,0,0,4,1,1,29,6,-,W(2-0),-,0.61
Jun 19,vs SEA,W 7-2,2.0,0,0,0,0,0,3,1,2,28,6,-,-,-,0.69
May 28,vs HOU,L 5-1,2.1,2,1,1,1,0,0,3,6,35,9,-,-,-,0.82
May 26,vs LAA,L 11-4,2.0,0,0,0,0,0,2,3,1,25,6,-,-,-,0.00
May 22,@ TEX,L 6-4,1.2,0,0,0,0,3,3,1,0,40,7,-,-,-,0.00
May 20,@ KC,W 10-1,1.0,0,0,0,0,0,2,0,1,13,3,-,-,-,0.00
May 12,vs OAK,W 7-6,2.0,0,0,0,0,2,4,1,1,32,8,-,W(1-0),-,0.00
Apr 28,@ LAA,W 11-1,2.0,4,0,0,0,1,1,5,3,36,10,-,-,-,0.00
"Previously with WSH, Acquired by NYY"
Apr 18,@ NYM,L 11-5,0.1,1,1,1,1,0,0,1,1,7,2,-,-,-,13.06
Apr 16,@ NYM,W 8-6,1.0,2,2,2,1,1,1,2,2,21,6,-,W(1-1),-,12.60
Apr 11,vs ATL,L 5-3,5.1,3,2,2,2,2,5,3,11,76,21,57,-,-,12.00
Apr 3,@ ATL,L 13-6,3.2,10,10,10,2,3,4,4,13,75,24,2,L(0-1),-,24.55
