DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ TOR,W 6-1,4,1,2,1,0,0,0,1,2,0,0,.600,.750,1.350,.500
Mar 30,@ TOR,W 4-2,4,0,0,0,0,0,0,0,1,0,0,.333,.375,.708,.250
Mar 31,@ TOR,L 5-3,4,0,0,0,0,0,0,0,1,0,0,.231,.250,.481,.167
Apr 1,@ TOR,L 7-4,3,0,1,0,0,0,0,2,2,0,0,.333,.267,.600,.200
Apr 3,vs TB,W 11-4,3,2,2,0,0,0,1,2,1,0,0,.435,.333,.768,.278
Apr 4,vs TB,W 7-2,3,2,1,0,0,1,2,1,1,0,0,.444,.476,.920,.286
Apr 5,vs BAL,L 5-2,4,1,1,0,0,1,1,0,0,0,0,.419,.560,.979,.280
Apr 6,vs BAL,L 7-3,4,0,1,0,0,0,1,1,3,1,0,.432,.517,.949,.276
Apr 7,vs BAL,W 8-3,4,1,1,1,0,0,2,0,0,0,0,.415,.515,.930,.273
Apr 8,vs BAL,L 8-7,5,1,2,0,0,0,0,2,2,0,1,.438,.500,.938,.289
Apr 10,@ BOS,L 14-1,4,1,3,0,0,1,1,0,0,0,0,.462,.595,1.057,.333
Apr 11,@ BOS,W 10-7,4,2,2,0,0,0,0,1,2,0,0,.474,.587,1.061,.348
Apr 12,@ BOS,L 6-3,3,1,1,1,0,0,0,1,0,0,0,.475,.592,1.067,.347
Apr 13,@ DET,W 8-6,4,1,1,0,0,0,1,1,2,1,0,.470,.566,1.036,.340
Apr 16,vs MIA,W 12-1,4,2,2,0,0,1,2,1,0,0,0,.479,.614,1.093,.351
Apr 17,vs MIA,L 9-1,2,0,0,0,0,0,0,2,1,0,0,.480,.593,1.073,.339
Apr 19,vs TOR,W 4-3,3,1,1,0,0,1,1,1,1,0,0,.481,.629,1.110,.339
Apr 20,vs TOR,L 8-5,5,0,1,0,0,0,0,0,3,0,0,.464,.597,1.061,.328
Apr 21,vs TOR,W 9-1,4,2,2,0,0,1,3,1,0,0,0,.472,.634,1.106,.338
Apr 22,vs TOR,W 5-1,3,0,0,0,0,0,0,1,1,0,0,.462,.608,1.070,.324
Apr 23,vs MIN,W 14-1,3,2,1,1,0,0,0,2,1,0,0,.469,.610,1.079,.325
Apr 24,vs MIN,W 8-3,5,2,3,1,0,1,1,0,2,0,0,.476,.659,1.135,.341
Apr 25,vs MIN,W 7-4,2,0,1,0,0,0,1,2,1,0,0,.481,.655,1.136,.345
Apr 26,vs MIN,W 4-3,2,0,0,0,0,0,0,2,2,0,0,.482,.640,1.122,.337
Apr 27,@ LAA,W 4-3,5,0,0,0,0,0,0,0,4,0,0,.462,.604,1.066,.319
Apr 28,@ LAA,W 11-1,6,2,3,1,0,0,1,0,3,0,0,.463,.608,1.071,.330
Apr 29,@ LAA,W 2-1,4,0,0,0,0,0,0,0,3,0,0,.449,.584,1.033,.317
Apr 30,@ HOU,L 2-1,0,0,0,0,0,0,0,1,0,0,0,.453,.584,1.037,.317
May 1,@ HOU,W 4-0,4,1,1,0,0,0,0,0,2,0,0,.447,.571,1.018,.314
May 2,@ HOU,W 4-0,4,0,1,1,0,0,0,0,0,0,0,.441,.569,1.010,.312
May 3,@ HOU,W 6-5,5,0,0,0,0,0,1,0,0,0,0,.426,.544,.970,.298
May 4,vs CLE,W 7-6,4,1,2,1,0,1,2,1,0,0,0,.432,.576,1.008,.305
May 5,vs CLE,W 5-2,4,0,0,0,0,0,0,0,3,0,0,.420,.557,.977,.295
May 6,vs CLE,W 7-4,3,0,1,1,0,0,2,1,2,0,0,.422,.560,.982,.296
May 8,vs BOS,W 3-2,4,0,1,0,0,0,1,0,2,0,0,.418,.550,.968,.295
May 9,vs BOS,W 9-6,4,3,3,0,0,1,3,1,0,0,0,.429,.579,1.008,.308
May 10,vs BOS,L 5-4,2,0,1,0,0,0,1,3,0,0,0,.440,.578,1.018,.311
May 11,vs OAK,L 10-5,4,1,1,0,0,1,4,1,2,0,0,.439,.590,1.029,.309
May 12,vs OAK,W 7-6,5,1,1,0,0,1,2,1,3,0,0,.436,.597,1.033,.306
May 13,vs OAK,W 6-2,4,2,2,1,0,0,1,1,1,0,0,.440,.601,1.041,.311
May 15,@ WSH,L 5-3,3,0,0,0,0,0,0,2,3,0,0,.439,.589,1.028,.305
May 18,@ KC,L 5-2,4,0,0,0,0,0,0,0,0,0,0,.430,.574,1.004,.297
May 19,@ KC,W 8-3,5,0,0,0,0,0,0,0,3,0,0,.419,.556,.975,.288
May 20,@ KC,W 10-1,4,0,0,0,0,0,0,1,1,0,0,.414,.543,.957,.280
May 21,@ TEX,W 10-5,5,2,2,1,0,1,1,0,1,0,0,.413,.562,.975,.284
May 22,@ TEX,L 6-4,3,0,0,0,0,0,0,0,2,0,0,.410,.552,.962,.279
May 23,@ TEX,L 12-10,5,2,2,0,0,1,2,0,0,0,0,.410,.565,.975,.282
May 25,vs LAA,W 2-1,3,0,0,0,0,0,0,1,2,0,0,.407,.556,.963,.278
May 26,vs LAA,L 11-4,2,1,2,0,0,1,1,2,0,1,1,.418,.577,.995,.286
May 27,vs LAA,W 3-1,2,1,1,0,0,0,0,2,1,0,0,.424,.576,1.000,.288
May 28,vs HOU,L 5-1,4,0,0,0,0,0,0,0,2,0,0,.416,.564,.980,.282
May 29,vs HOU,W 6-5,4,1,2,1,0,1,1,1,1,0,0,.420,.583,1.003,.286
May 30,vs HOU,W 5-3,4,1,2,0,0,0,0,0,1,0,0,.421,.582,1.003,.291
Jun 1,@ BAL,W 4-1,5,1,1,0,0,1,1,0,2,0,0,.417,.587,1.004,.289
Jun 2,@ BAL,W 8-5,5,0,1,1,0,0,0,0,3,0,0,.413,.583,.996,.286
Jun 4,@ DET,W 7-4,4,0,0,0,0,0,0,1,3,0,0,.409,.571,.980,.281
Jun 4,@ DET,L 4-2,5,0,0,0,0,0,0,0,5,0,0,.401,.558,.959,.274
Jun 5,@ TOR,W 7-2,Did not play
Jun 6,@ TOR,W 3-0,5,1,1,0,0,1,2,1,1,0,0,.399,.564,.963,.273
Jun 8,@ NYM,W 4-1,2,0,0,0,0,0,1,1,1,0,0,.397,.559,.956,.270
Jun 9,@ NYM,W 4-3,4,1,1,0,0,1,1,0,0,0,0,.395,.566,.961,.270
Jun 10,@ NYM,L 2-0,1,0,0,0,0,0,0,0,0,0,0,.394,.564,.958,.269
Jun 12,vs WSH,W 3-0,3,0,1,0,0,0,0,1,0,0,0,.395,.561,.956,.270
Jun 13,vs WSH,L 5-4,3,1,1,1,0,0,1,0,1,0,0,.393,.562,.955,.270
Jun 14,vs TB,W 4-3,4,1,2,0,0,0,0,0,2,0,0,.394,.561,.955,.274
Jun 15,vs TB,W 5-0,4,2,2,1,0,0,0,0,1,0,0,.396,.564,.960,.278
Jun 16,vs TB,W 4-1,4,1,2,2,0,0,0,0,0,0,0,.397,.571,.968,.282
Jun 17,vs TB,L 3-1,3,0,0,0,0,0,0,1,2,0,0,.395,.565,.960,.278
Jun 18,@ WSH,W 4-2,3,0,0,0,0,0,0,2,2,1,0,.395,.558,.953,.275
Jun 19,vs SEA,W 7-2,4,0,1,0,0,0,1,0,1,0,0,.394,.553,.947,.275
Jun 20,vs SEA,W 7-5,5,0,3,1,0,0,1,0,2,0,0,.397,.558,.955,.281
Jun 21,vs SEA,W 4-3,3,1,1,0,0,1,2,1,1,0,0,.398,.567,.965,.281
