DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 25,vs PIT,W 4-0,0.2,1,0,0,0,0,0,2,0,7,2,-,-,-,0.00
Jul 24,vs PIT,L 9-4,1.0,0,0,0,0,0,0,2,1,13,3,-,-,-,0.00
Jul 20,@ TEX,W 9-8,0.2,1,0,0,0,0,0,2,0,4,2,-,-,H(1),0.00
"Previously with SD, Acquired by CLE"
Jul 15,vs CHC,L 7-4,1.0,2,1,1,0,1,2,2,1,23,7,-,-,-,3.17
Jul 13,vs CHC,L 5-4,1.0,1,1,0,0,0,0,4,0,12,4,-,L(3-5),-,3.04
Jul 12,vs LAD,L 3-2,1.0,0,0,0,0,0,1,2,0,12,3,-,-,-,3.11
Jul 11,vs LAD,L 4-2,1.0,0,0,0,0,1,0,1,1,4,3,-,-,-,3.18
Jul 8,@ ARI,W 4-3,1.0,0,0,0,0,0,0,2,1,13,3,-,-,-,3.25
Jul 6,@ ARI,L 3-1,0.2,0,0,0,0,1,1,1,0,14,3,-,-,-,3.32
Jul 4,@ OAK,L 4-2,0.2,0,0,0,0,0,1,1,0,4,2,-,-,-,3.38
Jul 3,@ OAK,L 6-2,1.0,1,1,1,1,0,0,3,1,14,4,-,-,-,3.43
Jul 1,vs PIT,L 7-5,1.0,0,0,0,0,0,1,1,1,13,3,-,-,-,3.29
Jun 25,@ TEX,L 7-4,0.1,2,1,1,0,0,0,2,1,8,3,-,-,BlSv(1),3.38
Jun 23,@ SF,L 5-3,1.1,3,2,2,0,0,0,4,3,26,7,-,L(3-4),-,3.18
Jun 22,@ SF,W 6-2,0.1,0,0,0,0,0,1,0,0,5,1,-,-,H(5),2.82
Jun 19,vs OAK,L 4-2,1.0,2,2,2,1,0,0,0,5,13,5,-,L(3-3),-,2.84
Jun 17,@ ATL,L 4-1,1.1,1,0,0,0,0,1,1,3,17,5,-,-,-,2.43
Jun 14,@ ATL,L 4-2,1.0,1,1,0,0,1,1,2,2,14,6,-,-,-,2.52
Jun 12,@ STL,W 4-2,3.0,1,0,0,0,0,3,3,3,28,9,-,W(3-2),-,2.60
Jun 6,vs ATL,W 3-1,1.0,0,0,0,0,0,3,0,0,12,3,-,-,-,2.84
Jun 3,vs CIN,W 6-3,1.0,0,0,0,0,0,0,1,2,9,3,-,-,H(4),2.93
Jun 2,vs CIN,W 8-2,1.0,1,0,0,0,0,3,0,1,25,5,-,-,-,3.03
May 29,vs MIA,W 9-5,1.0,0,0,0,0,0,1,2,0,13,3,-,-,H(3),3.14
May 27,@ LAD,L 6-1,2.0,5,2,2,0,0,0,6,4,27,10,-,L(2-2),-,3.25
May 25,@ LAD,L 4-1,1.0,0,0,0,0,0,1,0,2,6,3,-,-,-,2.81
May 17,@ PIT,L 5-4,1.0,1,0,0,0,0,1,1,2,16,4,-,-,-,2.92
May 12,vs STL,W 2-1,1.0,0,0,0,0,0,1,1,1,10,3,-,W(2-1),-,3.04
May 10,vs STL,L 2-1,1.0,1,0,0,0,0,2,0,2,15,4,-,-,-,3.18
May 8,vs WSH,L 4-0,1.0,2,1,1,0,1,2,1,2,30,6,-,-,-,3.32
May 5,vs LAD,W 7-4,0.1,1,1,1,0,1,1,0,1,18,3,-,-,-,3.05
May 4,vs LAD,L 4-0,1.0,3,1,1,0,0,1,1,3,22,5,-,-,-,2.66
Apr 30,@ SF,L 6-5,1.0,0,0,0,0,1,0,2,1,10,4,-,-,H(2),2.33
Apr 28,vs NYM,W 12-2,1.1,0,0,0,0,0,1,2,1,12,4,-,-,-,2.45
Apr 24,@ COL,L 8-0,2.0,2,1,1,0,0,3,2,2,21,7,-,-,-,2.65
Apr 21,@ ARI,L 6-2,1.0,3,1,1,0,0,1,1,3,20,5,-,-,-,2.40
Apr 18,vs LAD,L 13-4,1.0,2,1,1,0,0,2,2,1,20,5,-,-,-,1.93
Apr 16,vs LAD,L 10-3,3.0,0,0,0,0,1,3,4,2,37,10,-,-,-,1.38
Apr 14,vs SF,W 5-4,2.0,1,0,0,0,0,3,0,3,24,6,-,W(1-1),-,1.80
Apr 11,@ COL,L 6-4,3.0,2,1,1,0,1,4,4,3,41,12,-,-,-,2.25
Apr 10,@ COL,W 5-2,0.1,0,0,0,0,0,0,1,0,2,1,-,-,H(1),1.80
Apr 8,@ HOU,L 4-1,2.0,0,0,0,0,0,3,3,0,26,6,-,-,-,1.93
Apr 4,vs COL,L 5-2,1.0,0,0,0,0,0,1,1,1,11,3,-,-,-,3.38
Apr 2,vs COL,L 7-4,0.1,0,0,0,0,1,0,1,0,9,2,-,-,-,5.40
Mar 31,vs MIL,L 7-3,0.1,1,0,0,0,0,1,0,1,8,2,-,-,-,6.75
Mar 29,vs MIL,L 2-1,1.0,3,1,1,0,0,1,3,1,16,5,-,L(0-1),-,9.00
