DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 30,@ DET,W 13-10,7,2,3,1,0,0,0,0,3,0,0,.429,.571,1.000,.429
Apr 1,@ DET,W 1-0,3,1,1,0,0,0,0,1,1,0,1,.455,.500,.955,.400
Apr 1,@ DET,W 8-6,Did not play
Apr 2,vs MIN,W 5-4,1,0,0,0,0,0,0,0,0,0,0,.417,.455,.872,.364
Apr 4,vs MIN,L 7-3,Did not play
Apr 5,vs CIN,W 5-2,1,0,0,0,0,0,0,0,0,0,0,.385,.417,.802,.333
Apr 6,vs CIN,W 14-3,1,0,0,0,0,0,0,0,0,0,0,.357,.385,.742,.308
Apr 7,vs CIN,L 7-4,4,0,1,0,0,0,1,0,0,0,0,.333,.353,.686,.294
Apr 8,vs CIN,W 5-0,Did not play
Apr 10,@ CHC,W 8-5,1,0,0,0,0,0,0,0,0,0,0,.316,.333,.649,.278
Apr 11,@ CHC,L 13-5,1,0,0,0,0,0,0,0,1,0,0,.300,.316,.616,.263
Apr 12,@ CHC,W 6-1,5,1,2,0,0,1,1,0,0,0,0,.320,.458,.778,.292
Apr 13,@ MIA,L 7-2,1,0,0,0,0,0,0,0,0,0,0,.308,.440,.748,.280
Apr 14,@ MIA,W 1-0,0,0,0,0,0,0,0,1,0,0,1,.333,.440,.773,.280
Apr 15,@ MIA,W 7-3,3,1,0,0,0,0,0,0,0,0,0,.300,.393,.693,.250
Apr 16,vs COL,L 6-2,4,0,0,0,0,0,0,0,1,0,0,.265,.344,.609,.219
Apr 17,vs COL,L 2-0,1,0,0,0,0,0,0,0,0,0,0,.257,.333,.590,.212
Apr 18,vs COL,W 10-2,5,2,3,0,0,0,1,0,1,0,0,.300,.368,.668,.263
Apr 19,@ PHI,L 7-0,4,0,0,0,0,0,0,0,3,0,0,.273,.333,.606,.238
Apr 20,@ PHI,L 2-1,5,0,0,0,0,0,0,0,1,0,0,.245,.298,.543,.213
Apr 21,@ PHI,L 6-2,1,0,1,0,0,0,0,0,0,0,0,.260,.313,.573,.229
Apr 22,@ PHI,L 3-2,1,0,0,0,0,0,0,0,0,0,0,.255,.306,.561,.224
Apr 25,vs DET,L 13-10,6,1,1,0,0,0,0,0,0,0,0,.246,.291,.537,.218
Apr 25,vs DET,W 8-3,1,0,0,0,0,0,0,0,1,0,0,.241,.286,.527,.214
Apr 26,vs DET,W 1-0,4,0,2,1,0,0,0,0,1,0,0,.258,.317,.575,.233
Apr 27,vs STL,W 6-5,3,0,0,0,0,0,0,0,0,0,0,.246,.302,.548,.222
Apr 28,vs STL,W 6-2,2,1,2,0,0,0,0,1,0,0,0,.279,.323,.602,.246
Apr 29,vs STL,W 5-0,3,0,1,0,0,0,1,0,1,0,0,.292,.324,.616,.250
Apr 30,@ WSH,L 3-2,4,0,1,0,0,0,0,0,2,0,0,.289,.319,.608,.250
May 1,@ WSH,L 12-4,4,0,0,0,0,0,0,1,1,0,0,.284,.303,.587,.237
May 2,@ WSH,L 9-3,2,0,1,0,0,0,0,0,1,0,0,.289,.308,.597,.244
May 3,@ WSH,L 3-1,4,0,1,0,0,0,0,0,0,0,0,.287,.305,.592,.244
May 4,@ MIL,W 6-4,3,0,0,0,0,0,0,0,2,0,0,.278,.294,.572,.235
May 5,@ MIL,L 5-3,3,1,2,0,0,0,0,0,0,0,0,.290,.307,.597,.250
May 6,@ MIL,W 9-0,4,1,2,0,0,1,1,1,0,0,0,.306,.348,.654,.261
May 8,@ CHW,W 10-6,4,1,0,0,0,0,0,1,0,0,0,.301,.333,.634,.250
May 9,@ CHW,W 6-5,3,0,0,0,0,0,0,0,0,0,0,.292,.323,.615,.242
May 11,vs SF,W 11-2,0,1,0,0,0,0,0,1,0,0,0,.299,.323,.622,.242
May 12,vs SF,W 6-5,3,0,0,0,0,0,0,0,0,0,0,.291,.314,.605,.235
May 13,vs SF,L 5-0,2,0,0,0,0,0,0,0,0,0,0,.286,.308,.594,.231
May 15,vs CHW,W 7-0,4,2,1,0,0,1,1,0,0,0,0,.291,.333,.624,.231
May 16,vs CHW,W 3-2,1,0,0,0,0,0,0,0,0,0,0,.288,.330,.618,.229
May 17,vs SD,W 5-4,Did not play
May 18,vs SD,L 3-2,2,2,0,0,0,0,0,3,0,0,0,.301,.324,.625,.225
May 19,vs SD,L 6-2,1,0,0,0,0,0,0,0,0,0,0,.298,.321,.619,.223
May 20,vs SD,L 8-5,1,0,1,0,0,0,0,0,0,0,0,.304,.327,.631,.230
May 22,@ CIN,L 7-2,Did not play
May 23,@ CIN,W 5-4,1,0,0,0,0,0,0,0,0,0,0,.302,.325,.627,.228
May 24,@ CIN,L 5-4,3,1,1,0,0,0,0,1,1,0,0,.308,.325,.633,.231
May 25,vs STL,W 8-1,1,0,0,0,0,0,0,0,0,0,0,.305,.322,.627,.229
May 26,vs STL,L 4-1,1,0,0,0,0,0,0,0,0,0,0,.303,.319,.622,.227
May 27,vs STL,L 6-4,3,1,1,0,1,0,2,0,0,0,0,.304,.336,.640,.230
May 28,vs CHC,L 7-0,1,0,0,0,0,0,0,0,0,0,0,.301,.333,.634,.228
May 29,vs CHC,L 8-6,1,1,1,0,0,0,0,0,0,0,0,.307,.339,.646,.234
May 30,vs CHC,W 2-1,0,0,0,0,0,0,0,1,0,0,0,.312,.339,.651,.234
May 31,@ STL,L 10-8,0,1,0,0,0,0,0,1,0,0,0,.317,.339,.656,.234
Jun 1,@ STL,W 4-0,4,2,2,1,1,0,0,0,0,0,0,.322,.367,.689,.242
Jun 2,@ STL,L 3-2,Did not play
Jun 3,@ STL,L 5-0,4,0,0,0,0,0,0,0,1,0,0,.313,.356,.669,.235
Jun 5,vs LAD,L 5-0,0,0,0,0,0,0,0,1,0,0,0,.318,.356,.674,.235
Jun 6,vs LAD,W 11-9,0,0,0,0,0,0,0,0,0,0,0,.318,.356,.674,.235
Jun 7,vs LAD,L 8-7,3,0,1,0,0,0,0,0,0,0,0,.318,.356,.674,.237
Jun 8,@ CHC,L 3-1,Did not play
Jun 9,@ CHC,L 2-0,Did not play
Jun 21,vs ARI,L 9-3,3,0,1,0,0,0,0,0,0,0,0,.318,.355,.673,.239
Jun 22,vs ARI,L 2-1,0,0,0,0,0,0,0,1,0,0,0,.323,.355,.678,.239
Jul 25,@ CLE,L 4-0,3,0,1,1,0,0,0,0,1,0,0,.323,.362,.685,.241
