DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 24,vs HOU,L 8-2,0.2,0,0,0,0,0,2,0,0,8,2,-,-,-,1.52
Jul 21,@ ARI,W 6-5,1.0,0,0,0,0,0,2,1,0,15,3,-,-,H(21),1.54
Jul 20,@ ARI,W 11-10,1.1,2,1,0,0,1,1,1,5,27,8,-,-,Sv(3),1.58
Jul 14,vs SEA,W 4-1,0.2,0,0,0,0,0,1,1,0,6,2,-,-,H(20),1.62
Jul 13,vs SEA,W 10-7,1.0,0,0,0,0,0,2,1,0,11,3,-,-,H(19),1.65
Jul 12,vs ARI,W 5-1,1.1,1,0,0,0,1,1,1,3,18,6,-,-,H(18),1.69
Jul 10,vs ARI,L 5-3,1.0,1,0,0,0,1,0,1,2,13,4,-,-,-,1.74
Jul 7,@ SEA,W 5-1,2.0,2,0,0,0,0,3,1,3,30,7,-,-,H(17),1.79
Jul 1,@ LAD,L 6-4,0.1,4,2,2,1,0,1,2,2,22,5,-,L(4-2),-,1.88
Jun 30,@ LAD,W 3-1,1.0,1,0,0,0,0,1,2,1,15,4,-,-,Sv(2),1.42
Jun 28,@ SF,W 9-8,1.0,3,2,2,0,2,2,2,2,29,8,-,W(4-1),BlSv(2),1.46
Jun 26,@ SF,L 3-2,1.2,1,1,1,0,3,2,1,3,35,9,-,L(3-1),-,1.00
Jun 24,vs MIA,L 8-5,1.2,0,0,0,0,0,2,2,0,19,4,-,-,-,0.79
Jun 20,vs NYM,W 10-8,1.0,1,0,0,0,0,1,1,2,13,4,-,-,H(16),0.83
Jun 19,vs NYM,W 10-8,1.1,0,0,0,0,0,3,1,0,18,4,-,-,H(15),0.85
Jun 17,@ TEX,L 13-12,1.0,1,0,0,0,0,1,3,0,19,4,-,-,H(14),0.89
Jun 15,@ TEX,W 9-5,1.0,0,0,0,0,1,2,1,0,29,5,-,-,H(13),0.92
May 27,vs CIN,W 8-2,0.2,0,0,0,0,0,0,1,0,4,1,-,-,-,0.95
May 25,vs CIN,W 5-4,1.0,1,0,0,0,0,0,1,3,14,4,-,-,H(12),0.98
May 23,@ LAD,L 3-0,0.2,0,0,0,0,0,0,1,0,2,1,-,-,-,1.01
May 21,@ LAD,W 2-1,1.0,0,0,0,0,1,1,1,0,10,3,-,-,H(11),1.04
May 17,@ SF,W 5-3,2.0,1,0,0,0,0,3,2,2,38,7,-,-,-,1.08
May 14,@ SD,W 6-4,1.0,0,0,0,0,0,3,0,0,11,3,-,-,H(10),1.17
May 12,vs MIL,W 4-0,1.0,0,0,0,0,0,2,1,0,11,3,-,-,-,1.23
May 11,vs MIL,L 11-10,1.0,0,0,0,0,2,1,1,1,25,5,-,-,H(9),1.29
May 8,vs LAA,W 4-2,1.0,1,2,2,1,1,0,2,2,18,5,-,-,-,1.35
May 6,@ NYM,W 3-2,1.0,1,0,0,0,1,3,0,1,21,5,-,-,Sv(1),0.47
May 5,@ NYM,W 2-0,1.0,0,0,0,0,1,1,1,1,18,4,-,-,H(8),0.50
May 1,@ CHC,W 3-1,1.0,0,0,0,0,0,1,2,0,17,3,-,-,H(7),0.53
Apr 30,@ CHC,L 3-2,1.0,0,0,0,0,1,2,0,1,18,4,-,-,-,0.56
Apr 27,@ MIA,W 1-0,1.1,2,0,0,0,0,2,2,2,24,6,-,-,H(6),0.60
Apr 25,vs SD,W 5-2,1.0,0,0,0,0,1,2,1,0,20,4,-,-,H(5),0.66
Apr 22,vs CHC,L 9-7,1.0,0,0,0,0,1,2,1,0,21,4,-,-,-,0.71
Apr 21,vs CHC,W 5-2,1.0,0,0,0,0,0,0,3,0,12,3,-,-,H(4),0.77
Apr 16,@ PIT,W 6-2,1.0,0,0,0,0,0,2,1,0,14,3,-,-,-,0.84
Apr 15,@ WSH,W 6-5,1.0,1,1,1,0,0,2,0,1,15,4,-,W(3-0),BlSv(1),0.93
Apr 13,@ WSH,W 2-1,0.2,0,0,0,0,0,2,0,0,10,2,-,-,H(3),0.00
Apr 11,vs SD,W 6-4,1.0,0,0,0,0,0,2,1,0,14,3,-,-,H(2),0.00
Apr 9,vs SD,L 7-6,1.0,0,0,0,0,0,3,0,0,19,3,-,-,-,0.00
Apr 7,vs ATL,W 3-2,1.0,0,0,0,0,0,1,0,2,11,4,-,W(2-0),-,0.00
Apr 5,@ SD,W 3-1,2.0,1,0,0,0,0,2,0,3,22,5,-,W(1-0),-,0.00
Apr 2,@ SD,W 7-4,1.0,0,0,0,0,0,2,0,1,14,3,-,-,H(1),0.00
Mar 30,@ ARI,L 9-8,1.0,0,0,0,0,0,3,0,0,14,3,-,-,-,0.00
Mar 29,@ ARI,L 8-2,1.0,0,0,0,0,1,3,0,0,18,4,-,-,-,0.00
