DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 23,@ TB,L 7-6,1.0,1,0,0,0,0,3,0,1,22,5,-,-,-,2.39
Jul 20,vs NYM,L 7-5,1.0,2,2,2,0,3,2,2,1,36,8,-,-,-,2.49
Jul 12,@ CLE,W 7-4,1.0,0,0,0,0,0,1,1,2,19,4,-,-,-,1.85
Jul 8,@ TOR,W 2-1,2.0,2,0,0,0,0,3,1,3,41,7,-,-,-,1.93
Jul 3,vs ATL,W 8-5,1.1,4,2,2,1,0,1,1,6,34,8,-,-,H(2),2.11
Jun 30,vs BOS,L 11-0,2.2,2,0,0,0,0,4,3,2,37,9,-,-,-,1.35
Jun 26,@ PHI,W 6-0,1.0,0,0,0,0,0,1,0,2,17,3,-,-,-,1.56
Jun 24,@ TB,L 7-6,1.2,0,0,0,0,1,2,2,1,28,6,-,-,-,1.65
Jun 22,@ TB,L 2-1,0.2,1,0,0,0,1,1,1,1,24,4,-,-,-,1.84
Jun 17,vs TB,L 3-1,1.1,1,0,0,0,0,1,1,3,16,5,-,-,-,1.93
Jun 15,vs TB,W 5-0,1.0,0,0,0,0,0,1,1,1,16,3,-,-,-,2.13
Jun 10,@ NYM,L 2-0,1.0,0,0,0,0,0,0,0,3,19,3,-,-,-,2.31
Jun 4,@ DET,L 4-2,1.1,1,0,0,0,3,1,1,3,39,8,-,-,-,2.53
May 15,@ WSH,L 5-3,1.0,0,0,0,0,0,2,1,0,16,3,-,-,-,2.89
Apr 20,vs TOR,L 8-5,2.2,2,1,1,1,1,3,1,6,46,11,-,-,-,3.24
Apr 16,vs MIA,W 12-1,1.0,2,0,0,0,1,2,1,2,30,6,-,-,-,3.18
Apr 12,@ BOS,L 6-3,1.0,0,0,0,0,0,1,2,0,13,3,-,-,-,3.86
Apr 8,vs BAL,L 8-7,1.0,2,1,1,0,1,3,2,0,37,6,-,L(0-1),-,4.91
Apr 7,vs BAL,W 8-3,0.1,2,0,0,0,0,0,2,1,13,3,-,-,H(1),3.38
Apr 5,vs BAL,L 5-2,1.0,1,0,0,0,0,1,2,1,17,4,-,-,-,3.86
Apr 4,vs TB,W 7-2,0.2,1,0,0,0,0,1,0,2,13,3,-,-,-,6.75
Mar 31,@ TOR,L 5-3,0.2,0,1,1,0,1,0,2,0,7,3,-,-,-,13.50
