DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 10,vs KC,L 9-4,1.0,3,3,3,1,0,1,0,5,19,6,-,-,-,4.83
Jul 5,vs BAL,W 5-2,1.0,1,1,1,1,0,0,0,4,20,4,-,-,H(10),4.28
Jul 4,@ MIL,L 3-2,0.1,0,0,0,0,0,1,0,0,6,1,-,-,-,4.15
Jul 2,@ MIL,L 6-5,0.2,1,0,0,0,0,2,1,0,10,3,-,-,H(9),4.19
Jun 30,@ CHC,L 14-9,0.2,4,4,4,0,0,1,2,3,26,6,-,-,-,4.26
Jun 28,@ CHW,W 2-1,1.0,1,0,0,0,0,1,0,3,11,4,-,-,-,3.38
Jun 23,vs TEX,L 9-6,1.0,0,0,0,0,0,0,1,2,22,4,-,-,-,3.47
Jun 22,vs TEX,L 8-1,1.0,1,0,0,0,2,0,1,2,16,5,-,-,-,3.57
Jun 20,vs BOS,W 4-1,1.0,1,0,0,0,0,0,1,3,15,4,-,-,H(8),3.67
Jun 13,@ DET,L 5-2,0.2,5,4,3,0,0,0,4,3,21,7,-,L(1-5),BlSv(4),3.78
Jun 10,vs LAA,W 7-5,1.0,1,0,0,0,1,1,0,3,15,5,-,-,-,3.03
Jun 8,vs LAA,L 4-2,1.0,1,1,1,1,0,0,1,3,10,4,-,-,-,3.13
Jun 6,vs CHW,L 5-2,1.0,0,0,0,0,0,1,2,0,15,3,-,-,-,2.93
Jun 3,vs CLE,W 7-5,1.0,1,1,1,1,1,0,1,2,14,4,-,-,BlSv(3),3.03
May 31,vs CLE,L 9-8,1.0,2,1,1,1,1,0,1,3,31,4,-,L(1-4),-,2.83
May 29,@ KC,L 2-1,1.0,2,1,1,0,1,2,1,2,23,7,-,-,BlSv(2),2.60
May 27,@ SEA,L 3-1,0.1,2,0,0,0,0,0,0,2,3,2,-,-,-,2.36
May 26,@ SEA,L 4-3,1.0,1,0,0,0,0,0,1,2,4,3,-,-,-,2.39
May 25,@ SEA,L 2-1,1.0,0,0,0,0,0,2,0,1,11,3,-,-,-,2.49
May 20,vs MIL,W 3-1,1.0,0,0,0,0,0,1,1,1,13,3,-,W(1-3),-,2.59
May 19,vs MIL,L 5-4,1.0,1,1,1,1,0,1,1,2,16,4,-,L(0-3),-,2.70
May 16,vs STL,L 7-5,1.0,2,0,0,0,0,1,1,2,17,4,-,-,-,2.42
May 15,vs STL,W 4-1,0.2,0,0,0,0,0,2,0,0,10,2,-,-,H(7),2.53
May 13,@ LAA,L 2-1,1.0,1,0,0,0,0,0,0,4,10,4,-,-,-,2.61
May 12,@ LAA,W 5-3,2.0,2,0,0,0,1,1,1,6,32,9,-,-,-,2.75
May 6,@ CHW,W 5-3,1.0,0,0,0,0,0,2,0,1,13,3,-,-,H(6),3.06
May 3,@ CHW,L 6-5,0.2,1,1,1,1,0,1,0,2,12,3,-,L(0-2),-,3.24
May 2,vs TOR,W 4-0,1.0,1,0,0,0,0,1,0,2,9,3,-,-,H(5),2.81
May 1,vs TOR,L 7-4,1.0,1,1,1,0,2,2,0,2,23,6,-,-,BlSv(1),3.00
Apr 28,vs CIN,W 3-1,1.0,0,0,0,0,1,0,1,1,18,3,-,-,H(4),2.57
Apr 26,@ NYY,L 4-3,1.0,1,1,1,0,0,1,0,3,16,4,-,-,H(3),2.77
Apr 25,@ NYY,L 7-4,1.0,1,0,0,0,0,1,0,3,22,4,-,-,-,2.25
Apr 22,@ TB,L 8-6,1.0,3,2,2,1,0,1,2,2,20,6,-,L(0-1),-,2.45
Apr 20,@ TB,L 8-7,1.0,0,0,0,0,0,0,1,2,9,3,-,-,-,0.90
Apr 18,vs CLE,W 2-1,1.0,1,0,0,0,0,1,2,1,16,4,-,-,-,1.00
Apr 11,vs HOU,W 9-8,1.2,1,0,0,0,0,1,1,4,19,6,-,-,H(2),1.13
Apr 9,vs HOU,L 2-0,1.0,2,1,1,0,0,2,1,2,20,5,-,-,-,1.42
Apr 5,vs SEA,W 4-2,1.0,0,0,0,0,0,2,1,0,10,3,-,-,H(1),0.00
Apr 4,@ PIT,W 7-3,1.0,0,0,0,0,0,1,0,2,18,3,-,-,-,0.00
Apr 2,@ PIT,L 5-4,1.1,1,0,0,0,3,1,3,1,29,8,-,-,-,0.00
Mar 29,@ BAL,L 3-2,2.0,0,0,0,0,0,2,1,3,23,6,-,-,-,0.00
