DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ MIA,W 8-4,3,1,2,0,0,0,0,1,0,1,0,.800,.667,1.467,.667
Mar 30,@ MIA,L 2-1,3,0,0,0,0,0,0,2,0,0,0,.600,.333,.933,.333
Mar 31,@ MIA,W 10-6,4,0,2,1,0,0,0,1,1,0,0,.600,.500,1.100,.400
Apr 1,@ MIA,L 6-0,4,0,1,1,0,0,0,0,0,0,0,.526,.500,1.026,.357
Apr 2,@ CIN,L 1-0,4,0,0,0,0,0,0,0,1,0,0,.435,.389,.824,.278
Apr 5,@ MIL,W 8-0,5,1,2,1,0,0,1,0,1,0,0,.429,.435,.864,.304
Apr 6,@ MIL,L 5-4,3,1,1,0,0,0,1,1,0,0,0,.438,.423,.861,.308
Apr 7,@ MIL,W 5-2,0,1,0,0,0,0,0,0,0,0,0,.438,.423,.861,.308
Apr 8,@ MIL,W 3-0,4,0,0,0,0,0,0,0,1,0,0,.389,.367,.756,.267
Apr 10,vs PIT,L 8-5,3,0,0,0,0,0,0,1,3,0,0,.375,.333,.708,.242
Apr 11,vs PIT,W 13-5,5,1,1,1,0,0,0,0,0,0,0,.356,.342,.698,.237
Apr 12,vs PIT,L 6-1,3,0,0,0,0,0,0,0,1,0,0,.333,.317,.650,.220
Apr 13,vs ATL,L 4-0,3,0,0,0,0,0,0,0,0,0,0,.314,.295,.609,.205
Apr 14,vs ATL,W 14-10,3,1,1,0,0,0,0,2,1,0,0,.339,.298,.637,.213
Apr 17,vs STL,L 5-3,3,1,1,0,0,0,0,1,0,0,0,.350,.300,.650,.220
Apr 19,vs STL,W 8-5,4,1,1,0,0,0,0,0,0,0,0,.344,.296,.640,.222
Apr 20,@ COL,W 16-5,5,1,2,0,0,0,0,0,0,0,0,.348,.305,.653,.237
Apr 21,@ COL,L 5-2,3,0,0,0,0,0,0,0,1,0,0,.333,.290,.623,.226
Apr 22,@ COL,W 9-7,2,0,0,0,0,0,0,0,0,0,0,.324,.281,.605,.219
Apr 24,@ CLE,W 10-3,5,1,1,1,0,0,0,0,1,0,0,.316,.290,.606,.217
Apr 25,@ CLE,L 4-1,4,0,0,0,0,0,0,0,2,0,0,.301,.274,.575,.205
Apr 26,vs MIL,W 1-0,3,0,1,0,0,0,0,0,0,0,0,.302,.276,.578,.211
Apr 27,vs MIL,W 3-2,3,1,1,0,0,0,0,0,0,0,0,.303,.278,.581,.215
Apr 28,vs MIL,W 3-0,0,0,0,0,0,0,0,0,0,0,0,.303,.278,.581,.215
Apr 29,vs MIL,W 2-0,2,1,2,0,1,0,1,0,0,0,0,.315,.321,.636,.235
Apr 30,vs COL,W 3-2,3,1,2,0,0,0,1,0,0,0,0,.326,.333,.659,.250
May 1,vs COL,L 3-1,4,0,0,0,0,0,0,0,1,0,0,.313,.318,.631,.239
May 2,vs COL,L 11-2,3,0,0,0,0,0,0,0,2,0,0,.304,.308,.612,.231
May 4,@ STL,L 3-2,Did not play
May 5,@ STL,L 8-6,5,1,2,0,0,0,0,0,1,0,0,.308,.313,.621,.240
May 6,@ STL,L 4-3,4,0,1,1,0,0,0,0,2,0,0,.306,.320,.626,.240
