DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs NYY,L 6-1,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Mar 30,vs NYY,L 4-2,2,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000
Mar 31,vs NYY,W 5-3,4,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000
Apr 1,vs NYY,W 7-4,1,1,1,1,0,0,0,0,0,0,0,.100,.200,.300,.100
Apr 2,vs CHW,W 4-2,3,1,1,0,0,1,1,0,0,0,0,.154,.462,.616,.154
Apr 3,vs CHW,W 14-5,3,2,3,1,0,1,3,0,0,0,0,.313,.813,1.126,.313
Apr 4,vs CHW,L 4-3,Did not play
Apr 6,@ TEX,W 8-5,Did not play
Apr 7,@ TEX,L 5-1,3,0,0,0,0,0,0,0,1,0,0,.263,.684,.947,.263
Apr 8,@ TEX,W 7-4,4,0,0,0,0,0,0,0,1,0,0,.217,.565,.782,.217
Apr 9,@ BAL,W 7-1,4,0,1,0,0,0,0,0,0,0,0,.222,.519,.741,.222
Apr 10,@ BAL,W 2-1,3,0,0,0,0,0,0,0,0,0,0,.226,.467,.693,.200
Apr 11,@ BAL,L 5-3,4,1,1,0,0,1,1,0,1,0,0,.229,.529,.758,.206
Apr 13,@ CLE,W 8-4,4,2,2,0,0,1,3,0,0,1,0,.256,.605,.861,.237
Apr 17,vs KC,W 11-3,4,1,2,0,0,0,0,0,1,0,0,.279,.595,.874,.262
Apr 17,vs KC,W 5-4,3,1,0,0,0,0,0,2,1,0,0,.292,.556,.848,.244
Apr 18,vs KC,W 15-5,5,1,1,0,0,0,1,0,1,0,0,.283,.520,.803,.240
Apr 19,@ NYY,L 4-3,3,0,0,0,0,0,0,0,0,0,0,.268,.491,.759,.226
Apr 20,@ NYY,W 8-5,4,0,0,0,0,0,0,1,0,0,0,.262,.456,.718,.211
Apr 21,@ NYY,L 9-1,4,0,1,0,0,0,0,0,0,0,0,.262,.443,.705,.213
Apr 22,@ NYY,L 5-1,Did not play
Apr 24,vs BOS,W 4-3,4,1,0,0,0,0,0,0,1,0,0,.246,.415,.661,.200
Apr 25,vs BOS,L 4-3,3,0,0,0,0,0,0,0,0,0,0,.236,.397,.633,.191
Apr 26,vs BOS,L 5-4,0,0,0,0,0,0,0,0,0,0,0,.236,.397,.633,.191
Apr 27,vs TEX,L 6-4,3,1,0,0,0,0,0,0,0,0,0,.237,.380,.617,.183
Apr 28,vs TEX,L 7-4,3,0,1,0,0,0,0,0,0,0,0,.241,.378,.619,.189
Apr 29,vs TEX,W 7-2,4,0,0,0,0,0,0,0,2,0,0,.229,.359,.588,.179
Apr 30,@ MIN,W 7-5,4,0,1,0,0,0,0,0,1,0,0,.230,.354,.584,.183
May 1,@ MIN,W 7-4,5,0,1,0,0,0,1,0,1,0,0,.228,.345,.573,.184
May 2,@ MIN,L 4-0,2,0,1,1,0,0,0,1,1,0,1,.242,.360,.602,.191
May 3,@ CLE,W 13-11,2,0,0,0,0,0,0,1,1,0,0,.245,.352,.597,.187
May 3,@ CLE,L 13-4,3,1,1,0,0,1,1,1,0,0,0,.255,.383,.638,.191
May 4,@ TB,L 6-2,3,1,1,0,0,1,1,0,0,0,0,.257,.412,.669,.196
May 5,@ TB,L 5-3,3,1,2,1,0,0,0,0,0,0,0,.269,.430,.699,.210
May 6,@ TB,W 2-1,2,0,1,0,0,0,1,0,0,0,0,.273,.431,.704,.216
May 8,vs SEA,L 5-0,Did not play
May 9,vs SEA,W 5-2,Did not play
May 10,vs SEA,L 9-3,Did not play
May 11,vs BOS,W 5-3,Did not play
May 12,vs BOS,L 5-2,Did not play
May 13,vs BOS,L 5-3,Did not play
May 15,@ NYM,L 12-2,Did not play
May 16,@ NYM,W 12-1,Did not play
May 17,vs OAK,L 10-5,Did not play
May 18,vs OAK,L 3-1,Did not play
May 19,vs OAK,L 5-4,Did not play
May 20,vs OAK,L 9-2,Did not play
May 22,vs LAA,W 5-3,Did not play
May 23,vs LAA,L 5-4,Did not play
May 24,vs LAA,L 8-1,Did not play
May 25,@ PHI,W 6-5,Did not play
May 26,@ PHI,L 2-1,Did not play
May 27,@ PHI,W 5-3,Did not play
May 28,@ BOS,L 8-3,Did not play
May 29,@ BOS,L 8-3,Did not play
May 30,@ BOS,L 6-4,Did not play
Jun 1,@ DET,L 5-2,3,1,1,1,0,0,0,1,0,0,0,.281,.438,.719,.219
Jun 2,@ DET,L 7-4,4,0,0,0,0,0,0,0,0,0,0,.271,.422,.693,.211
Jun 3,@ DET,W 8-4,4,1,2,0,0,0,1,0,0,0,0,.279,.425,.704,.221
Jun 5,vs NYY,L 7-2,3,0,0,0,0,0,0,0,1,0,0,.272,.414,.686,.216
Jun 6,vs NYY,L 3-0,4,0,0,0,0,0,0,0,2,0,0,.264,.400,.664,.208
Jun 7,vs BAL,W 5-4,5,1,2,1,0,0,1,0,0,0,0,.269,.408,.677,.216
Jun 8,vs BAL,W 5-1,4,0,3,1,0,0,0,0,0,0,1,.283,.426,.709,.233
Jun 9,vs BAL,W 4-3,4,1,1,0,0,0,0,0,0,0,0,.282,.421,.703,.233
Jun 10,vs BAL,W 13-3,5,0,1,0,0,0,0,0,2,0,0,.279,.413,.692,.232
Jun 11,@ TB,L 8-4,3,0,0,0,0,0,0,0,1,0,0,.273,.404,.677,.227
Jun 12,@ TB,L 4-1,4,0,1,0,0,0,0,0,0,0,0,.273,.400,.673,.228
Jun 13,@ TB,L 1-0,3,0,0,0,0,0,0,1,1,0,0,.272,.392,.664,.223
Jun 15,vs WSH,W 6-5,4,1,2,0,0,0,0,0,1,0,0,.278,.395,.673,.230
Jun 16,vs WSH,W 2-0,3,0,0,0,0,0,0,0,1,0,0,.273,.387,.660,.226
Jun 17,vs WSH,W 8-6,4,0,1,1,0,0,0,0,0,0,0,.272,.390,.662,.226
Jun 19,vs ATL,L 11-4,4,0,0,0,0,0,0,0,0,0,0,.266,.380,.646,.221
Jun 20,vs ATL,W 5-4,3,0,2,0,0,0,1,0,0,0,0,.271,.386,.657,.229
Jun 21,@ LAA,L 8-5,3,0,1,1,0,0,1,0,1,0,0,.272,.391,.663,.231
Jun 22,@ LAA,L 2-1,3,1,1,0,0,0,0,0,0,0,0,.273,.390,.663,.233
Jun 23,@ LAA,W 4-1,4,1,1,0,0,0,0,0,1,0,0,.273,.386,.659,.233
Jun 24,@ LAA,W 7-6,4,3,2,0,0,1,1,0,0,0,0,.277,.406,.683,.239
Jun 25,@ HOU,W 6-3,4,0,1,0,0,0,0,0,1,0,0,.277,.402,.679,.239
Jun 26,@ HOU,L 7-0,2,0,0,0,0,0,0,0,0,0,0,.274,.398,.672,.237
Jun 27,@ HOU,L 7-6,4,0,3,0,0,0,1,0,1,0,0,.284,.405,.689,.247
Jun 29,vs DET,W 3-2,2,0,0,0,0,0,0,1,1,0,0,.284,.401,.685,.245
Jun 30,vs DET,W 4-3,3,1,1,0,0,0,0,0,0,0,0,.285,.400,.685,.246
Jul 1,vs DET,L 9-1,3,0,1,0,0,0,0,0,1,0,0,.286,.399,.685,.247
Jul 2,vs DET,L 3-2,3,0,0,0,0,0,0,0,0,0,0,.282,.393,.675,.244
Jul 3,vs NYM,W 8-6,Did not play
Jul 4,vs NYM,L 6-3,4,0,0,0,0,0,0,0,0,0,0,.276,.385,.661,.239
Jul 6,vs NYY,W 6-2,4,1,1,1,0,0,0,0,0,0,0,.276,.388,.664,.239
