DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Apr 28,vs LAD,L 15-6,2,1,1,0,0,1,3,0,0,0,0,.500,2.000,2.500,.500
Apr 28,vs LAD,W 8-3,Did not play
Apr 29,vs LAD,W 4-2,4,0,0,0,0,0,0,0,1,0,0,.167,.667,.834,.167
Apr 30,vs SD,W 6-5,3,0,1,0,0,0,0,1,0,1,0,.300,.556,.856,.222
May 1,vs SD,L 3-2,4,1,1,0,0,0,0,0,2,1,0,.286,.462,.748,.231
May 2,vs SD,W 9-4,1,0,0,0,0,0,0,0,0,0,0,.267,.429,.696,.214
May 4,@ ATL,W 9-4,5,1,2,1,0,0,1,0,0,0,0,.300,.474,.774,.263
May 5,@ ATL,W 11-2,5,1,2,1,0,1,4,0,0,0,0,.320,.625,.945,.292
May 6,@ ATL,W 4-3,4,1,2,1,0,0,0,0,1,0,0,.345,.643,.988,.321
May 7,@ PHI,L 11-0,4,0,1,1,0,0,0,0,1,0,0,.333,.625,.958,.313
May 8,@ PHI,L 4-2,3,0,0,0,0,0,0,0,1,0,0,.306,.571,.877,.286
May 9,@ PHI,L 11-3,3,0,0,0,0,0,1,1,1,0,0,.293,.526,.819,.263
May 10,@ PHI,L 6-3,3,1,1,0,0,1,2,0,1,0,0,.295,.585,.880,.268
May 11,@ PIT,L 11-2,3,0,1,0,0,0,0,1,0,1,0,.313,.568,.881,.273
May 12,@ PIT,L 6-5,3,2,2,0,0,1,1,1,0,0,0,.346,.638,.984,.298
May 13,@ PIT,W 5-0,Did not play
May 14,vs CIN,W 10-7,Did not play
May 15,vs CIN,W 5-3,Did not play
May 16,vs CIN,L 6-3,Did not play
May 17,vs COL,L 5-3,Did not play
May 18,vs COL,L 6-1,Did not play
May 19,vs COL,W 9-4,Did not play
May 20,vs COL,W 9-5,Did not play
May 22,@ HOU,L 11-2,Did not play
May 23,@ HOU,L 4-1,Did not play
May 25,@ CHC,L 6-2,Did not play
May 26,@ CHC,W 5-4,Did not play
May 27,@ CHC,L 8-3,Did not play
May 28,@ COL,L 6-5,Did not play
May 29,@ COL,L 11-4,Did not play
May 30,@ COL,W 7-4,Did not play
Jun 1,vs PHI,W 4-0,Did not play
Jun 2,vs PHI,W 2-0,1,0,0,0,0,0,0,0,1,0,0,.340,.625,.965,.292
Jun 3,vs PHI,W 6-1,1,1,1,0,0,0,0,0,0,0,0,.352,.633,.985,.306
Jun 4,vs ARI,W 10-3,1,1,1,1,0,0,2,0,0,0,0,.364,.660,1.024,.320
Jun 5,vs ARI,L 3-2,1,1,1,1,0,0,0,0,0,0,0,.375,.686,1.061,.333
Jun 6,vs ARI,W 5-4,1,1,1,0,0,1,2,0,0,0,0,.386,.750,1.136,.346
Jun 8,@ WSH,W 9-5,3,2,2,0,1,0,1,0,0,0,0,.400,.782,1.182,.364
Jun 9,@ WSH,L 7-5,5,0,1,0,0,0,0,0,1,0,0,.385,.733,1.118,.350
Jun 10,@ WSH,W 2-0,1,0,0,0,0,0,0,0,0,0,0,.379,.721,1.100,.344
Jun 11,@ MIA,L 7-5,4,0,0,0,0,0,0,0,1,0,0,.357,.677,1.034,.323
Jun 12,@ MIA,L 3-1,1,0,0,0,0,0,0,0,0,0,0,.352,.667,1.019,.318
Jun 13,@ MIA,L 5-4,0,0,0,0,0,0,0,1,0,0,0,.361,.667,1.028,.318
Jun 14,@ MIA,W 6-3,5,1,3,2,0,0,0,0,0,0,0,.377,.690,1.067,.338
Jun 15,@ LAD,L 3-2,4,0,0,0,0,0,0,0,2,0,0,.358,.653,1.011,.320
Jun 16,@ LAD,L 3-1,2,0,0,0,0,0,1,0,1,0,0,.345,.636,.981,.312
Jun 17,@ LAD,W 4-1,4,0,0,0,0,0,0,0,3,0,0,.330,.605,.935,.296
Jun 18,vs MIA,L 5-4,1,0,0,0,0,0,0,0,0,0,0,.326,.598,.924,.293
Jun 19,vs MIA,W 6-3,4,1,3,2,0,0,1,0,0,0,0,.344,.628,.972,.314
Jun 20,vs MIA,W 6-5,0,0,0,0,0,0,0,0,0,0,0,.344,.628,.972,.314
Jun 21,vs SD,W 3-0,4,1,1,0,1,0,0,0,0,0,0,.340,.633,.973,.311
Jun 22,vs SD,L 6-2,3,0,0,0,0,0,0,0,0,0,0,.330,.613,.943,.301
Jun 23,vs SD,W 5-3,4,1,1,0,0,0,0,0,2,1,0,.327,.598,.925,.299
Jun 24,vs SD,W 3-2,4,0,1,0,0,0,0,0,2,0,0,.324,.584,.908,.297
Jun 26,vs COL,W 3-2,0,0,0,0,0,0,0,1,0,0,0,.330,.584,.914,.297
Jun 27,vs COL,W 1-0,Did not play
Jun 28,vs COL,L 9-8,5,2,2,2,0,0,2,0,1,0,0,.333,.594,.927,.302
Jun 29,@ ARI,W 2-1,4,0,0,0,0,0,0,0,2,0,0,.322,.573,.895,.291
Jun 30,@ ARI,W 7-0,5,0,0,0,0,0,0,0,0,0,0,.309,.548,.857,.278
Jul 1,@ ARI,W 9-6,2,1,0,0,0,0,0,1,0,0,0,.310,.538,.848,.274
Jul 2,@ COL,L 5-2,1,0,1,0,0,0,0,0,0,0,0,.315,.542,.857,.280
Jul 3,@ COL,L 8-1,4,0,2,0,0,0,1,0,1,0,0,.321,.541,.862,.287
Jul 4,@ COL,L 1-0,3,0,0,0,0,0,0,0,1,0,0,.313,.528,.841,.280
Jul 5,vs STL,L 11-2,4,1,1,0,0,1,2,0,0,0,0,.312,.543,.855,.279
Jul 6,vs STL,W 3-2,3,0,0,0,0,0,0,0,0,0,0,.305,.530,.835,.273
Jul 7,vs STL,L 3-2,4,1,1,0,0,0,0,0,0,0,0,.303,.522,.825,.272
Jul 8,vs STL,W 13-8,5,2,3,1,0,0,1,0,0,0,0,.313,.532,.845,.284
Jul 9,vs CHC,W 2-1,4,1,0,0,0,0,0,0,1,0,0,.305,.517,.822,.276
Jul 10,vs CHC,L 2-0,0,0,0,0,0,0,0,0,0,0,0,.305,.517,.822,.276
Jul 11,vs CHC,W 5-4,6,0,2,0,0,0,0,0,1,0,0,.306,.510,.816,.278
Jul 13,vs OAK,W 7-1,4,1,2,0,0,0,0,0,0,0,0,.311,.510,.821,.284
