DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs CHW,L 14-7,4,0,1,1,0,0,0,0,0,0,0,.250,.500,.750,.250
Mar 31,vs CHW,L 4-3,4,0,1,0,0,0,0,0,1,0,0,.250,.375,.625,.250
Apr 2,@ DET,L 6-1,3,0,0,0,0,0,0,0,1,0,0,.182,.273,.455,.182
Apr 3,@ DET,W 1-0,3,0,0,0,0,0,0,0,1,0,0,.143,.214,.357,.143
Apr 6,@ CLE,L 3-2,4,0,1,0,0,0,0,0,2,0,0,.167,.222,.389,.167
Apr 7,@ CLE,W 1-0,2,0,0,0,0,0,0,1,0,1,0,.190,.200,.390,.150
Apr 8,@ CLE,L 3-1,3,0,1,0,0,0,0,0,1,0,0,.208,.217,.425,.174
Apr 9,vs SEA,W 10-0,Did not play
Apr 10,vs SEA,L 8-3,Did not play
Apr 11,vs SEA,L 4-2,Did not play
Apr 12,vs LAA,L 7-1,Did not play
Apr 13,vs LAA,L 5-4,Did not play
Apr 14,vs LAA,L 5-3,Did not play
Apr 17,@ TOR,L 11-3,Did not play
Apr 17,@ TOR,L 5-4,Did not play
Apr 18,@ TOR,L 15-5,Did not play
Apr 20,@ DET,L 3-2,Did not play
Apr 20,@ DET,W 3-2,Did not play
Apr 21,@ DET,L 12-4,Did not play
Apr 22,@ DET,W 8-5,Did not play
Apr 24,vs MIL,L 5-2,4,1,2,1,0,0,0,0,1,0,0,.250,.296,.546,.222
Apr 25,vs MIL,L 6-2,4,0,1,0,0,0,0,0,0,0,0,.250,.290,.540,.226
Apr 26,vs CHW,L 6-3,3,0,0,0,0,0,0,0,0,0,0,.250,.265,.515,.206
Apr 27,vs CHW,L 7-4,4,0,1,0,0,0,0,0,0,0,0,.268,.263,.531,.211
Apr 28,vs CHW,L 8-0,4,0,2,0,0,0,0,0,0,0,0,.289,.286,.575,.238
Apr 28,vs CHW,W 5-2,4,0,2,1,0,0,3,0,0,0,0,.306,.326,.632,.261
Apr 29,vs CHW,W 5-4,3,0,1,0,0,0,0,1,1,0,0,.321,.327,.648,.265
Apr 30,@ BOS,L 10-6,3,1,0,0,0,0,0,0,2,0,0,.316,.308,.624,.250
May 1,@ BOS,W 7-6,6,2,2,0,0,1,1,0,1,0,0,.317,.362,.679,.259
May 2,@ BOS,L 5-4,4,1,2,0,0,0,0,0,1,0,0,.328,.371,.699,.274
May 3,vs DET,W 10-6,4,2,3,0,0,1,1,0,0,0,0,.352,.439,.791,.303
May 4,vs DET,W 4-2,3,1,1,0,0,0,0,0,1,0,0,.351,.435,.786,.304
May 5,vs DET,L 3-2,4,0,0,0,0,0,0,0,0,0,0,.333,.411,.744,.288
May 6,vs DET,W 4-2,Did not play
May 8,@ BAL,W 15-7,5,2,4,0,0,1,3,0,0,0,0,.361,.474,.835,.321
May 9,@ BAL,L 5-3,2,0,0,0,0,0,0,2,0,1,0,.368,.463,.831,.313
May 10,@ BAL,L 11-6,4,0,0,0,0,0,0,0,1,0,0,.352,.440,.792,.298
May 11,@ CLE,W 10-9,4,0,0,0,0,0,0,1,2,0,0,.344,.420,.764,.284
May 12,@ CLE,L 6-2,3,0,0,0,0,0,0,0,2,0,0,.333,.407,.740,.275
May 13,@ CLE,L 11-2,4,0,2,0,0,0,0,0,1,0,0,.340,.411,.751,.284
May 14,vs TB,L 2-1,4,0,0,0,0,0,0,0,0,0,0,.327,.394,.721,.273
May 15,vs TB,L 6-5,3,2,1,0,0,0,1,1,1,0,0,.333,.392,.725,.275
May 16,vs TB,L 5-3,2,0,1,1,0,0,0,2,0,0,0,.348,.404,.752,.279
May 18,vs NYY,W 5-2,4,0,0,0,0,0,0,0,3,0,0,.336,.389,.725,.269
May 19,vs NYY,L 8-3,4,0,0,0,0,0,0,0,3,0,0,.325,.375,.700,.259
May 20,vs NYY,L 10-1,3,0,0,0,0,0,0,0,0,0,0,.317,.365,.682,.252
May 21,@ STL,L 6-0,3,0,0,0,0,0,0,0,1,0,0,.310,.356,.666,.246
May 22,@ STL,W 5-1,4,1,3,0,0,1,1,0,0,0,0,.323,.393,.716,.262
May 23,@ STL,W 5-2,4,1,2,0,0,0,0,0,1,0,0,.328,.397,.725,.270
May 24,@ TEX,W 8-2,Did not play
May 25,@ TEX,L 8-4,Did not play
May 26,@ TEX,L 4-3,4,0,1,0,0,0,0,0,2,0,0,.326,.392,.718,.269
May 27,@ TEX,W 5-3,3,0,1,0,0,0,0,1,0,0,0,.331,.391,.722,.271
May 28,vs MIN,L 8-5,5,0,3,0,0,0,0,0,0,0,0,.340,.399,.739,.283
May 29,vs MIN,W 2-1,6,0,1,0,0,0,0,0,3,0,0,.333,.389,.722,.278
May 30,vs MIN,W 11-8,5,1,1,0,0,0,1,0,1,1,0,.329,.383,.712,.275
Jun 1,vs OAK,L 16-0,3,0,1,0,0,0,0,0,0,0,0,.329,.382,.711,.276
Jun 2,vs OAK,W 5-4,3,0,0,0,0,0,0,1,0,0,0,.327,.374,.701,.271
Jun 3,vs OAK,L 5-1,2,0,0,0,0,0,0,1,0,0,0,.327,.369,.696,.268
Jun 4,@ LAA,L 9-6,4,0,0,0,0,0,0,0,2,0,0,.320,.360,.680,.261
Jun 5,@ LAA,L 1-0,3,0,0,0,0,0,0,0,2,0,0,.315,.354,.669,.256
Jun 6,@ LAA,L 4-3,4,0,2,0,0,0,3,0,1,0,0,.319,.357,.676,.262
Jun 7,@ OAK,L 4-1,3,0,0,0,0,0,0,0,0,0,0,.314,.351,.665,.257
Jun 8,@ OAK,L 7-2,4,0,3,0,0,0,0,0,0,0,0,.323,.360,.683,.269
Jun 9,@ OAK,W 2-0,3,1,1,0,0,1,1,0,1,0,0,.326,.376,.702,.270
Jun 10,@ OAK,L 3-2,4,0,1,1,0,0,0,0,1,0,0,.325,.379,.704,.269
Jun 12,vs CIN,L 5-1,4,0,0,0,0,0,0,0,1,0,0,.318,.371,.689,.263
Jun 13,vs CIN,L 7-0,3,0,0,0,0,0,0,1,0,0,0,.317,.365,.682,.259
Jun 15,vs HOU,L 7-3,4,0,0,0,0,0,0,0,3,0,0,.311,.358,.669,.254
Jun 16,vs HOU,L 10-2,3,0,1,0,0,0,0,0,0,0,0,.315,.357,.672,.255
Jun 17,vs HOU,L 7-4,2,1,0,0,0,0,0,2,1,0,0,.318,.354,.672,.253
Jun 18,vs TEX,L 6-3,3,0,1,0,0,0,0,1,0,0,0,.321,.353,.674,.254
Jun 19,vs TEX,L 4-1,3,1,1,0,0,0,0,1,0,0,0,.324,.353,.677,.255
Jun 20,vs TEX,L 3-2,4,1,2,1,0,0,0,0,1,0,0,.328,.361,.689,.260
Jun 22,@ HOU,W 1-0,2,0,1,0,0,0,0,2,0,0,0,.335,.362,.697,.262
Jun 23,@ HOU,L 4-3,4,1,1,0,0,0,0,1,2,0,0,.336,.360,.696,.262
Jun 24,@ HOU,L 11-3,4,0,0,0,0,0,0,1,1,1,0,.333,.353,.686,.257
Jun 25,vs LAA,W 2-0,3,0,1,1,0,0,0,0,1,0,0,.333,.357,.690,.258
Jun 26,@ MIL,L 5-1,3,0,0,0,0,0,0,1,1,0,0,.332,.353,.685,.254
Jun 27,@ MIL,W 5-4,3,1,1,0,0,0,0,0,1,0,0,.335,.352,.687,.256
Jun 29,@ SEA,L 4-1,Did not play
Jun 30,@ SEA,L 6-4,3,0,0,0,0,0,0,1,2,0,0,.333,.348,.681,.252
Jul 1,@ SEA,L 1-0,3,0,0,0,0,0,0,0,2,0,0,.330,.343,.673,.249
Jul 2,vs CLE,L 9-3,3,0,0,0,0,0,0,0,0,0,0,.326,.339,.665,.246
