DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 30,@ CIN,W 2-0,4,0,1,0,0,0,0,0,1,0,0,.250,.250,.500,.250
Mar 31,@ CIN,W 13-7,4,0,1,0,0,0,0,1,1,0,0,.333,.250,.583,.250
Apr 1,@ CIN,W 6-5,5,1,1,0,0,1,2,0,0,0,0,.286,.462,.748,.231
Apr 2,@ ATL,W 8-1,6,1,1,0,0,0,1,0,1,0,0,.250,.368,.618,.211
Apr 3,@ ATL,L 13-6,5,1,1,0,0,0,0,0,1,0,0,.240,.333,.573,.208
Apr 4,@ ATL,L 7-1,4,0,1,0,0,0,0,1,0,0,0,.267,.321,.588,.214
Apr 5,vs NYM,L 8-2,3,0,3,2,0,0,1,1,0,0,0,.353,.452,.805,.290
Apr 7,vs NYM,L 3-2,2,0,0,0,0,0,0,0,2,0,0,.333,.424,.757,.273
Apr 8,vs NYM,L 6-5,5,1,2,0,0,0,0,1,0,0,1,.357,.421,.778,.289
Apr 9,vs ATL,W 2-0,4,1,2,1,0,0,0,0,0,0,0,.370,.452,.822,.310
Apr 10,vs ATL,W 4-1,4,0,1,1,0,0,0,0,1,0,0,.360,.457,.817,.304
Apr 11,vs ATL,L 5-3,5,0,1,0,0,0,0,0,1,0,0,.345,.431,.776,.294
Apr 12,vs COL,L 5-1,4,0,0,0,0,0,0,0,0,0,0,.322,.400,.722,.273
Apr 13,vs COL,L 2-1,1,0,1,0,0,0,0,2,0,0,0,.355,.411,.766,.286
Apr 14,vs COL,W 6-2,Did not play
Apr 15,vs COL,L 6-5,Did not play
Apr 16,@ NYM,W 8-6,Did not play
Apr 17,@ NYM,W 5-2,Did not play
Apr 18,@ NYM,L 11-5,Did not play
Apr 20,@ LAD,W 5-2,Did not play
Apr 21,@ LAD,L 4-0,Did not play
Apr 22,@ LAD,L 4-3,Did not play
Apr 23,@ SF,L 4-2,Did not play
Apr 24,@ SF,L 4-3,Did not play
Apr 25,@ SF,W 15-2,Did not play
Apr 27,vs ARI,L 5-4,Did not play
Apr 28,vs ARI,L 4-3,Did not play
Apr 29,vs ARI,W 3-1,Did not play
Apr 30,vs PIT,W 3-2,Did not play
