DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 25,vs STL,W 7-3,1.0,0,0,0,0,0,1,1,1,13,3,-,-,-,5.45
Jul 22,vs PIT,L 9-2,1.0,0,0,0,0,0,1,1,1,15,3,-,-,-,5.63
Jul 20,vs PIT,L 12-1,1.0,2,1,1,0,0,0,2,2,18,4,-,-,-,5.81
Jul 14,@ STL,W 8-2,0.2,0,0,0,0,0,1,0,1,7,2,-,W(2-2),-,5.70
Jul 13,@ STL,W 9-1,1.0,0,0,0,0,0,0,2,1,13,3,-,-,-,5.83
Jun 16,@ PIT,L 6-2,1.0,3,3,3,1,1,0,2,3,15,6,-,-,-,6.04
Jun 9,vs STL,L 6-4,1.0,3,1,1,1,1,0,3,3,28,7,-,-,-,5.27
Jun 8,vs STL,L 7-6,0.1,0,0,0,0,0,1,0,0,6,1,-,-,-,5.13
Jun 5,vs COL,L 9-6,1.0,3,2,2,0,2,0,4,2,29,8,-,-,-,5.19
May 19,vs CHC,L 10-0,1.0,2,1,1,0,0,1,3,1,19,5,-,-,-,4.68
May 18,vs CHC,L 8-1,1.0,1,1,1,0,2,0,2,1,17,5,-,-,-,4.50
May 14,@ SF,L 10-7,1.0,2,1,1,1,0,0,1,4,16,5,-,-,-,4.30
May 13,@ LAD,W 5-3,0.1,1,0,0,0,0,0,2,0,5,2,-,-,H(3),4.09
May 11,@ LAD,W 6-2,1.2,1,1,1,1,0,4,1,1,27,6,-,W(1-2),-,4.15
May 8,vs NYM,W 7-2,1.0,1,0,0,0,0,1,1,2,12,4,-,-,-,4.05
May 6,vs MIA,L 8-5,1.0,0,0,0,0,0,2,1,0,11,3,-,-,-,4.26
May 5,vs MIA,L 6-0,1.1,2,3,3,0,0,2,1,3,23,7,-,-,-,4.50
Apr 30,vs MIL,L 6-5,1.0,1,0,0,0,0,2,2,0,25,4,-,-,H(2),3.24
Apr 28,@ MIN,L 3-1,1.1,0,0,0,0,1,2,1,1,26,5,-,-,-,3.45
Apr 26,vs ATL,L 7-4,0.1,1,0,0,0,0,1,1,0,11,2,-,-,-,3.77
Apr 25,vs ATL,L 5-4,2.0,1,0,0,0,1,2,2,3,27,8,-,-,H(1),3.86
Apr 22,@ STL,L 9-2,1.0,0,0,0,0,0,1,2,0,11,3,-,-,-,4.50
Apr 18,@ MIL,L 2-0,1.0,0,0,0,0,0,1,1,1,9,3,-,-,-,4.91
Apr 14,vs STL,L 6-1,1.2,2,1,1,0,0,4,1,2,25,7,-,-,-,5.40
Apr 12,vs STL,L 13-4,1.0,1,1,1,1,0,0,2,1,16,4,-,L(0-2),-,5.40
Apr 11,@ PHI,L 4-3,0.2,0,1,0,0,1,0,2,1,8,4,-,L(0-1),-,4.91
Apr 9,@ PHI,L 6-5,2.0,0,0,0,0,0,2,2,2,28,6,-,-,-,5.40
Apr 6,@ PIT,L 14-3,1.2,5,4,3,0,0,0,3,6,23,9,-,-,-,7.71
Apr 5,@ PIT,L 5-2,1.0,0,0,0,0,1,0,2,1,12,4,-,-,-,3.00
Mar 31,vs WSH,L 13-7,2.0,3,1,1,1,1,1,4,3,38,9,-,-,-,4.50
