DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs CLE,W 2-1,Did not play
Mar 31,vs CLE,L 6-5,Did not play
Apr 1,vs CLE,W 5-4,Did not play
Apr 3,@ SF,W 6-4,Did not play
Apr 4,@ SF,L 10-1,Did not play
Apr 5,@ MIN,L 4-2,Did not play
Apr 7,@ MIN,W 11-4,Did not play
Apr 9,@ KC,L 10-0,Did not play
Apr 10,@ KC,W 8-3,Did not play
Apr 11,@ KC,W 4-2,Did not play
Apr 13,vs OAK,W 7-4,Did not play
Apr 14,vs OAK,W 10-8,Did not play
Apr 15,vs OAK,L 2-1,Did not play
Apr 16,vs HOU,W 2-1,Did not play
Apr 17,vs HOU,L 4-1,Did not play
Apr 18,vs HOU,L 7-1,2,0,0,0,0,0,0,1,1,1,0,.333,.000,.333,.000
Apr 19,vs HOU,L 9-2,2,0,0,0,0,0,0,0,0,0,0,.200,.000,.200,.000
Apr 20,@ TEX,W 6-2,0,1,0,0,0,0,0,0,0,0,0,.200,.000,.200,.000
Apr 21,@ TEX,W 9-7,2,0,0,0,0,0,0,0,0,0,0,.143,.000,.143,.000
Apr 22,@ TEX,L 7-4,4,1,1,0,1,0,0,0,0,0,0,.182,.300,.482,.100
Apr 23,@ CHW,L 10-4,3,1,1,1,0,0,0,0,0,0,0,.214,.385,.599,.154
Apr 24,@ CHW,W 1-0,4,0,1,0,0,0,0,0,1,0,0,.222,.353,.575,.176
Apr 25,@ CHW,W 4-3,4,0,0,0,0,0,0,0,2,0,0,.182,.286,.468,.143
Apr 26,@ CLE,W 5-4,3,0,0,0,0,0,0,1,1,0,0,.192,.250,.442,.125
Apr 27,@ CLE,L 6-5,4,0,0,0,0,0,0,0,2,0,0,.167,.214,.381,.107
Apr 28,@ CLE,W 12-4,0,1,0,0,0,0,0,0,0,0,0,.167,.214,.381,.107
Apr 29,@ CLE,W 10-4,5,1,1,0,0,0,1,0,0,0,0,.171,.212,.383,.121
May 1,vs OAK,W 6-3,3,1,1,0,0,0,0,1,0,0,0,.205,.222,.427,.139
May 2,vs OAK,L 3-2,Did not play
May 3,vs OAK,W 4-1,Did not play
May 4,vs LAA,L 5-0,3,0,0,0,0,0,0,0,3,0,0,.190,.205,.395,.128
May 5,vs LAA,W 9-8,1,1,1,0,0,0,0,0,0,0,0,.209,.225,.434,.150
May 6,vs LAA,L 8-2,2,0,1,0,0,0,0,0,1,0,0,.222,.238,.460,.167
May 8,@ TOR,W 5-0,3,1,1,0,0,0,0,1,0,0,0,.245,.244,.489,.178
May 9,@ TOR,L 5-2,1,0,1,0,0,0,0,0,0,0,0,.260,.261,.521,.196
May 10,@ TOR,W 9-3,Did not play
May 12,@ DET,L 4-3,1,0,0,0,0,0,1,1,0,0,0,.269,.255,.524,.191
May 12,@ DET,W 9-5,5,0,0,0,0,0,0,0,3,0,0,.246,.231,.477,.173
May 13,@ DET,L 5-4,0,1,0,0,0,0,0,0,0,0,0,.259,.231,.490,.173
May 14,@ MIN,W 1-0,3,0,1,1,0,0,0,1,0,0,0,.274,.255,.529,.182
May 15,vs TEX,W 9-8,3,0,0,0,0,0,0,0,2,0,0,.262,.241,.503,.172
May 16,vs TEX,L 5-1,4,0,2,1,0,0,0,0,0,0,0,.275,.274,.549,.194
