DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 23,vs CHW,L 5-3,1.0,1,0,0,0,0,2,0,2,18,4,-,-,-,2.98
Jul 14,@ LAD,W 5-4,1.0,3,1,1,0,1,2,2,2,27,7,-,-,BlSv(3),3.05
Jul 7,vs LAD,L 3-1,1.0,0,0,0,0,0,0,1,2,14,3,-,-,-,2.91
Jul 6,vs LAD,W 3-2,1.0,0,0,0,0,0,1,2,0,8,3,-,W(2-1),-,2.98
Jul 4,@ SEA,W 7-4,1.0,2,0,0,0,0,0,3,2,18,5,-,-,Sv(10),3.05
Jun 30,@ BAL,W 6-2,1.0,1,0,0,0,0,0,1,3,9,4,-,-,-,3.12
Jun 28,@ BOS,L 4-2,1.0,0,0,0,0,0,0,3,0,10,3,-,-,-,3.20
Jun 27,@ BOS,L 9-6,0.1,0,0,0,0,0,0,0,1,2,1,-,-,-,3.29
Jun 24,vs TOR,L 7-6,1.0,0,0,0,0,0,2,1,0,10,3,-,-,-,3.32
Jun 22,vs TOR,W 2-1,1.0,0,0,0,0,0,1,1,1,11,3,-,-,Sv(9),3.41
Jun 19,vs ARI,W 5-4,2.0,2,2,2,1,0,4,2,2,31,8,-,-,Sv(8),3.50
Jun 17,@ OAK,L 6-5,0.1,1,2,2,1,2,1,0,1,16,4,-,-,H(2),3.18
Jun 13,@ SEA,L 8-6,2.0,2,1,1,1,1,3,0,4,37,8,-,-,BlSv(2),2.67
Jun 9,@ MIN,W 2-1,1.0,1,0,0,0,0,1,0,3,14,4,-,-,Sv(7),2.56
Jun 8,@ MIN,W 4-2,1.0,0,0,0,0,0,1,1,1,17,3,-,-,Sv(6),2.64
Jun 6,vs KC,W 4-3,1.1,0,0,0,0,0,3,0,1,19,4,-,-,Sv(5),2.73
Jun 4,vs KC,W 9-6,1.0,0,0,0,0,1,1,0,2,20,4,-,-,Sv(4),2.86
Jun 2,vs TEX,L 3-2,1.0,1,1,1,0,1,1,0,2,16,4,-,-,BlSv(1),2.96
Jun 1,vs TEX,W 6-0,0.2,0,0,0,0,0,0,1,0,4,1,-,-,-,2.73
May 29,@ DET,W 9-2,1.0,2,0,0,0,0,2,1,2,19,5,-,-,-,2.81
May 27,@ NYY,L 3-1,1.0,0,0,0,0,0,0,1,2,13,3,-,-,-,2.92
May 23,@ TOR,W 5-4,1.0,3,1,1,0,1,1,0,4,22,6,-,-,Sv(3),3.04
May 20,vs TB,W 5-2,1.0,1,0,0,0,0,2,0,2,17,4,-,-,Sv(2),2.78
May 18,vs TB,L 8-3,1.1,1,0,0,0,0,2,1,2,15,5,-,-,-,2.91
May 16,vs HOU,L 2-0,1.0,0,0,0,0,0,2,0,1,15,3,-,-,-,3.10
May 13,vs MIN,W 2-1,0.1,0,0,0,0,0,0,0,1,1,1,-,W(1-1),-,3.26
May 12,vs MIN,L 5-3,1.0,0,0,0,0,1,2,0,1,17,4,-,-,-,3.32
May 8,@ COL,L 4-2,1.0,0,0,0,0,0,1,2,0,15,3,-,-,-,3.50
May 5,@ SEA,L 9-8,1.2,2,0,0,0,1,1,2,4,32,8,-,-,-,3.71
May 3,vs BAL,W 12-3,1.0,0,0,0,0,0,3,0,0,15,3,-,-,-,4.11
Apr 28,vs NYY,L 11-1,1.1,2,0,0,0,0,2,1,3,20,6,-,-,-,4.40
Apr 27,vs NYY,L 4-3,1.0,1,1,1,1,0,1,1,2,14,4,-,L(0-1),-,4.85
Apr 25,@ HOU,L 5-2,1.0,0,0,0,0,0,0,0,3,8,3,-,-,-,4.50
Apr 22,vs SF,L 4-2,1.2,2,1,1,1,0,2,1,4,32,7,-,-,-,4.91
Apr 20,vs SF,L 8-1,1.0,1,0,0,0,0,1,1,2,22,4,-,-,-,4.82
Apr 17,vs BOS,L 10-1,1.1,2,0,0,0,1,0,2,3,23,6,-,-,-,5.40
Apr 14,@ KC,W 5-3,0.1,2,1,1,1,1,0,1,2,15,4,-,-,H(1),6.43
Apr 12,@ KC,W 7-1,1.0,1,0,0,0,0,1,1,2,15,4,-,-,-,5.40
Apr 9,@ TEX,W 8-3,1.0,0,0,0,0,0,1,2,0,11,3,-,-,-,6.35
Apr 7,vs OAK,L 7-3,1.1,2,2,2,0,1,1,3,1,26,6,-,-,-,7.71
Apr 4,vs CLE,W 3-2,1.0,0,0,0,0,0,1,0,2,12,3,-,-,-,5.40
Apr 3,vs CLE,W 13-2,1.0,0,0,0,0,0,0,0,3,11,3,-,-,-,7.71
Apr 1,@ OAK,W 7-4,0.1,2,1,1,0,1,1,0,2,18,4,-,-,-,13.50
Mar 30,@ OAK,W 2-1,1.0,2,1,1,0,1,2,2,1,27,6,-,-,Sv(1),9.00
