DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 12,@ MIN,L 5-1,3.0,5,3,3,0,3,2,6,5,75,16,36,L(12-5),-,2.27
Jul 7,@ NYM,W 3-0,7.1,6,0,0,0,3,9,11,5,112,28,72,W(12-4),-,2.09
Jul 1,vs HOU,W 3-2,7.1,4,1,1,1,1,10,8,9,100,28,75,W(11-4),-,2.24
Jun 25,vs WSH,W 11-0,7.0,1,0,0,0,4,10,6,5,103,25,81,W(10-4),-,2.31
Jun 19,@ HOU,W 2-1,7.0,3,1,1,0,7,6,7,8,102,28,66,W(9-4),-,2.48
Jun 14,@ NYY,L 4-3,5.0,5,4,4,2,4,8,7,5,105,24,45,L(8-4),-,2.58
Jun 9,vs SEA,W 7-3,6.0,7,2,1,1,2,1,5,18,95,27,51,W(8-3),-,2.30
Jun 3,@ SEA,L 2-1,6.0,2,0,0,0,0,12,6,2,100,20,80,-,-,2.36
May 29,@ OAK,W 4-3,5.2,2,1,0,0,2,7,8,6,97,23,68,W(7-3),-,2.56
May 24,vs BOS,W 6-3,6.0,3,0,0,0,2,8,7,5,101,22,72,W(6-3),-,2.78
May 18,@ LAA,W 8-3,6.2,4,2,2,0,3,8,6,10,114,27,63,W(5-3),-,3.07
May 13,@ BAL,L 17-1,3.1,6,5,5,3,2,3,6,8,73,19,29,L(4-3),-,3.12
May 8,vs ATL,L 1-0,6.1,4,1,1,1,2,5,4,14,105,25,64,L(4-2),-,2.40
May 2,@ DET,L 3-2,6.2,5,2,2,1,1,4,9,11,86,25,59,-,-,2.55
Apr 27,@ BOS,W 4-3,7.1,5,2,2,0,1,9,9,8,104,27,68,W(4-1),-,2.52
Apr 21,vs MIN,W 10-1,7.0,5,1,1,0,0,6,6,13,100,25,69,W(3-1),-,2.54
Apr 16,vs TEX,W 8-4,6.1,5,1,1,1,0,9,4,10,103,23,68,W(2-1),-,2.95
Apr 10,@ CHW,W 6-5,6.0,1,1,1,0,5,10,7,2,114,24,71,W(1-1),-,3.60
Apr 4,@ NYY,L 7-2,3.1,4,5,5,2,3,5,3,6,90,17,34,L(0-1),-,5.00
Mar 30,vs BOS,L 1-0,5.2,3,0,0,0,2,2,5,12,84,21,63,-,-,0.00
