DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs LAA,W 6-5,5,1,2,1,1,0,0,0,2,0,0,.400,1.000,1.400,.400
Mar 30,vs LAA,L 2-1,1,0,0,0,0,0,0,0,0,0,0,.333,.833,1.166,.333
Mar 31,vs LAA,L 8-3,4,0,0,0,0,0,0,0,2,0,0,.200,.500,.700,.200
Apr 1,vs LAA,L 7-4,4,0,0,0,0,0,0,0,1,0,0,.143,.357,.500,.143
Apr 2,vs TEX,W 3-1,3,0,0,0,0,0,0,0,0,0,0,.118,.294,.412,.118
Apr 3,vs TEX,L 4-1,Did not play
Apr 4,vs TEX,W 6-2,3,1,0,0,0,0,0,1,0,1,0,.143,.250,.393,.100
Apr 5,vs TEX,L 6-3,Did not play
Apr 6,@ LAA,L 13-9,4,1,2,0,0,0,0,0,1,0,1,.200,.292,.492,.167
Apr 7,@ LAA,W 7-3,Did not play
Apr 8,@ LAA,L 6-1,Did not play
Apr 10,@ LAD,L 4-0,Did not play
Apr 11,@ LAD,W 16-6,Did not play
Apr 13,@ SEA,L 7-4,Did not play
Apr 14,@ SEA,L 10-8,Did not play
Apr 15,@ SEA,W 2-1,Did not play
Apr 16,vs CHW,W 8-1,Did not play
Apr 17,vs CHW,W 10-2,Did not play
Apr 18,vs CHW,W 12-11,Did not play
Apr 20,vs BOS,L 7-3,Did not play
Apr 21,vs BOS,W 3-0,Did not play
Apr 22,vs BOS,W 4-1,Did not play
Apr 23,@ TEX,W 9-4,Did not play
Apr 24,@ TEX,W 3-2,Did not play
Apr 25,@ TEX,L 4-2,Did not play
Apr 27,@ HOU,W 8-1,Did not play
Apr 28,@ HOU,L 11-0,Did not play
Apr 29,@ HOU,L 8-4,Did not play
May 1,@ SEA,L 6-3,Did not play
May 2,@ SEA,W 3-2,Did not play
May 3,@ SEA,L 4-1,Did not play
May 4,vs BAL,W 6-4,Did not play
May 5,vs BAL,W 2-0,Did not play
May 6,vs BAL,W 2-1,Did not play
May 7,vs HOU,L 16-2,Did not play
May 8,vs HOU,L 4-2,Did not play
May 9,vs HOU,L 4-1,Did not play
May 11,@ NYY,W 10-5,Did not play
May 12,@ NYY,L 7-6,Did not play
May 13,@ NYY,L 6-2,Did not play
May 14,@ BOS,W 6-5,Did not play
May 15,@ BOS,W 5-3,Did not play
May 16,@ BOS,L 6-4,Did not play
May 17,@ TOR,W 10-5,Did not play
May 18,@ TOR,W 3-1,Did not play
May 19,@ TOR,W 5-4,Did not play
May 20,@ TOR,W 9-2,Did not play
May 22,vs SEA,L 3-2,Did not play
May 23,vs SEA,L 1-0,Did not play
May 24,vs SEA,W 4-3,Did not play
May 25,vs ARI,L 7-1,Did not play
May 26,vs ARI,W 3-0,Did not play
May 27,vs ARI,W 2-1,Did not play
May 28,vs TB,L 1-0,Did not play
May 29,vs TB,L 4-3,Did not play
May 30,vs TB,L 6-0,Did not play
May 31,vs TB,W 7-3,Did not play
Jun 1,@ KC,W 16-0,Did not play
Jun 2,@ KC,L 5-4,Did not play
Jun 3,@ KC,W 5-1,Did not play
Jun 5,@ TEX,L 7-4,Did not play
Jun 6,@ TEX,L 8-2,Did not play
Jul 3,vs SD,W 6-2,Did not play
Jul 4,vs SD,W 4-2,Did not play
Jul 6,@ CLE,L 10-4,Did not play
Jul 7,@ CLE,W 6-3,Did not play
Jul 8,@ CLE,W 6-0,Did not play
Jul 9,@ HOU,W 2-0,Did not play
Jul 10,@ HOU,L 6-5,Did not play
Jul 11,@ HOU,W 8-3,Did not play
Jul 12,@ HOU,W 6-4,Did not play
Jul 13,@ SF,L 7-1,Did not play
Jul 14,@ SF,W 4-3,Did not play
Jul 15,@ SF,W 6-2,Did not play
Jul 20,vs SF,L 5-1,Did not play
Jul 21,vs SF,W 4-3,Did not play
Jul 22,vs SF,W 6-5,Did not play
Jul 23,@ TEX,W 15-3,Did not play
Jul 24,@ TEX,W 13-10,Did not play
