DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 24,vs BOS,W 7-6,1.0,2,1,0,0,1,0,4,0,22,5,-,-,Sv(11),4.85
Jul 22,@ TOR,L 5-4,0.2,3,3,3,1,0,0,3,2,19,5,-,-,H(3),4.97
Jul 20,@ TOR,L 8-7,1.0,0,0,0,0,0,0,2,1,12,3,-,-,-,4.34
Jul 14,vs TEX,W 1-0,1.0,1,0,0,0,0,2,0,2,15,4,-,W(1-2),-,4.46
Jul 12,vs PHI,L 5-4,0.1,0,0,0,0,0,0,1,0,4,1,-,-,-,4.58
Jul 9,vs NYY,L 10-2,0.2,4,4,3,1,0,1,2,3,31,6,-,-,-,4.63
Jul 8,@ MIN,L 10-1,1.0,0,0,0,0,1,1,2,0,14,4,-,-,-,3.93
Jul 5,@ MIN,L 5-2,1.0,3,2,2,0,0,1,3,2,22,6,-,-,-,4.05
Jun 30,vs LAA,L 6-2,1.0,0,0,0,0,0,0,1,2,17,3,-,-,H(2),3.62
Jun 27,vs SEA,L 8-7,1.0,1,0,0,0,0,0,1,3,14,4,-,-,-,3.73
Jun 25,vs SEA,L 5-3,0.1,0,0,0,0,0,0,1,0,6,1,-,-,-,3.86
Jun 24,@ ATL,L 7-3,1.0,2,2,2,1,0,1,2,2,22,5,-,-,-,3.90
Jun 22,@ ATL,W 10-7,0.2,1,0,0,0,0,1,0,2,9,3,-,-,-,3.41
Jun 20,@ WSH,W 3-0,0.2,2,0,0,0,1,1,2,1,19,5,-,-,-,3.49
Jun 17,vs MIA,W 10-4,1.0,1,0,0,0,1,1,1,2,13,5,-,-,-,3.58
Jun 16,vs MIA,L 5-4,1.0,1,0,0,0,0,2,2,0,16,4,-,-,-,3.71
Jun 13,vs BOS,L 5-1,0.2,1,0,0,0,0,0,2,0,7,2,-,-,-,3.86
Jun 11,vs BOS,L 2-0,1.2,1,0,0,0,1,2,3,1,30,7,-,-,-,3.96
Jun 7,@ TOR,L 5-4,0.1,3,3,3,0,2,0,0,4,21,6,-,-,BlSv(2),4.24
Jun 6,@ NYM,W 1-0,1.0,1,0,0,0,0,0,1,3,13,4,-,-,Sv(10),3.13
Jun 5,@ NYM,W 2-1,1.0,0,0,0,0,1,0,0,3,15,4,-,-,Sv(9),3.27
May 29,vs WSH,L 3-2,1.0,0,0,0,0,0,1,1,1,12,3,-,-,-,3.43
May 25,@ TB,W 2-0,1.0,2,0,0,0,0,0,3,2,17,5,-,-,Sv(8),3.60
May 21,@ CHW,W 3-2,1.0,1,0,0,0,2,3,0,1,22,6,-,-,Sv(7),3.79
May 18,@ BOS,W 7-4,1.1,1,0,0,0,1,0,3,2,29,6,-,-,Sv(6),4.00
May 16,vs PHI,L 4-1,1.0,0,0,0,0,0,1,1,1,11,3,-,-,-,4.32
May 11,vs TB,W 9-4,1.1,1,0,0,0,0,1,2,1,11,4,-,-,Sv(5),4.60
May 9,vs KC,W 5-3,1.0,0,0,0,0,1,2,1,1,19,5,-,-,Sv(4),5.02
May 6,@ OAK,L 2-1,1.0,1,0,0,0,0,2,1,1,13,4,-,-,-,5.40
May 4,@ OAK,L 6-4,1.1,2,1,0,0,0,2,3,2,31,7,-,L(0-2),-,5.84
May 1,@ LAA,L 3-2,0.0,3,1,1,0,1,0,0,3,20,4,-,L(0-1),-,INF
Apr 29,vs DET,W 5-3,1.1,3,2,2,0,0,4,0,3,28,7,-,-,H(1),5.73
Apr 26,vs TB,L 9-5,1.0,0,0,0,0,0,0,2,1,7,3,-,-,-,4.66
Apr 22,vs CLE,L 7-3,1.0,4,3,3,1,0,0,4,3,23,7,-,-,-,5.19
Apr 17,@ DET,L 4-2,1.0,1,0,0,0,1,0,1,3,23,5,-,-,-,2.35
Apr 11,vs TOR,W 5-3,1.0,1,0,0,0,0,0,1,3,11,4,-,-,Sv(3),2.70
Apr 8,@ NYY,W 8-7,1.0,0,0,0,0,2,1,2,0,21,5,-,-,Sv(2),3.18
Apr 6,@ NYY,W 7-3,1.0,0,0,0,0,0,1,0,2,11,3,-,-,-,3.86
Apr 5,@ NYY,W 5-2,1.0,0,0,0,0,1,2,0,1,17,4,-,-,Sv(1),4.91
Apr 4,@ HOU,L 3-2,1.0,1,0,0,0,0,2,1,1,14,4,-,-,-,6.75
Apr 1,vs MIN,L 7-0,1.0,0,0,0,0,0,1,2,0,6,3,-,-,-,10.80
Mar 29,vs MIN,W 3-2,0.2,2,2,2,0,2,2,1,1,34,6,-,-,BlSv(1),27.00
