DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 25,vs PIT,W 4-0,1.1,0,0,0,0,0,3,1,0,17,4,-,-,-,2.70
Jul 24,vs PIT,L 9-4,1.0,1,0,0,0,0,0,1,2,9,3,-,-,-,4.50
Jul 20,@ TEX,W 9-8,1.0,1,1,1,1,0,1,1,2,21,4,-,-,H(1),9.00
"Previously with SD, Acquired by CLE"
Jul 13,vs CHC,L 5-4,1.0,1,1,1,0,0,1,1,2,21,5,-,-,BlSv(5),3.05
Jul 8,@ ARI,W 4-3,2.0,2,0,0,0,0,3,2,3,36,8,-,W(2-4),-,2.91
Jul 5,@ ARI,W 6-3,1.0,1,0,0,0,0,3,1,0,14,4,-,-,Sv(24),3.05
Jun 30,vs PIT,W 4-3,1.0,3,2,2,0,0,1,0,5,24,6,-,-,Sv(23),3.12
Jun 26,@ TEX,W 3-2,1.0,2,0,0,0,0,1,2,2,18,5,-,-,Sv(22),2.75
Jun 24,@ SF,L 3-2,0.1,2,2,2,0,1,1,1,1,12,5,-,L(1-4),BlSv(4),2.82
Jun 22,@ SF,W 6-2,1.0,0,0,0,0,0,1,1,1,14,3,-,-,-,2.37
Jun 19,vs OAK,L 4-2,1.0,1,1,1,1,0,1,2,1,19,4,-,-,BlSv(3),2.43
Jun 17,@ ATL,L 4-1,0.2,2,2,2,1,0,1,1,2,19,4,-,-,-,2.25
Jun 13,@ STL,W 4-2,1.0,0,0,0,0,0,0,2,0,12,3,-,-,Sv(21),1.78
Jun 12,@ STL,W 4-2,1.0,0,0,0,0,0,1,1,1,12,4,-,-,Sv(20),1.83
Jun 10,@ MIA,W 3-1,1.0,0,0,0,0,0,1,2,0,8,3,-,-,Sv(19),1.89
Jun 9,@ MIA,W 5-4,1.0,0,0,0,0,0,1,1,1,17,3,-,-,H(3),1.95
Jun 6,vs ATL,W 3-1,2.0,1,0,0,0,0,4,1,2,28,7,-,-,Sv(18),2.01
Jun 3,vs CIN,W 6-3,1.0,2,1,1,1,0,2,1,2,25,5,-,-,H(2),2.15
May 31,vs MIA,W 8-3,0.1,0,0,0,0,0,1,0,0,3,1,-,-,Sv(17),1.91
May 29,vs MIA,W 9-5,1.0,0,0,0,0,0,2,0,1,14,3,-,-,H(1),1.93
May 26,@ LAD,W 7-5,1.0,0,0,0,0,1,1,1,1,18,4,-,-,Sv(16),2.00
May 23,@ WSH,W 3-1,1.2,2,0,0,0,0,2,2,2,24,6,-,-,Sv(15),2.08
May 20,@ PIT,W 8-5,1.0,0,0,0,0,2,0,1,3,17,6,-,-,Sv(14),2.22
May 18,@ PIT,W 3-2,1.1,1,0,0,0,0,2,2,1,20,5,-,-,Sv(13),2.31
May 15,vs COL,W 4-0,1.1,0,0,0,0,1,2,0,2,23,5,-,-,Sv(12),2.45
May 13,vs STL,W 5-3,1.0,1,1,1,1,2,2,1,1,27,7,-,-,Sv(11),2.61
May 12,vs STL,W 2-1,2.0,0,0,0,0,1,2,4,0,27,7,-,-,-,2.29
May 9,vs WSH,W 2-1,1.0,1,0,0,0,0,2,0,2,15,4,-,-,Sv(10),2.55
May 6,vs LAD,W 3-0,1.0,0,0,0,0,0,3,0,0,17,3,-,-,Sv(9),2.70
May 5,vs LAD,W 7-4,1.0,1,0,0,0,0,3,0,1,17,4,-,-,Sv(8),2.87
May 1,@ SF,W 3-2,1.0,0,0,0,0,0,0,2,1,11,3,-,-,Sv(7),3.07
Apr 30,@ SF,L 6-5,1.1,2,3,3,0,2,2,2,2,37,9,-,L(1-3),BlSv(2),3.29
Apr 25,@ COL,L 5-2,1.0,1,0,0,0,0,1,1,2,19,4,-,-,-,1.46
Apr 20,@ ARI,W 4-1,1.1,0,0,0,0,1,4,0,0,26,5,-,W(1-2),-,1.59
Apr 17,vs LAD,L 7-3,1.0,1,0,0,0,0,0,2,2,17,4,-,-,-,1.80
Apr 14,vs SF,W 5-4,1.1,0,0,0,0,0,4,0,0,19,4,-,-,Sv(6),2.00
Apr 13,vs SF,W 5-1,0.2,0,0,0,0,0,0,1,0,3,1,-,-,Sv(5),2.35
Apr 10,@ COL,W 5-2,1.0,1,0,0,0,0,0,2,1,10,3,-,-,Sv(4),2.57
Apr 9,@ COL,W 7-6,1.0,0,0,0,0,0,3,0,0,15,3,-,-,Sv(3),3.00
Apr 6,@ HOU,W 4-1,1.0,0,0,0,0,1,2,0,1,16,4,-,-,Sv(2),3.60
Apr 5,vs COL,L 3-1,0.2,1,3,0,0,3,2,1,1,31,7,-,L(0-2),-,4.50
Apr 3,vs COL,W 8-4,0.1,0,0,0,0,0,1,0,0,4,1,-,-,Sv(1),5.40
Mar 30,vs MIL,L 8-6,1.0,4,5,2,1,0,1,4,3,29,8,-,L(0-1),BlSv(1),6.00
Mar 29,vs MIL,L 2-1,2.0,0,0,0,0,0,1,2,2,19,6,-,-,-,0.00
