DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 24,vs ATL,W 9-3,1.0,0,0,0,0,0,0,3,0,10,3,-,-,-,4.11
Jul 22,@ TB,L 6-4,1.1,0,0,0,0,0,1,3,0,21,4,-,-,H(10),4.20
Jul 20,@ TB,W 6-5,1.0,0,0,0,0,1,0,3,0,15,4,-,-,-,4.31
Jul 14,vs PHI,W 2-0,1.0,1,0,0,0,0,0,3,0,9,3,-,-,H(9),4.40
Jul 13,vs PHI,L 2-0,1.0,3,1,1,1,0,0,3,2,11,5,-,-,-,4.50
Jul 11,vs MIL,W 5-4,1.0,1,0,0,0,0,0,3,0,12,4,-,-,H(8),4.40
Jul 9,vs MIL,W 4-3,1.0,1,0,0,0,2,1,2,0,11,5,-,W(1-5),-,4.50
Jul 8,@ WSH,W 10-2,1.0,0,0,0,0,0,3,0,0,14,3,-,-,-,4.60
Jul 6,@ WSH,L 3-2,1.0,1,0,0,0,0,1,2,1,14,4,-,-,-,4.71
Jul 4,vs TB,W 3-0,1.0,0,0,0,0,1,1,2,0,19,4,-,-,Sv(10),4.83
Jul 3,vs TB,L 9-6,1.0,0,0,0,0,0,1,1,1,11,3,-,-,-,4.95
Jul 2,vs TB,W 3-2,0.1,0,0,0,0,0,0,1,0,3,1,-,-,H(7),5.08
Jun 29,vs NYM,W 8-2,1.0,0,0,0,0,1,1,1,0,12,3,-,-,-,5.12
Jun 27,vs ARI,L 2-1,1.0,0,0,0,0,0,1,2,0,11,3,-,-,-,5.26
Jun 25,vs ARI,W 9-5,0.2,0,0,0,0,0,0,2,0,7,2,-,-,H(6),5.40
Jun 24,@ COL,W 8-5,1.0,0,0,0,0,0,1,2,0,12,3,-,-,H(5),5.50
Jun 23,@ COL,W 6-2,1.0,1,1,1,1,0,1,2,1,9,4,-,-,-,5.66
Jun 19,@ SF,L 6-3,2.0,2,0,0,0,1,1,3,3,22,8,-,-,-,5.56
Jun 16,@ BAL,W 5-4,1.1,0,0,0,0,1,1,3,0,22,5,-,-,H(4),5.91
Jun 14,vs SF,L 6-3,1.1,1,0,0,0,1,1,2,1,20,5,-,-,-,6.16
Jun 12,vs SF,W 3-1,1.0,1,0,0,0,0,1,2,0,14,3,-,-,H(3),6.44
Jun 11,vs SF,W 7-5,0.2,0,0,0,0,1,1,0,1,10,3,-,-,-,6.67
Jun 8,vs SD,W 4-0,1.2,1,0,0,0,0,2,3,0,17,5,-,-,H(2),6.83
Jun 7,@ STL,L 4-1,1.0,1,0,0,0,1,1,2,1,13,5,-,-,-,7.27
Jun 5,@ STL,W 7-4,1.0,0,0,0,0,0,0,3,0,7,3,-,-,H(1),7.56
Jun 1,@ ARI,L 9-1,1.0,1,1,1,1,0,0,2,2,15,4,-,-,-,7.88
May 30,@ SD,L 3-2,0.1,2,2,1,0,2,0,1,2,11,5,-,L(0-5),BlSv(1),7.83
May 26,vs WSH,L 4-1,0.2,4,3,3,1,1,1,2,3,27,7,-,L(0-4),-,7.54
May 23,@ NYM,W 2-1,1.0,1,0,0,0,0,0,4,0,15,4,-,-,Sv(9),6.55
May 22,@ NYM,W 5-1,1.0,0,0,0,0,0,0,2,1,6,3,-,-,-,6.86
May 20,@ ATL,L 10-9,0.2,3,4,4,0,1,1,3,1,30,6,-,-,-,7.20
May 18,@ ATL,W 2-0,1.0,1,0,0,0,0,0,2,1,12,3,-,-,Sv(8),5.59
May 16,vs LAD,W 6-5,1.0,1,0,0,0,0,0,1,2,7,3,-,-,Sv(7),5.89
May 15,vs LAD,W 4-2,1.0,1,1,1,1,0,1,1,2,15,4,-,-,Sv(6),6.23
May 11,vs ATL,W 6-3,1.0,1,0,0,0,0,0,3,1,12,4,-,-,Sv(5),6.06
May 10,vs ATL,L 9-2,1.0,2,1,1,0,0,1,4,0,16,5,-,-,-,6.46
May 6,@ CIN,W 8-5,0.2,0,0,0,0,0,1,2,0,14,3,-,-,Sv(4),6.28
May 5,@ CIN,W 6-0,1.0,1,0,0,0,0,1,1,1,7,3,-,-,-,6.59
Apr 30,vs PHI,W 8-4,1.0,0,0,0,0,0,0,3,0,10,3,-,-,-,7.11
Apr 29,vs COL,W 3-0,1.0,1,0,0,0,0,2,1,1,16,4,-,-,Sv(3),7.71
Apr 25,@ LAD,W 8-6,1.0,3,3,3,1,0,1,3,2,20,6,-,-,-,8.44
Apr 24,@ LAD,W 3-2,1.0,0,0,0,0,0,0,2,1,8,3,-,-,Sv(2),6.52
Apr 20,@ MIL,L 8-0,1.0,2,0,0,0,0,1,2,1,13,4,-,-,-,7.27
Apr 17,@ NYY,W 9-1,1.0,1,1,1,1,0,2,1,1,16,4,-,-,-,8.22
Apr 14,vs PIT,L 1-0,1.0,3,1,1,0,0,0,4,1,16,5,-,L(0-3),-,8.10
Apr 10,vs NYM,L 8-6,1.0,1,2,1,0,1,0,5,0,20,6,-,L(0-2),-,7.94
Apr 8,@ PHI,W 6-3,1.0,1,0,0,0,0,1,2,1,15,4,-,-,Sv(1),7.71
Apr 3,vs BOS,L 4-2,1.0,1,0,0,0,0,0,2,2,15,4,-,-,-,9.82
Mar 31,vs CHC,L 10-6,1.2,3,4,4,0,1,1,7,1,31,10,-,L(0-1),-,13.50
Mar 30,vs CHC,W 2-1,1.0,1,0,0,0,0,1,1,2,18,5,-,-,-,0.00
