DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ LAD,W 1-0,4,0,1,0,0,0,0,0,2,0,0,.250,.250,.500,.250
Mar 30,@ LAD,W 1-0,3,0,0,0,0,0,0,0,2,0,0,.143,.143,.286,.143
Mar 31,@ LAD,L 5-0,3,0,1,0,0,0,0,1,1,1,0,.273,.200,.473,.200
Apr 1,@ LAD,L 9-0,3,0,1,1,0,0,0,1,0,0,0,.333,.308,.641,.231
Apr 3,vs SEA,L 6-4,Did not play
Apr 4,vs SEA,W 10-1,4,2,3,0,0,1,2,1,1,0,0,.450,.588,1.038,.353
Apr 7,vs LAD,W 7-5,6,0,1,1,0,0,1,0,2,0,0,.385,.522,.907,.304
Apr 8,vs LAD,L 2-1,1,0,0,0,0,0,0,0,1,0,0,.370,.500,.870,.292
Apr 9,vs ARI,L 2-1,4,0,0,0,0,0,0,0,4,0,0,.323,.429,.752,.250
Apr 10,vs ARI,W 5-4,4,1,1,0,0,0,0,1,1,0,0,.333,.406,.739,.250
Apr 11,vs ARI,L 7-3,Did not play
Apr 12,@ SD,W 7-0,2,0,0,0,0,0,0,2,0,0,0,.366,.382,.748,.235
Apr 13,@ SD,L 5-1,3,0,2,0,0,0,0,1,1,0,0,.400,.405,.805,.270
Apr 14,@ SD,L 5-4,Did not play
Apr 15,@ SD,L 10-1,3,0,0,0,0,0,1,0,1,0,0,.367,.375,.742,.250
Apr 17,@ ARI,L 1-0,3,0,1,0,0,0,0,0,0,0,0,.365,.372,.737,.256
Apr 18,@ ARI,W 4-3,4,1,1,0,0,1,2,0,2,0,0,.368,.426,.794,.255
Apr 19,@ ARI,L 3-1,4,1,1,0,0,1,1,0,0,0,0,.361,.471,.832,.255
Apr 20,@ LAA,W 8-1,Did not play
Apr 21,@ LAA,L 4-3,3,1,1,0,0,1,2,1,1,0,0,.369,.519,.888,.259
Apr 22,@ LAA,W 4-2,5,2,3,0,0,1,1,0,0,0,0,.386,.576,.962,.288
Apr 23,vs WSH,W 4-2,3,1,1,1,0,0,0,1,2,0,0,.392,.581,.973,.290
Apr 24,vs WSH,W 4-3,3,1,1,0,0,1,2,1,0,0,0,.397,.615,1.012,.292
Apr 25,vs WSH,L 15-2,4,1,2,0,1,0,0,0,1,0,0,.402,.638,1.040,.304
Apr 27,vs LAD,W 6-4,4,0,2,0,0,0,0,0,1,0,0,.407,.630,1.037,.315
Apr 28,vs LAD,L 15-6,4,0,0,0,0,0,0,1,1,0,0,.396,.597,.993,.299
Apr 28,vs LAD,W 8-3,3,1,2,0,0,0,1,1,0,0,0,.411,.600,1.011,.313
Apr 29,vs LAD,W 4-2,2,1,1,1,0,0,1,2,0,0,0,.424,.610,1.034,.317
Apr 30,vs SD,W 6-5,4,0,0,0,0,0,0,1,0,0,0,.413,.581,.994,.302
