DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs CHC,L 8-4,Did not play
Mar 30,vs CHC,W 2-1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Mar 31,vs CHC,L 10-6,3,1,1,0,0,0,1,1,0,0,0,.400,.250,.650,.250
Apr 1,vs CHC,W 6-0,Did not play
Apr 2,vs BOS,L 7-3,2,0,0,0,0,0,0,0,0,0,0,.286,.167,.453,.167
Apr 3,vs BOS,L 4-2,1,0,0,0,0,0,0,0,1,0,0,.250,.143,.393,.143
Apr 5,@ PHI,L 5-0,2,0,0,0,0,0,0,0,1,0,0,.200,.111,.311,.111
Apr 7,@ PHI,L 20-1,1,0,0,0,0,0,0,0,0,0,0,.182,.100,.282,.100
Apr 8,@ PHI,W 6-3,4,0,1,0,0,0,1,0,0,0,0,.200,.143,.343,.143
Apr 9,vs NYM,L 4-2,3,0,1,0,0,0,0,1,0,0,0,.263,.176,.439,.176
Apr 10,vs NYM,L 8-6,4,0,1,1,0,0,0,0,0,0,0,.261,.238,.499,.190
Apr 11,vs NYM,L 4-1,Did not play
Apr 13,vs PIT,W 7-2,Did not play
Apr 14,vs PIT,L 1-0,3,0,0,0,0,0,0,1,1,0,0,.259,.208,.467,.167
Apr 15,vs PIT,L 7-3,Did not play
Apr 16,@ NYY,L 12-1,4,1,1,0,0,0,0,0,0,0,0,.258,.214,.472,.179
Apr 17,@ NYY,W 9-1,Did not play
Apr 19,@ MIL,L 12-3,Did not play
Apr 20,@ MIL,L 8-0,1,0,1,0,0,0,0,0,0,0,0,.281,.241,.522,.207
Apr 21,@ MIL,L 6-5,4,0,0,0,0,0,0,0,0,0,0,.250,.212,.462,.182
Apr 22,@ MIL,L 4-2,Did not play
Apr 23,@ LAD,L 2-1,Did not play
Apr 24,@ LAD,W 3-2,Did not play
Apr 25,@ LAD,W 8-6,Did not play
Apr 27,vs COL,L 1-0,Did not play
Apr 28,vs COL,W 4-1,Did not play
Apr 29,vs COL,W 3-0,2,1,0,0,0,0,0,1,0,0,0,.256,.200,.456,.171
Apr 30,vs PHI,W 8-4,Did not play
May 1,vs PHI,W 2-1,Did not play
May 2,vs PHI,L 6-0,Did not play
May 4,@ CIN,L 4-1,Did not play
May 5,@ CIN,W 6-0,Did not play
May 6,@ CIN,W 8-5,Did not play
May 7,@ CHC,L 14-2,1,0,0,0,0,0,0,0,0,0,0,.250,.194,.444,.167
May 8,@ CHC,L 4-3,Did not play
May 9,@ CHC,L 13-4,4,1,1,0,0,1,1,0,2,0,0,.250,.275,.525,.175
May 10,vs ATL,L 9-2,Did not play
May 11,vs ATL,W 6-3,Did not play
May 12,vs ATL,L 10-5,Did not play
May 13,vs ATL,L 4-3,Did not play
May 15,vs LAD,W 4-2,Did not play
May 16,vs LAD,W 6-5,Did not play
May 17,vs LAD,L 7-0,3,0,0,0,0,0,0,0,0,0,0,.234,.256,.490,.163
May 18,@ ATL,W 2-0,Did not play
May 19,@ ATL,L 8-1,3,0,0,0,0,0,1,0,0,0,0,.220,.239,.459,.152
May 20,@ ATL,L 10-9,Did not play
May 21,@ NYM,L 2-0,Did not play
May 22,@ NYM,W 5-1,Did not play
May 23,@ NYM,W 2-1,Did not play
May 25,vs WSH,L 9-5,Did not play
May 26,vs WSH,L 4-1,Did not play
May 27,vs WSH,L 5-2,Did not play
May 28,@ SD,W 7-2,4,0,1,0,0,0,0,0,1,0,0,.222,.240,.462,.160
May 29,@ SD,L 9-5,Did not play
May 30,@ SD,L 3-2,Did not play
May 31,@ SD,L 8-3,Did not play
Jun 1,@ ARI,L 9-1,1,0,0,0,0,0,0,0,1,0,0,.218,.235,.453,.157
Jun 2,@ ARI,L 6-2,1,0,1,0,0,0,0,0,0,0,0,.232,.250,.482,.173
Jun 3,@ ARI,L 6-1,Did not play
Jun 5,@ STL,W 7-4,Did not play
Jun 6,@ STL,W 11-3,Did not play
Jun 7,@ STL,L 4-1,3,0,0,0,0,0,0,0,1,0,0,.220,.236,.456,.164
Jun 8,vs SD,W 4-0,Did not play
Jun 9,vs SD,L 5-4,1,0,0,0,0,0,0,0,1,0,0,.217,.232,.449,.161
Jun 10,vs SD,L 3-1,Did not play
Jun 11,vs SF,W 7-5,Did not play
Jun 12,vs SF,W 3-1,Did not play
Jun 13,vs SF,W 5-4,Did not play
Jun 14,vs SF,L 6-3,7,0,2,0,0,0,1,0,1,0,0,.224,.238,.462,.175
Jun 15,@ BAL,W 2-0,Did not play
Jun 16,@ BAL,W 5-4,Did not play
Jun 17,@ BAL,L 10-4,4,0,1,0,0,0,0,0,1,0,0,.225,.239,.464,.179
Jun 18,@ SF,W 5-4,0,0,0,0,0,0,0,0,0,0,0,.225,.239,.464,.179
Jun 19,@ SF,L 6-3,Did not play
Jun 20,@ SF,L 6-5,Did not play
Jun 22,@ COL,L 11-3,Did not play
Jun 23,@ COL,W 6-2,4,0,1,0,0,0,0,0,0,0,0,.227,.239,.466,.183
Jun 24,@ COL,W 8-5,Did not play
Jun 25,vs ARI,W 9-5,3,0,0,0,0,0,1,1,2,0,0,.228,.230,.458,.176
Jun 26,vs ARI,L 5-3,3,0,0,0,0,0,1,0,1,0,0,.229,.221,.450,.169
Jun 27,vs ARI,L 2-1,3,0,0,0,0,0,0,0,0,0,0,.221,.213,.434,.163
Jun 28,vs ARI,L 4-0,4,0,2,0,0,0,0,0,1,0,0,.233,.226,.459,.179
Jun 29,vs NYM,W 8-2,Did not play
Jun 30,vs NYM,W 5-2,Did not play
Jul 1,vs NYM,L 5-2,Did not play
Jul 2,vs TB,W 3-2,Did not play
