DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 22,@ ARI,L 6-1,1.0,0,0,0,0,1,0,3,0,13,4,-,-,-,6.98
Jul 20,@ ARI,W 11-10,1.2,1,1,1,0,0,4,1,1,26,6,-,-,H(12),7.15
Jul 15,vs SEA,W 4-3,0.2,2,0,0,0,0,0,3,1,18,4,-,-,-,7.23
Jul 11,vs ARI,W 19-2,1.0,0,0,0,0,1,2,0,1,19,4,-,-,-,7.36
Jun 23,vs MIA,L 6-2,0.2,2,2,2,1,1,0,3,1,28,5,-,-,-,7.57
Jun 20,vs NYM,W 10-8,0.1,0,0,0,0,0,0,1,0,7,1,-,W(3-5),-,7.20
Jun 19,vs NYM,W 10-8,0.1,2,2,1,0,1,1,2,1,22,5,-,-,-,7.27
Jun 17,@ TEX,L 13-12,0.1,1,1,1,0,1,0,1,1,8,3,-,-,H(11),7.08
Jun 16,@ TEX,L 5-2,1.0,0,0,0,0,0,1,1,1,13,3,-,-,-,6.88
Jun 12,@ PHI,L 5-4,1.0,1,1,1,0,1,1,1,2,20,5,-,-,-,7.09
Jun 9,vs ARI,L 12-7,0.2,4,6,1,0,2,2,3,2,36,9,-,L(2-5),BlSv(4),7.03
Jun 7,@ CIN,L 7-5,2.0,1,0,0,0,2,0,5,0,24,7,-,-,-,6.89
Jun 5,@ CIN,W 9-6,0.2,5,3,3,0,0,0,1,6,17,7,-,-,-,7.36
Jun 2,vs LAD,L 12-4,0.1,3,3,3,1,0,0,3,1,23,4,-,L(2-4),-,6.59
Jun 1,vs LAD,L 11-8,1.0,0,0,0,0,0,0,1,2,9,3,-,-,-,5.72
May 29,vs SF,W 11-4,1.0,1,1,1,1,0,2,1,1,23,4,-,-,-,5.93
May 28,vs SF,W 6-5,1.0,2,0,0,0,0,0,3,2,16,5,-,W(2-3),-,5.81
May 26,vs CIN,L 6-5,1.0,2,1,1,0,0,1,3,1,18,5,-,-,-,6.04
May 22,@ LAD,L 5-3,1.0,3,3,3,2,0,0,2,4,19,6,-,L(1-3),BlSv(3),5.92
May 20,@ SF,L 9-5,1.0,2,2,2,0,1,0,2,3,23,6,-,L(1-2),BlSv(2),5.01
May 18,@ SF,W 6-1,1.1,0,0,0,0,0,2,2,0,19,4,-,-,H(10),4.43
May 17,@ SF,W 5-3,1.0,0,0,0,0,0,3,0,0,16,3,-,-,-,4.71
May 14,@ SD,W 6-4,1.1,1,0,0,0,1,2,1,1,24,5,-,-,H(9),4.95
May 12,vs MIL,W 4-0,0.1,0,0,0,0,0,0,1,0,5,1,-,-,H(8),5.30
May 11,vs MIL,L 11-10,1.0,1,0,0,0,0,0,2,1,11,3,-,-,H(7),5.40
May 10,vs MIL,L 5-2,1.0,0,0,0,0,1,2,0,0,17,3,-,-,-,5.71
May 6,@ NYM,W 3-2,0.2,0,0,0,0,0,2,0,0,10,2,-,-,H(6),6.06
May 4,@ NYM,W 8-7,1.0,1,0,0,0,1,2,2,0,23,5,-,-,-,6.32
Apr 29,@ MIA,L 3-0,1.0,1,1,1,0,2,1,1,2,22,6,-,-,-,6.75
Apr 27,@ MIA,W 1-0,1.0,0,0,0,0,0,0,3,0,12,3,-,-,H(5),6.59
Apr 25,vs SD,W 5-2,1.0,0,1,1,0,2,1,1,1,20,5,-,-,-,7.11
Apr 24,vs SD,W 8-0,1.0,0,0,0,0,0,3,0,0,13,3,-,-,-,6.94
Apr 22,vs CHC,L 9-7,0.1,2,0,0,0,0,1,1,1,11,3,-,-,-,7.59
Apr 20,vs CHC,L 16-5,0.2,4,5,5,1,1,1,1,4,29,7,-,-,-,7.84
Apr 17,@ PIT,W 2-0,0.1,0,0,0,0,0,0,1,0,6,1,-,-,H(4),3.72
Apr 15,@ WSH,W 6-5,0.2,2,1,1,1,2,1,0,3,25,6,-,-,BlSv(1),3.86
Apr 13,@ WSH,W 2-1,1.0,0,0,0,0,0,2,1,0,16,3,-,-,H(3),3.12
Apr 12,@ WSH,W 5-1,1.0,1,0,0,0,0,1,2,1,20,4,-,-,-,3.52
Apr 10,vs SD,L 5-2,1.0,3,3,3,1,0,0,3,3,14,6,-,L(1-1),-,4.05
Apr 9,vs SD,L 7-6,1.1,1,0,0,0,0,1,2,2,22,5,-,-,-,0.00
Apr 7,vs ATL,W 3-2,1.0,1,0,0,0,0,0,1,2,9,3,-,-,H(2),0.00
Apr 4,@ SD,W 5-2,0.1,1,0,0,0,0,0,1,1,3,2,-,-,-,0.00
Apr 2,@ SD,W 7-4,1.0,1,0,0,0,0,0,1,3,15,4,-,-,H(1),0.00
Mar 31,@ ARI,W 2-1,1.0,1,0,0,0,0,0,2,1,12,3,-,W(1-0),-,0.00
Mar 30,@ ARI,L 9-8,1.0,0,0,0,0,1,1,1,1,13,4,-,-,-,0.00
