DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 19,@ CHC,L 9-6,5.0,7,6,5,1,1,2,10,11,90,24,32,L(6-6),-,3.39
Jul 13,vs CIN,L 9-1,5.0,6,3,3,1,2,4,11,6,89,24,45,L(6-5),-,3.08
Jul 7,@ SF,W 3-2,7.0,6,1,1,0,0,3,10,14,100,27,64,W(6-4),-,2.94
Jul 2,@ ARI,W 6-3,6.0,5,2,1,0,2,7,10,6,96,25,-,W(5-4),-,3.09
Jun 26,vs CLE,W 11-2,6.0,6,2,2,0,1,8,3,13,103,25,59,W(4-4),-,3.22
Jun 21,@ MIL,L 11-3,4.0,8,7,5,1,2,3,7,11,92,23,23,L(3-4),-,3.24
Jun 16,vs CHC,L 6-3,5.0,7,3,3,1,6,5,8,8,98,27,-,-,-,2.73
Jun 10,@ CIN,L 6-3,3.2,4,5,5,0,7,5,6,4,96,23,31,L(3-3),-,2.50
Jun 5,vs MIA,L 7-4,4.0,4,2,2,0,5,5,6,2,75,18,46,-,-,1.83
May 8,vs MIN,L 7-1,5.0,4,4,2,0,3,2,7,12,85,25,46,L(3-2),-,1.62
May 2,vs CHW,W 3-2,7.1,5,1,1,0,2,5,11,9,99,27,67,W(3-1),-,1.40
Apr 26,vs NYM,W 4-3,6.0,4,1,1,0,0,3,12,7,86,25,63,-,-,1.43
Apr 21,vs CIN,W 4-3,6.0,3,0,0,0,3,7,8,5,91,24,70,-,-,1.42
Apr 15,@ CIN,W 3-2,7.0,2,0,0,0,4,11,6,5,108,27,80,W(2-1),-,1.75
Apr 10,vs MIL,W 5-3,6.0,6,1,1,1,2,4,12,7,92,26,58,-,-,2.41
Apr 4,@ MIL,W 6-0,8.1,4,0,0,0,2,10,10,9,114,32,83,W(1-1),-,2.84
Mar 29,@ NYM,L 9-4,4.1,4,5,4,0,6,5,6,6,90,24,36,L(0-1),-,8.31
