DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ ATL,L 8-5,5,1,2,0,0,1,1,0,2,0,0,.400,1.000,1.400,.400
Mar 30,@ ATL,W 5-4,4,0,2,1,0,0,0,2,1,0,0,.545,.889,1.434,.444
Mar 31,@ ATL,L 15-2,4,0,0,0,0,0,0,0,2,0,0,.400,.615,1.015,.308
Apr 3,@ NYM,L 2-0,4,0,1,0,0,0,0,0,1,0,0,.368,.529,.897,.294
Apr 4,@ NYM,L 4-2,4,1,1,0,0,0,0,0,1,0,0,.348,.476,.824,.286
Apr 5,vs MIA,W 5-0,2,1,1,0,0,0,0,3,0,2,1,.429,.478,.907,.304
Apr 7,vs MIA,W 20-1,3,1,1,0,0,0,1,1,0,0,0,.438,.462,.900,.308
Apr 8,vs MIA,L 6-3,3,1,1,1,0,0,0,1,2,0,0,.444,.483,.927,.310
Apr 9,vs CIN,W 6-5,3,1,1,0,0,0,0,1,1,0,0,.450,.469,.919,.313
Apr 10,vs CIN,W 6-1,4,1,1,0,0,0,0,0,2,1,0,.432,.444,.876,.306
Apr 11,vs CIN,W 4-3,4,1,1,0,0,1,1,2,1,0,0,.440,.500,.940,.300
Apr 13,@ TB,W 2-1,2,0,0,0,0,0,0,2,1,0,0,.444,.476,.920,.286
Apr 14,@ TB,W 9-4,5,1,1,0,0,0,1,0,1,0,0,.424,.447,.871,.277
Apr 15,@ TB,W 10-4,4,2,1,0,0,0,1,1,1,0,0,.422,.431,.853,.275
Apr 16,@ ATL,L 2-1,1,0,0,0,0,0,0,0,0,0,0,.415,.423,.838,.269
Apr 17,@ ATL,W 5-1,3,2,2,0,0,0,0,2,0,1,0,.443,.436,.879,.291
Apr 18,@ ATL,L 7-3,4,0,0,0,0,0,0,0,2,0,0,.419,.407,.826,.271
Apr 19,vs PIT,W 7-0,4,1,2,0,0,0,3,1,0,1,0,.430,.413,.843,.286
Apr 20,vs PIT,W 2-1,4,1,2,1,0,0,0,0,1,0,0,.434,.433,.867,.299
Apr 21,vs PIT,W 6-2,5,0,0,0,0,0,0,0,2,0,0,.409,.403,.812,.278
Apr 22,vs PIT,W 3-2,3,0,1,0,0,0,1,1,0,0,0,.409,.400,.809,.280
Apr 24,vs ARI,L 8-4,4,1,2,0,0,0,1,1,1,0,0,.418,.405,.823,.291
Apr 25,vs ARI,W 5-3,4,2,3,1,0,0,0,0,0,0,1,.431,.434,.865,.313
Apr 26,vs ARI,L 8-2,4,0,1,0,0,0,0,0,2,0,0,.425,.425,.850,.310
Apr 27,vs ATL,W 7-3,3,1,0,0,0,0,0,1,1,0,0,.418,.411,.829,.300
Apr 28,vs ATL,L 4-1,2,0,0,0,0,0,0,2,1,0,0,.421,.402,.823,.293
Apr 29,vs ATL,L 10-1,3,0,0,0,0,0,0,1,2,0,0,.415,.389,.804,.284
Apr 30,@ MIA,L 8-4,4,0,1,1,0,0,0,1,0,0,0,.415,.394,.809,.283
May 1,@ MIA,L 2-1,5,0,1,0,0,0,0,0,0,0,0,.406,.385,.791,.279
May 2,@ MIA,W 6-0,5,2,2,0,0,1,1,0,0,0,0,.406,.413,.819,.284
May 4,@ WSH,L 7-3,3,0,1,1,0,0,0,1,0,0,0,.409,.420,.829,.286
May 5,@ WSH,W 3-1,5,1,1,0,0,0,0,0,2,0,0,.401,.410,.811,.282
May 6,@ WSH,L 5-4,4,0,0,0,0,0,0,1,3,0,0,.395,.397,.792,.273
May 7,vs SF,W 11-0,3,2,1,0,0,1,2,1,1,1,0,.397,.419,.816,.274
May 8,vs SF,W 4-2,4,1,1,1,0,0,0,0,0,0,0,.394,.422,.816,.273
May 9,vs SF,W 11-3,4,1,0,0,0,0,0,1,3,0,0,.388,.409,.797,.265
May 10,vs SF,W 6-3,5,1,2,0,0,0,0,0,1,0,0,.388,.409,.797,.270
May 11,vs NYM,L 3-1,5,0,1,0,0,0,0,0,2,1,0,.382,.401,.783,.268
May 13,vs NYM,W 4-2,3,0,0,0,0,0,0,2,0,0,0,.383,.393,.776,.262
May 16,@ BAL,W 4-1,5,2,2,0,1,1,1,0,1,0,0,.383,.427,.810,.267
May 17,@ STL,W 6-2,5,1,2,0,0,0,0,0,0,1,0,.384,.426,.810,.271
