DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 1,@ LAD,L 6-4,3.0,2,2,2,0,2,2,5,4,58,14,-,-,-,5.10
Jun 26,@ SF,L 3-2,6.1,6,2,2,1,4,4,15,6,109,29,53,-,-,5.07
Jun 20,vs NYM,W 10-8,4.2,9,8,8,0,5,4,8,10,97,27,13,-,-,5.23
Jun 15,@ TEX,W 9-5,5.2,6,5,5,2,3,6,11,4,106,24,40,W(5-1),-,4.65
Jun 9,vs ARI,L 12-7,4.0,5,5,5,3,2,6,5,6,96,21,36,-,-,4.40
Jun 3,vs LAD,L 10-7,5.2,7,5,5,2,0,6,7,11,89,24,41,-,-,4.02
May 28,vs SF,W 6-5,6.0,10,5,5,1,0,2,13,13,87,28,34,-,-,3.68
May 22,@ LAD,L 5-3,5.0,3,2,2,0,3,4,8,6,89,21,54,-,-,3.30
May 17,@ SF,W 5-3,6.0,5,3,3,1,2,5,10,7,89,24,53,-,-,3.27
May 11,vs MIL,L 11-10,5.0,10,7,7,1,3,3,11,9,85,26,19,-,-,3.12
May 5,@ NYM,W 2-0,7.0,6,0,0,0,1,2,9,15,94,27,66,W(4-1),-,2.05
Apr 29,@ MIA,L 3-0,7.0,4,2,2,1,1,5,8,11,106,25,65,L(3-1),-,2.43
Apr 23,vs SD,L 13-5,5.0,5,4,4,1,2,5,6,9,94,22,44,-,-,2.40
Apr 17,@ PIT,W 2-0,7.1,5,0,0,0,2,3,15,7,85,27,69,W(3-0),-,1.44
Apr 12,@ WSH,W 5-1,7.0,3,1,1,1,2,5,6,11,94,24,70,W(2-0),-,2.04
Apr 7,vs ATL,W 3-2,5.2,4,1,1,0,2,3,8,8,88,21,58,-,-,2.53
Apr 2,@ SD,W 7-4,5.0,5,2,2,1,4,4,7,9,88,25,49,W(1-0),-,3.60
