DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs LAA,W 6-5,Did not play
Mar 30,vs LAA,L 2-1,2,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000
Mar 31,vs LAA,L 8-3,Did not play
Apr 1,vs LAA,L 7-4,Did not play
Apr 2,vs TEX,W 3-1,Did not play
Apr 3,vs TEX,L 4-1,4,1,2,1,0,1,1,1,1,0,0,.429,1.000,1.429,.333
Apr 4,vs TEX,W 6-2,3,1,0,0,0,0,0,0,2,0,0,.364,.667,1.031,.222
Apr 5,vs TEX,L 6-3,4,1,2,0,0,0,0,1,1,0,0,.438,.615,1.053,.308
Apr 6,@ LAA,L 13-9,Did not play
Apr 7,@ LAA,W 7-3,Did not play
Apr 8,@ LAA,L 6-1,Did not play
Apr 10,@ LAD,L 4-0,Did not play
Apr 11,@ LAD,W 16-6,Did not play
Apr 13,@ SEA,L 7-4,Did not play
Apr 14,@ SEA,L 10-8,Did not play
Apr 15,@ SEA,W 2-1,Did not play
Apr 16,vs CHW,W 8-1,Did not play
Apr 17,vs CHW,W 10-2,1,0,0,0,0,0,0,0,1,0,0,.412,.571,.983,.286
Apr 18,vs CHW,W 12-11,4,0,0,0,0,0,0,0,1,0,0,.333,.444,.777,.222
Apr 20,vs BOS,L 7-3,4,0,1,1,0,0,0,0,2,0,0,.320,.455,.775,.227
Apr 21,vs BOS,W 3-0,3,0,0,0,0,0,0,0,2,0,0,.286,.400,.686,.200
Apr 22,vs BOS,W 4-1,3,0,1,0,0,0,0,0,2,0,0,.290,.393,.683,.214
Apr 23,@ TEX,W 9-4,2,0,2,0,0,0,1,0,0,0,0,.333,.433,.766,.267
Apr 24,@ TEX,W 3-2,2,0,1,0,0,0,0,0,1,0,0,.361,.438,.799,.281
Apr 25,@ TEX,L 4-2,Did not play
Apr 27,@ HOU,W 8-1,4,2,2,0,0,1,2,0,0,0,0,.375,.528,.903,.306
Apr 28,@ HOU,L 11-0,1,0,0,0,0,0,0,0,1,0,0,.366,.514,.880,.297
Apr 29,@ HOU,L 8-4,4,2,2,1,0,1,1,0,2,0,0,.378,.610,.988,.317
May 1,@ SEA,L 6-3,4,0,0,0,0,0,1,0,2,0,0,.347,.556,.903,.289
May 2,@ SEA,W 3-2,3,0,0,0,0,0,0,0,3,0,0,.327,.521,.848,.271
May 3,@ SEA,L 4-1,2,0,1,0,0,0,0,0,0,0,1,.333,.520,.853,.280
May 4,vs BAL,W 6-4,Did not play
May 5,vs BAL,W 2-0,Did not play
May 6,vs BAL,W 2-1,3,0,1,0,0,0,0,0,0,0,0,.333,.509,.842,.283
May 7,vs HOU,L 16-2,4,1,2,1,0,0,0,0,0,0,0,.344,.526,.870,.298
May 8,vs HOU,L 4-2,4,0,0,0,0,0,0,0,1,0,0,.323,.492,.815,.279
May 9,vs HOU,L 4-1,Did not play
May 11,@ NYY,W 10-5,Did not play
May 12,@ NYY,L 7-6,1,0,0,0,0,0,0,1,1,0,0,.328,.484,.812,.274
May 13,@ NYY,L 6-2,1,0,0,0,0,0,0,0,1,0,0,.324,.476,.800,.270
May 14,@ BOS,W 6-5,Did not play
May 15,@ BOS,W 5-3,5,1,1,0,0,0,0,0,1,0,0,.315,.456,.771,.265
May 16,@ BOS,L 6-4,0,1,0,0,0,0,0,2,0,0,0,.333,.456,.789,.265
May 17,@ TOR,W 10-5,Did not play
May 18,@ TOR,W 3-1,3,1,1,1,0,0,0,0,2,0,0,.333,.465,.798,.268
May 19,@ TOR,W 5-4,4,1,2,0,0,1,4,0,1,0,0,.341,.507,.848,.280
