DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ ARI,L 8-2,2,0,0,0,0,0,0,2,1,0,0,.500,.000,.500,.000
Mar 30,@ ARI,L 9-8,5,1,1,0,0,1,3,0,1,0,0,.333,.571,.904,.143
Mar 31,@ ARI,W 2-1,4,2,2,0,0,2,2,0,1,0,0,.385,1.091,1.476,.273
Apr 2,@ SD,W 7-4,5,2,3,2,0,1,1,0,0,0,0,.444,1.250,1.694,.375
Apr 3,@ SD,L 8-4,3,1,0,0,0,0,0,1,0,0,0,.409,1.053,1.462,.316
Apr 4,@ SD,W 5-2,5,2,2,0,0,0,0,0,1,0,0,.407,.917,1.324,.333
Apr 5,@ SD,W 3-1,5,0,2,0,0,0,0,0,1,1,1,.406,.828,1.234,.345
Apr 6,vs ATL,L 8-3,3,0,0,0,0,0,0,1,0,0,0,.389,.750,1.139,.313
Apr 7,vs ATL,W 3-2,4,1,0,0,0,0,0,1,2,0,0,.366,.667,1.033,.278
Apr 8,vs ATL,L 4-0,Did not play
Apr 9,vs SD,L 7-6,3,0,1,0,0,0,0,2,1,0,0,.391,.641,1.032,.282
Apr 10,vs SD,L 5-2,Did not play
Apr 11,vs SD,W 6-4,Did not play
Apr 12,@ WSH,W 5-1,Did not play
Apr 13,@ WSH,W 2-1,Did not play
Apr 14,@ WSH,L 6-2,4,1,1,0,0,1,2,0,3,0,0,.380,.674,1.054,.279
Apr 15,@ WSH,W 6-5,4,2,2,1,0,1,3,0,0,0,0,.389,.745,1.134,.298
Apr 16,@ PIT,W 6-2,4,1,2,0,0,1,2,0,0,0,0,.397,.784,1.181,.314
Apr 17,@ PIT,W 2-0,4,0,1,0,0,0,0,0,1,0,0,.387,.745,1.132,.309
Apr 18,@ PIT,L 10-2,3,0,0,0,0,0,0,0,1,0,0,.379,.707,1.086,.293
Apr 20,vs CHC,L 16-5,4,1,1,0,0,0,1,0,2,0,0,.371,.677,1.048,.290
Apr 21,vs CHC,W 5-2,2,1,0,0,0,0,0,2,2,0,0,.378,.656,1.034,.281
Apr 22,vs CHC,L 9-7,5,3,3,0,0,1,1,0,1,0,0,.392,.696,1.088,.304
Apr 23,vs SD,L 13-5,4,0,0,0,0,0,0,0,2,0,0,.373,.658,1.031,.288
Apr 24,vs SD,W 8-0,4,2,2,0,0,0,0,0,1,0,0,.379,.649,1.028,.299
Apr 25,vs SD,W 5-2,3,1,1,0,0,0,0,1,0,0,0,.385,.638,1.023,.300
Apr 27,@ MIA,W 1-0,5,0,0,0,0,0,0,0,1,0,0,.365,.600,.965,.282
Apr 28,@ MIA,L 4-1,4,1,1,0,0,1,1,0,1,0,0,.360,.618,.978,.281
Apr 29,@ MIA,L 3-0,4,0,1,0,0,0,0,0,0,0,0,.356,.602,.958,.280
Apr 30,@ CHC,L 3-2,3,0,1,0,0,0,1,1,1,0,0,.367,.594,.961,.281
May 1,@ CHC,W 3-1,2,1,1,0,0,1,1,2,0,1,0,.381,.622,1.003,.286
May 2,@ CHC,W 11-2,4,2,1,0,0,0,1,2,1,0,0,.387,.608,.995,.284
May 4,@ NYM,W 8-7,4,2,2,0,0,1,1,1,0,0,0,.395,.632,1.027,.292
May 5,@ NYM,W 2-0,3,0,1,0,0,0,0,1,0,1,0,.398,.624,1.022,.294
May 6,@ NYM,W 3-2,5,1,1,0,0,0,0,0,2,0,0,.391,.605,.996,.289
May 8,vs LAA,W 4-2,2,1,0,0,0,0,0,2,0,0,0,.394,.595,.989,.284
May 9,vs LAA,L 8-0,5,0,1,0,0,0,0,0,2,0,0,.387,.579,.966,.281
May 10,vs MIL,L 5-2,3,0,0,0,0,0,0,1,1,0,0,.384,.565,.949,.274
May 11,vs MIL,L 11-10,6,2,3,1,1,0,1,0,1,0,0,.388,.585,.973,.285
May 12,vs MIL,W 4-0,4,0,0,0,0,0,0,0,1,0,0,.378,.567,.945,.276
May 13,vs MIL,L 7-3,4,0,1,0,0,0,0,0,2,0,0,.375,.558,.933,.275
May 14,@ SD,W 6-4,4,0,1,0,0,0,0,1,1,1,0,.376,.549,.925,.275
May 15,@ SD,L 4-0,0,0,0,0,0,0,0,1,0,0,0,.380,.549,.929,.275
May 17,@ SF,W 5-3,4,1,0,0,0,0,0,2,1,0,0,.378,.534,.912,.267
May 18,@ SF,W 6-1,5,1,1,0,0,1,2,0,1,0,0,.373,.543,.916,.265
May 19,@ SF,L 9-4,5,2,2,0,0,0,0,0,1,0,0,.374,.538,.912,.269
May 20,@ SF,L 9-5,4,1,1,0,0,0,0,1,1,0,0,.374,.531,.905,.269
May 21,@ LAD,W 2-1,4,0,0,0,0,0,0,0,1,0,0,.366,.518,.884,.262
May 22,@ LAD,L 5-3,4,1,1,0,0,0,0,0,0,0,0,.364,.512,.876,.262
May 23,@ LAD,L 3-0,3,0,1,0,0,0,0,1,0,0,0,.367,.509,.876,.263
May 25,vs CIN,W 5-4,4,1,2,1,0,0,0,0,0,0,0,.369,.514,.883,.269
May 26,vs CIN,L 6-5,4,2,2,0,1,0,1,1,0,0,0,.375,.525,.900,.274
May 27,vs CIN,W 8-2,5,1,2,0,0,0,1,0,1,0,0,.376,.522,.898,.277
May 28,vs SF,W 6-5,5,0,1,0,0,0,0,0,2,0,1,.372,.513,.885,.275
May 29,vs SF,W 11-4,5,2,1,1,0,0,0,0,1,0,0,.368,.510,.878,.273
May 30,vs SF,L 7-4,5,1,2,0,0,0,1,0,1,0,0,.368,.508,.876,.276
Jun 1,vs LAD,L 11-8,5,1,2,0,1,0,2,0,1,0,0,.369,.515,.884,.279
Jun 2,vs LAD,L 12-4,3,0,2,0,0,0,1,1,0,0,0,.376,.517,.893,.285
Jun 3,vs LAD,L 10-7,5,1,2,0,0,0,0,0,1,0,0,.376,.514,.890,.288
Jun 5,@ CIN,W 9-6,5,2,3,0,1,0,1,0,1,0,0,.381,.525,.906,.295
Jun 6,@ CIN,W 6-3,5,0,0,0,0,0,0,0,2,0,0,.373,.514,.887,.288
Jun 7,@ CIN,L 7-5,6,0,2,0,0,0,0,0,1,0,0,.372,.509,.881,.289
Jun 8,vs ARI,L 9-4,5,1,1,0,0,1,1,0,1,0,0,.369,.515,.884,.288
Jun 9,vs ARI,L 12-7,4,1,1,0,0,0,0,0,1,0,0,.367,.511,.878,.287
Jun 10,vs ARI,L 8-3,3,0,1,1,0,0,0,1,1,0,0,.369,.513,.882,.288
Jun 12,@ PHI,L 5-4,5,0,1,1,0,0,0,0,2,0,0,.366,.510,.876,.286
Jun 13,@ PHI,W 7-2,5,0,2,0,0,0,0,0,0,0,1,.367,.508,.875,.288
Jun 14,@ PHI,L 9-3,4,0,0,0,0,0,0,0,1,0,0,.361,.500,.861,.283
Jun 15,@ TEX,W 9-5,4,1,1,0,0,0,1,1,0,0,0,.362,.496,.858,.283
Jun 16,@ TEX,L 5-2,4,0,0,0,0,0,0,0,2,0,0,.357,.489,.846,.279
Jun 17,@ TEX,L 13-12,4,2,1,0,0,0,1,1,0,0,0,.358,.485,.843,.278
Jun 18,vs NYM,L 12-2,4,0,0,0,0,0,0,0,0,0,0,.353,.478,.831,.274
Jun 19,vs NYM,W 10-8,3,2,2,0,0,0,0,2,1,0,0,.360,.480,.840,.278
Jun 20,vs NYM,W 10-8,5,1,1,0,0,1,1,0,2,0,0,.358,.486,.844,.277
Jun 21,vs NYM,W 6-4,3,2,2,0,0,0,0,0,0,1,0,.363,.488,.851,.281
Jun 22,vs MIA,W 11-3,5,1,2,1,0,0,1,0,0,0,0,.363,.490,.853,.283
Jun 23,vs MIA,L 6-2,4,0,1,0,0,0,0,0,1,0,0,.362,.486,.848,.283
Jun 24,vs MIA,L 8-5,4,1,1,0,0,0,0,0,1,0,0,.361,.483,.844,.282
Jun 26,@ SF,L 3-2,4,0,0,0,0,0,0,0,0,0,0,.356,.477,.833,.279
Jun 27,@ SF,L 1-0,4,0,1,0,0,0,0,0,0,0,0,.355,.474,.829,.278
Jun 28,@ SF,W 9-8,5,0,0,0,0,0,0,0,0,0,0,.350,.466,.816,.274
Jun 29,@ LAD,W 3-1,3,0,0,0,0,0,0,0,1,0,0,.349,.461,.810,.271
Jun 30,@ LAD,W 3-1,4,0,1,0,0,0,0,0,0,0,0,.348,.459,.807,.271
Jul 1,@ LAD,L 6-4,1,0,0,0,0,0,0,0,0,0,0,.347,.457,.804,.270
Jul 2,vs SF,W 5-2,4,1,1,0,0,0,1,0,1,0,0,.345,.455,.800,.270
Jul 3,vs SF,W 8-1,5,2,3,0,0,1,2,0,1,0,0,.348,.466,.814,.275
Jul 4,vs SF,W 1-0,3,0,1,0,0,0,0,1,1,0,0,.350,.465,.815,.275
Jul 6,@ SEA,W 7-1,5,2,3,0,0,1,1,0,1,0,0,.353,.476,.829,.280
Jul 7,@ SEA,W 5-1,5,0,0,0,0,0,0,0,4,0,0,.348,.469,.817,.276
Jul 8,@ SEA,L 6-4,4,1,1,0,0,1,1,0,1,0,0,.347,.475,.822,.276
Jul 10,vs ARI,L 5-3,5,0,2,1,0,0,1,0,2,0,0,.348,.477,.825,.277
Jul 11,vs ARI,W 19-2,3,4,3,0,0,1,3,1,0,0,0,.355,.490,.845,.284
Jul 12,vs ARI,W 5-1,4,0,0,0,0,0,0,0,1,0,0,.351,.484,.835,.280
Jul 13,vs SEA,W 10-7,5,1,2,1,0,1,1,0,1,0,0,.352,.494,.846,.282
Jul 14,vs SEA,W 4-1,4,1,2,1,0,0,0,0,0,0,0,.353,.497,.850,.285
Jul 15,vs SEA,W 4-3,4,1,2,0,0,0,0,0,0,0,0,.355,.497,.852,.287
Jul 20,@ ARI,W 11-10,5,3,2,0,0,0,0,1,1,0,0,.357,.496,.853,.288
Jul 21,@ ARI,W 6-5,4,0,1,1,0,0,1,1,1,0,0,.357,.496,.853,.288
Jul 22,@ ARI,L 6-1,4,0,1,0,0,0,0,0,1,0,0,.356,.493,.849,.288
Jul 24,vs HOU,L 8-2,4,0,1,1,0,0,0,0,2,0,0,.355,.493,.848,.287
