DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs PHI,W 8-5,1,1,1,0,0,0,0,0,0,0,0,1.000,1.000,2.000,1.000
Mar 30,vs PHI,L 5-4,1,0,0,0,0,0,0,0,1,0,0,.667,.500,1.167,.500
Mar 31,vs PHI,W 15-2,Did not play
Apr 2,vs WSH,L 8-1,Did not play
Apr 3,vs WSH,W 13-6,Did not play
Apr 4,vs WSH,W 7-1,4,1,1,0,0,0,0,0,0,0,0,.429,.333,.762,.333
Apr 6,@ COL,W 8-3,Did not play
Apr 7,@ COL,L 3-2,Did not play
Apr 8,@ COL,W 4-0,4,0,0,0,0,0,0,0,1,0,0,.273,.200,.473,.200
Apr 9,@ WSH,L 2-0,1,0,0,0,0,0,0,0,1,0,0,.250,.182,.432,.182
Apr 10,@ WSH,L 4-1,1,0,0,0,0,0,0,0,1,0,0,.231,.167,.398,.167
Apr 11,@ WSH,W 5-3,4,0,0,0,0,0,0,2,2,0,0,.263,.125,.388,.125
Apr 13,@ CHC,W 4-0,Did not play
Apr 14,@ CHC,L 14-10,4,1,1,1,0,0,0,1,0,0,0,.292,.200,.492,.150
Apr 16,vs PHI,W 2-1,Did not play
Apr 17,vs PHI,L 5-1,1,0,0,0,0,0,0,0,1,0,0,.280,.190,.470,.143
Apr 18,vs PHI,W 7-3,0,1,0,0,0,0,0,0,0,0,0,.280,.190,.470,.143
Apr 19,vs NYM,W 12-4,1,0,0,0,0,0,0,0,1,0,0,.269,.182,.451,.136
Apr 20,vs NYM,L 5-3,1,0,0,0,0,0,0,0,0,0,0,.259,.174,.433,.130
Apr 21,vs NYM,W 4-3,1,0,0,0,0,0,0,0,1,0,0,.250,.167,.417,.125
Apr 23,@ CIN,L 10-4,1,0,0,0,0,0,0,0,0,0,0,.241,.160,.401,.120
Apr 24,@ CIN,L 9-7,1,0,0,0,0,0,0,0,1,0,0,.233,.154,.387,.115
Apr 25,@ CIN,W 5-4,Did not play
Apr 26,@ CIN,W 7-4,1,0,0,0,0,0,0,0,1,0,0,.226,.148,.374,.111
Apr 27,@ PHI,L 7-3,Did not play
Apr 28,@ PHI,W 4-1,Did not play
Apr 29,@ PHI,W 10-1,Did not play
May 1,@ NYM,W 3-2,Did not play
May 2,@ NYM,W 7-0,Did not play
May 3,@ NYM,W 11-0,5,1,2,0,0,0,1,0,1,0,0,.250,.188,.438,.156
May 4,vs SF,L 9-4,1,1,1,0,0,0,0,0,0,0,0,.270,.212,.482,.182
May 5,vs SF,L 11-2,1,0,0,0,0,0,0,0,0,0,0,.263,.206,.469,.176
May 6,vs SF,L 4-3,0,0,0,0,0,0,0,0,0,0,0,.263,.206,.469,.176
May 8,@ TB,W 1-0,4,0,1,0,1,0,0,0,1,0,0,.262,.263,.525,.184
May 9,@ TB,W 5-2,3,1,1,0,0,0,0,0,1,0,0,.267,.268,.535,.195
May 10,@ MIA,W 9-2,Did not play
May 11,@ MIA,L 6-3,Did not play
