DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Jul 7,vs STL,L 3-2,Did not play
Jul 8,vs STL,W 13-8,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Jul 9,vs CHC,W 2-1,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000
Jul 10,vs CHC,L 2-0,3,0,1,0,0,0,0,0,1,0,0,.200,.200,.400,.200
Jul 11,vs CHC,W 5-4,7,1,2,1,0,1,1,0,1,0,0,.250,.583,.833,.250
Jul 13,vs OAK,W 7-1,0,1,0,0,0,0,0,2,0,0,0,.357,.583,.940,.250
Jul 14,vs OAK,L 4-3,5,0,2,0,0,0,0,0,2,0,0,.368,.529,.897,.294
Jul 15,vs OAK,L 6-2,4,1,2,0,0,1,1,0,0,0,0,.391,.667,1.058,.333
Jul 20,@ OAK,W 5-1,Did not play
Jul 21,@ OAK,L 4-3,Did not play
Jul 22,@ OAK,L 6-5,5,0,1,0,0,0,0,0,3,0,0,.357,.577,.934,.308
Jul 24,@ SEA,W 4-3,4,0,1,0,0,0,1,0,1,0,0,.344,.533,.877,.300
Jul 25,@ SEA,L 3-2,1,1,0,0,0,0,0,0,1,0,0,.333,.516,.849,.290
