DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs SF,L 1-0,1,0,1,0,0,0,0,0,0,1,0,1.000,1.000,2.000,1.000
Mar 30,vs SF,L 1-0,3,0,0,0,0,0,0,0,1,0,0,.250,.250,.500,.250
Mar 31,vs SF,W 5-0,1,0,1,0,0,0,0,0,0,0,0,.400,.400,.800,.400
Apr 1,vs SF,W 9-0,1,0,0,0,0,0,0,0,1,0,0,.333,.333,.666,.333
Apr 2,@ ARI,L 8-7,6,0,1,0,0,0,1,2,2,0,0,.357,.250,.607,.250
Apr 3,@ ARI,L 6-1,Did not play
Apr 4,@ ARI,L 3-0,Did not play
Apr 7,@ SF,L 7-5,6,2,2,1,0,1,1,1,0,0,0,.381,.500,.881,.278
Apr 8,@ SF,W 2-1,2,0,1,0,0,0,0,0,1,1,0,.391,.500,.891,.300
Apr 10,vs OAK,W 4-0,0,0,0,0,0,0,0,0,0,0,0,.391,.500,.891,.300
Apr 11,vs OAK,L 16-6,3,0,0,0,0,0,1,0,1,0,0,.333,.435,.768,.261
Apr 13,vs ARI,L 8-7,1,0,1,0,0,0,2,0,0,0,0,.357,.458,.815,.292
Apr 14,vs ARI,L 9-1,4,0,2,0,0,0,0,0,0,0,0,.375,.464,.839,.321
Apr 15,vs ARI,W 7-2,2,1,1,1,0,0,1,2,0,0,0,.417,.500,.917,.333
Apr 16,@ SD,W 10-3,Did not play
Apr 17,@ SD,W 7-3,3,1,1,0,0,0,0,2,0,0,0,.452,.485,.937,.333
Apr 18,@ SD,W 13-4,2,1,1,1,0,0,2,0,0,0,0,.455,.514,.969,.343
Apr 20,vs WSH,L 5-2,4,0,1,0,0,0,0,0,0,0,0,.438,.487,.925,.333
Apr 21,vs WSH,W 4-0,1,0,0,0,0,0,0,0,0,0,0,.429,.475,.904,.325
Apr 22,vs WSH,W 4-3,3,0,0,0,0,0,0,0,1,0,0,.404,.442,.846,.302
Apr 23,vs MIA,W 2-1,Did not play
Apr 24,vs MIA,L 3-2,0,0,0,0,0,0,1,1,0,0,0,.415,.442,.857,.302
Apr 25,vs MIA,L 8-6,3,0,0,0,0,0,0,1,1,0,0,.404,.413,.817,.283
Apr 27,@ SF,L 6-4,1,0,0,0,0,0,0,0,1,0,0,.397,.404,.801,.277
Apr 28,@ SF,W 15-6,5,4,4,3,0,0,2,1,0,0,0,.438,.500,.938,.327
Apr 28,@ SF,L 8-3,4,0,0,0,0,0,0,0,1,0,0,.412,.464,.876,.304
Apr 29,@ SF,L 4-2,1,0,0,0,0,0,0,0,1,0,0,.406,.456,.862,.298
Apr 30,@ ARI,L 8-5,3,0,0,0,0,0,0,0,1,0,0,.389,.433,.822,.283
May 1,@ ARI,L 4-3,3,1,0,0,0,0,0,1,1,0,0,.382,.413,.795,.270
May 2,@ ARI,W 2-1,2,0,0,0,0,0,0,0,1,0,0,.372,.400,.772,.262
May 3,@ ARI,W 5-2,2,1,1,0,0,0,0,0,0,0,0,.375,.403,.778,.269
May 4,@ SD,W 4-0,2,1,1,0,1,0,0,0,0,0,0,.378,.435,.813,.275
May 5,@ SD,L 7-4,3,0,0,0,0,0,0,1,1,0,0,.372,.417,.789,.264
May 6,@ SD,L 3-0,2,0,0,0,0,0,0,0,1,0,0,.364,.405,.769,.257
May 8,vs ARI,L 8-5,4,0,0,0,0,0,0,1,2,0,0,.355,.385,.740,.244
May 9,vs ARI,W 6-3,1,0,1,1,0,0,2,0,0,0,0,.362,.405,.767,.253
May 10,vs CIN,L 4-1,3,0,2,0,0,0,1,0,0,0,0,.371,.415,.786,.268
May 11,vs CIN,L 6-2,3,0,1,0,0,0,0,0,0,0,0,.370,.412,.782,.271
May 12,vs CIN,L 5-3,4,0,0,0,0,0,0,0,0,0,0,.356,.393,.749,.258
May 13,vs CIN,L 5-3,3,0,0,0,0,0,0,0,0,0,0,.346,.380,.726,.250
May 15,@ MIA,L 4-2,Did not play
May 16,@ MIA,L 6-5,5,0,1,0,0,0,0,0,1,0,0,.339,.371,.710,.247
May 17,@ MIA,W 7-0,Did not play
May 19,@ WSH,W 4-1,1,0,0,0,0,0,0,0,0,0,0,.336,.367,.703,.245
May 19,@ WSH,W 5-4,3,0,0,0,0,0,0,0,2,0,0,.328,.356,.684,.238
May 20,@ WSH,W 7-2,Did not play
May 21,vs COL,L 2-1,3,0,0,0,0,0,0,0,0,0,0,.319,.346,.665,.231
May 22,vs COL,W 5-3,1,0,0,0,0,0,0,0,0,0,0,.317,.343,.660,.229
May 23,vs COL,W 3-0,Did not play
May 25,vs SD,W 4-1,1,0,0,0,0,0,0,0,0,0,0,.314,.340,.654,.226
May 26,vs SD,L 7-5,Did not play
May 27,vs SD,W 6-1,1,0,0,0,0,0,0,0,1,0,0,.311,.336,.647,.224
May 28,vs PHI,W 5-4,3,0,0,0,0,0,0,0,2,0,0,.304,.327,.631,.218
May 29,vs PHI,L 6-1,1,0,0,0,0,0,0,0,0,0,0,.302,.324,.626,.216
May 30,vs PHI,W 8-2,Did not play
May 31,vs PHI,L 2-1,Did not play
Jun 1,@ COL,W 11-8,Did not play
Jun 2,@ COL,W 12-4,Did not play
Jun 3,@ COL,W 10-7,Did not play
Jun 5,@ PIT,W 5-0,Did not play
Jun 6,@ PIT,L 11-9,Did not play
Jun 7,@ PIT,W 8-7,Did not play
Jun 8,vs ATL,W 7-3,Did not play
Jun 9,vs ATL,L 5-3,Did not play
Jun 10,vs ATL,W 7-2,Did not play
Jun 12,vs TEX,W 12-5,Did not play
Jun 13,vs TEX,W 3-2,Did not play
Jun 15,vs SF,W 3-2,Did not play
Jun 16,vs SF,W 3-1,Did not play
Jun 17,vs SF,L 4-1,Did not play
Jun 19,@ CHC,W 4-3,Did not play
Jun 19,@ CHC,L 2-1,Did not play
Jun 20,@ CHC,L 4-0,Did not play
Jun 22,@ NYM,W 5-2,Did not play
Jun 23,@ NYM,W 8-3,4,1,1,0,0,0,0,0,0,0,0,.300,.322,.622,.217
Jun 24,@ NYM,W 8-7,1,0,1,0,0,0,0,0,0,0,0,.305,.328,.633,.224
Jun 25,vs CHC,W 2-1,Did not play
Jun 26,vs CHC,L 9-4,Did not play
Jun 27,vs CHC,W 7-5,Did not play
Jun 28,vs CHC,L 11-5,1,0,0,0,0,0,0,0,0,0,0,.303,.325,.628,.222
Jun 29,vs COL,L 3-1,Did not play
Jun 30,vs COL,L 3-1,3,0,1,0,0,0,0,0,0,0,0,.304,.325,.629,.225
Jul 1,vs COL,W 6-4,0,0,0,0,0,0,0,0,0,0,0,.304,.325,.629,.225
Jul 2,vs PIT,W 17-1,2,0,0,0,0,0,0,0,1,0,0,.299,.320,.619,.221
Jul 3,vs PIT,W 8-3,1,0,0,0,0,0,0,0,1,0,0,.297,.317,.614,.220
Jul 4,vs PIT,W 6-4,1,0,0,0,0,0,0,0,0,0,0,.295,.315,.610,.218
Jul 6,@ LAA,L 3-2,3,0,1,0,0,0,0,0,0,0,0,.296,.315,.611,.220
Jul 7,@ LAA,W 3-1,Did not play
Jul 8,@ LAA,L 4-3,Did not play
Jul 9,@ SD,W 8-2,1,1,1,0,0,0,0,0,0,0,0,.301,.320,.621,.227
Jul 10,@ SD,L 4-1,Did not play
Jul 11,@ SD,W 4-2,1,1,1,1,0,0,0,0,0,0,0,.306,.333,.639,.233
Jul 12,@ SD,W 3-2,1,0,0,0,0,0,0,1,1,0,1,.313,.331,.644,.231
Jul 13,vs LAA,W 3-2,1,0,1,0,0,0,0,0,0,0,0,.318,.336,.654,.237
Jul 14,vs LAA,L 5-4,2,1,1,0,0,0,0,0,0,0,0,.320,.338,.658,.241
Jul 15,vs LAA,W 5-3,1,0,0,0,0,0,0,0,0,0,0,.318,.336,.654,.239
