DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs MIN,W 3-2,4,0,0,0,0,0,0,1,1,0,0,.200,.000,.200,.000
Mar 31,vs MIN,L 6-2,5,0,0,0,0,0,0,0,0,0,0,.100,.000,.100,.000
Apr 1,vs MIN,L 7-0,3,0,0,0,0,0,0,1,0,0,0,.143,.000,.143,.000
Apr 2,@ HOU,L 6-1,3,0,1,0,0,0,0,1,0,0,0,.222,.067,.289,.067
Apr 3,@ HOU,L 10-6,5,0,0,0,0,0,0,0,4,0,0,.174,.050,.224,.050
Apr 4,@ HOU,L 3-2,1,0,0,0,0,0,0,0,1,0,0,.167,.048,.215,.048
Apr 5,@ NYY,W 5-2,4,0,1,0,0,0,0,0,0,0,0,.179,.080,.259,.080
Apr 6,@ NYY,W 7-3,2,1,1,0,0,1,1,1,0,0,0,.250,.222,.472,.111
Apr 7,@ NYY,L 8-3,3,0,0,0,0,0,0,1,1,0,0,.250,.200,.450,.100
Apr 8,@ NYY,W 8-7,Did not play
Apr 9,vs TOR,L 7-1,4,0,0,0,0,0,0,0,2,0,0,.225,.176,.401,.088
Apr 10,vs TOR,L 2-1,3,0,0,0,0,0,0,1,1,0,0,.227,.162,.389,.081
Apr 11,vs TOR,W 5-3,4,0,2,0,0,0,1,0,1,0,0,.250,.195,.445,.122
Apr 13,@ BOS,L 7-3,4,0,0,0,0,0,0,0,3,0,0,.231,.178,.409,.111
Apr 14,@ BOS,L 10-3,4,1,2,1,0,0,0,0,1,0,0,.250,.224,.474,.143
Apr 15,@ BOS,L 3-1,4,0,0,0,0,0,0,0,3,0,0,.233,.208,.441,.132
Apr 17,@ DET,L 4-2,3,0,0,0,0,0,0,1,3,0,0,.234,.196,.430,.125
Apr 18,@ DET,L 6-5,3,0,1,0,0,0,1,1,1,0,0,.250,.203,.453,.136
Apr 19,@ DET,L 13-8,3,1,1,0,0,1,2,2,2,0,0,.274,.258,.532,.145
Apr 20,vs CLE,W 3-1,4,0,2,1,0,0,0,0,0,0,0,.286,.288,.574,.167
Apr 21,vs CLE,L 4-0,3,0,0,0,0,0,0,0,1,0,0,.275,.275,.550,.159
Apr 22,vs CLE,L 7-3,4,0,1,0,0,0,1,0,1,0,0,.274,.274,.548,.164
Apr 23,vs CLE,L 2-1,4,0,1,0,0,0,0,0,2,0,0,.273,.273,.546,.169
Apr 25,vs TB,L 8-4,4,0,0,0,0,0,0,0,1,0,0,.261,.259,.520,.160
Apr 26,vs TB,L 9-5,5,0,2,0,0,0,0,0,2,0,0,.268,.267,.535,.174
Apr 27,vs DET,W 6-0,4,0,0,0,0,0,0,0,2,0,0,.257,.256,.513,.167
Apr 28,vs DET,L 9-5,Did not play
Apr 29,vs DET,W 5-3,Did not play
May 1,@ LAA,L 3-2,1,0,0,0,0,0,0,2,0,0,0,.269,.253,.522,.165
May 2,@ LAA,L 10-7,4,1,2,0,0,0,1,0,1,0,0,.278,.263,.541,.179
May 3,@ LAA,L 12-3,3,0,1,0,0,0,1,1,1,0,0,.286,.265,.551,.184
May 4,@ OAK,L 6-4,4,1,1,0,0,0,1,0,1,0,0,.284,.265,.549,.186
May 5,@ OAK,L 2-0,5,0,0,0,0,0,0,0,3,0,0,.273,.252,.525,.178
May 6,@ OAK,L 2-1,4,0,0,0,0,0,0,0,2,0,0,.264,.243,.507,.171
May 8,vs KC,L 15-7,5,1,1,0,0,1,1,0,2,0,0,.262,.267,.529,.172
May 9,vs KC,W 5-3,3,1,1,0,0,1,3,1,0,0,0,.269,.294,.563,.176
May 10,vs KC,W 11-6,4,0,0,0,0,0,0,0,3,0,0,.261,.285,.546,.171
May 11,vs TB,W 9-4,4,0,2,0,0,0,0,0,2,0,0,.268,.291,.559,.181
May 12,vs TB,W 6-3,4,0,0,0,0,0,0,0,0,0,0,.260,.282,.542,.176
May 12,vs TB,L 10-3,4,0,0,0,0,0,0,0,3,0,0,.253,.274,.527,.170
May 13,vs TB,W 17-1,Did not play
May 16,vs PHI,L 4-1,4,0,1,1,0,0,0,0,1,0,0,.253,.281,.534,.173
May 17,@ BOS,L 6-2,3,0,0,0,0,0,0,0,2,0,0,.248,.275,.523,.169
May 18,@ BOS,W 7-4,5,1,1,1,0,0,0,0,2,0,0,.247,.279,.526,.170
May 19,@ BOS,L 6-3,4,0,0,0,0,0,0,0,4,0,0,.241,.272,.513,.166
May 20,@ BOS,L 5-0,Did not play
May 21,@ CHW,W 3-2,4,0,0,0,0,0,0,0,1,0,0,.235,.265,.500,.161
May 22,@ CHW,L 3-2,3,0,0,0,0,0,0,1,2,0,0,.236,.259,.495,.158
May 23,@ CHW,L 11-1,4,0,0,0,0,0,0,0,2,0,0,.230,.253,.483,.154
May 24,@ CHW,W 9-3,2,1,0,0,0,0,0,2,1,0,0,.240,.250,.490,.152
May 25,@ TB,W 2-0,4,0,1,0,0,0,0,0,1,0,0,.241,.250,.491,.155
May 26,@ TB,L 5-1,2,0,1,0,0,0,1,1,1,0,0,.247,.253,.500,.159
May 27,@ TB,L 8-3,3,0,0,0,0,0,1,0,1,0,0,.242,.249,.491,.156
May 28,vs WSH,L 6-0,Did not play
May 29,vs WSH,L 3-2,4,0,0,0,0,0,0,0,2,0,0,.237,.243,.480,.153
May 30,vs WSH,L 2-0,3,0,1,0,0,0,0,0,1,0,0,.239,.244,.483,.156
Jun 1,vs NYY,L 4-1,4,0,0,0,0,0,0,0,1,0,0,.234,.239,.473,.152
Jun 2,vs NYY,L 8-5,4,0,1,0,0,0,0,0,2,0,0,.234,.239,.473,.154
Jun 5,@ NYM,W 2-1,2,0,0,0,0,0,0,1,1,0,0,.236,.237,.473,.153
Jun 6,@ NYM,W 1-0,4,0,1,0,0,0,0,0,2,0,0,.236,.237,.473,.155
Jun 7,@ TOR,L 5-4,4,0,0,0,0,0,0,0,3,0,0,.232,.232,.464,.152
Jun 8,@ TOR,L 5-1,Did not play
Jun 9,@ TOR,L 4-3,Did not play
Jun 10,@ TOR,L 13-3,4,1,1,0,0,0,0,0,2,0,0,.232,.233,.465,.153
Jun 11,vs BOS,L 2-0,5,0,0,0,0,0,0,0,3,0,0,.227,.227,.454,.150
Jun 12,vs BOS,L 6-4,Did not play
Jun 13,vs BOS,L 5-1,Did not play
Jun 15,vs MIA,L 2-0,Did not play
Jun 16,vs MIA,L 5-4,Did not play
Jun 17,vs MIA,W 10-4,Did not play
Jun 19,@ WSH,L 9-7,Did not play
Jun 20,@ WSH,W 3-0,Did not play
Jun 21,@ WSH,L 4-2,Did not play
Jun 22,@ ATL,W 10-7,4,1,1,0,0,1,2,2,1,0,0,.233,.242,.475,.152
Jun 23,@ ATL,W 7-5,4,0,1,1,0,0,3,0,2,0,0,.233,.247,.480,.153
Jun 24,@ ATL,L 7-3,4,0,0,0,0,0,0,0,1,0,0,.230,.242,.472,.151
Jun 25,vs SEA,L 5-3,3,0,0,0,0,0,0,0,3,0,0,.230,.239,.469,.149
Jun 26,vs SEA,L 3-2,3,0,0,0,0,0,0,0,3,0,0,.227,.236,.463,.147
Jun 27,vs SEA,L 8-7,5,1,2,0,0,1,3,0,1,0,0,.230,.252,.482,.152
Jun 28,vs SEA,L 4-2,3,1,1,0,0,1,1,1,0,0,0,.235,.266,.501,.155
Jun 29,vs LAA,L 7-1,4,0,0,0,0,0,0,0,1,0,0,.231,.262,.493,.152
Jun 30,vs LAA,L 6-2,4,0,1,0,0,0,0,0,1,0,0,.231,.261,.492,.154
Jul 1,vs LAA,W 8-2,4,1,1,1,0,0,0,0,0,0,0,.232,.265,.497,.155
Jul 3,@ PHI,L 3-2,4,0,0,0,0,0,0,0,0,0,0,.228,.261,.489,.153
Jul 4,@ PHI,L 4-1,4,0,1,0,0,0,0,0,3,0,0,.229,.261,.490,.154
Jul 5,@ MIN,L 5-2,4,0,0,0,0,0,0,0,1,0,0,.225,.257,.482,.152
Jul 6,@ MIN,L 6-2,4,0,1,0,0,0,1,0,0,0,0,.226,.257,.483,.153
Jul 7,@ MIN,L 5-4,3,1,1,0,0,1,2,1,1,0,0,.229,.269,.498,.155
Jul 8,@ MIN,L 10-1,4,1,1,0,0,1,1,0,2,0,0,.230,.280,.510,.157
Jul 9,vs NYY,W 5-4,Did not play
Jul 9,vs NYY,L 10-2,3,0,1,1,0,0,0,1,1,0,0,.233,.284,.517,.159
Jul 10,vs NYY,W 6-5,4,1,1,0,0,0,0,0,1,0,0,.234,.284,.518,.160
Jul 11,vs NYY,L 9-0,3,0,0,0,0,0,0,1,2,0,0,.234,.281,.515,.158
Jul 12,vs PHI,L 5-4,4,0,0,0,0,0,0,0,3,0,0,.231,.277,.508,.156
Jul 13,vs TEX,L 5-4,3,1,1,0,0,0,0,1,0,1,0,.234,.277,.511,.158
Jul 14,vs TEX,W 1-0,3,0,0,0,0,0,0,0,1,0,0,.232,.274,.506,.156
Jul 15,vs TEX,W 6-5,4,0,1,0,0,0,0,0,2,0,0,.232,.274,.506,.158
Jul 20,@ TOR,L 8-7,5,1,1,0,0,1,2,0,3,0,0,.232,.283,.515,.158
Jul 21,@ TOR,L 4-1,3,0,0,0,0,0,0,0,2,0,0,.232,.280,.512,.157
Jul 22,@ TOR,L 5-4,Did not play
Jul 23,vs BOS,L 5-3,4,0,0,0,0,0,0,0,1,0,0,.229,.276,.505,.155
Jul 24,vs BOS,W 7-6,3,1,0,0,0,0,0,1,0,1,0,.229,.274,.503,.153
