DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 23,@ TEX,W 15-3,1.0,0,0,0,0,0,0,1,2,8,3,-,-,-,4.55
Jul 12,@ HOU,W 6-4,1.0,1,1,1,1,2,0,2,2,31,6,-,-,-,4.70
Jul 10,@ HOU,L 6-5,1.0,0,0,0,0,0,3,0,0,14,3,-,-,-,4.55
Jul 6,@ CLE,L 10-4,1.0,0,0,0,0,0,0,3,0,8,3,-,-,-,4.71
Jul 1,vs CLE,L 15-3,0.0,3,4,4,0,0,0,0,3,13,4,-,-,-,INF
Jun 26,@ DET,W 9-7,2.0,3,1,1,0,1,1,2,6,47,10,-,-,-,3.58
Jun 23,@ CHW,W 7-6,1.0,0,0,0,0,0,0,2,1,10,3,-,-,-,3.51
Jun 20,@ SD,W 12-4,1.0,1,0,0,0,1,2,1,1,17,5,-,-,-,3.65
Jun 13,vs HOU,L 13-5,1.0,0,0,0,0,2,2,1,0,28,5,-,-,-,3.80
Jun 12,vs HOU,L 6-3,2.0,2,0,0,0,1,1,3,3,31,8,-,-,-,3.97
May 30,vs TB,L 6-0,1.0,1,0,0,0,0,2,2,0,14,4,-,-,-,4.35
May 28,vs TB,L 1-0,2.0,3,1,1,0,0,2,3,4,30,9,-,L(3-2),-,4.58
May 24,vs SEA,W 4-3,2.0,2,0,0,0,0,1,2,4,31,7,-,-,-,4.58
May 20,@ TOR,W 9-2,1.0,1,0,0,0,1,1,3,0,22,5,-,-,-,5.17
May 18,@ TOR,W 3-1,1.0,1,0,0,0,0,2,0,2,17,4,-,-,H(1),5.52
May 16,@ BOS,L 6-4,1.0,0,0,0,0,0,1,1,1,11,3,-,-,-,5.93
May 12,@ NYY,L 7-6,1.2,2,1,1,0,2,1,2,4,37,9,-,L(3-1),-,6.39
May 7,vs HOU,L 16-2,3.0,3,2,0,1,1,0,6,6,40,13,-,-,-,6.55
May 5,vs BAL,W 2-0,0.2,0,0,0,0,1,0,1,0,8,2,-,W(3-0),-,9.00
Apr 28,@ HOU,L 11-0,1.0,0,0,0,0,3,1,0,2,28,6,-,-,-,9.82
Apr 23,@ TEX,W 9-4,0.2,2,1,1,0,0,1,0,3,11,4,-,-,-,11.37
Apr 18,vs CHW,W 12-11,1.0,0,0,0,0,0,1,1,1,17,3,-,-,-,11.12
Apr 13,@ SEA,L 7-4,0.1,3,3,3,2,0,0,1,3,17,4,-,-,BlSv(1),13.50
Apr 10,@ LAD,L 4-0,1.0,1,0,0,0,0,1,1,2,15,4,-,-,-,8.31
Apr 5,vs TEX,L 6-3,1.0,2,2,2,1,0,0,4,1,16,5,-,-,-,10.80
Apr 2,vs TEX,W 3-1,0.2,1,0,0,0,0,0,3,0,12,3,-,W(2-0),-,7.71
Apr 1,vs LAA,L 7-4,0.2,4,3,2,0,0,0,3,3,17,6,-,-,-,10.80
Mar 29,vs LAA,W 6-5,1.0,2,0,0,0,0,2,1,2,17,5,-,W(1-0),-,0.00
