DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 22,@ DET,W 9-1,6.0,2,0,0,0,0,9,5,6,99,21,77,W(11-4),-,2.13
Jul 11,vs TEX,W 4-2,7.0,6,0,0,0,1,12,8,6,110,27,76,W(10-4),-,2.23
Jul 6,@ KC,W 10-5,6.0,5,1,1,0,1,12,4,7,99,24,69,W(9-4),-,2.36
Jun 30,@ NYY,W 11-0,7.0,1,0,0,0,1,11,5,6,101,24,85,W(8-4),-,2.41
Jun 24,vs SEA,W 5-0,7.0,4,0,0,0,1,13,7,4,93,25,81,W(7-4),-,2.56
Jun 19,@ MIN,L 6-2,7.0,3,2,2,0,1,11,8,5,105,26,73,-,-,2.74
Jun 13,@ BAL,W 5-1,6.0,2,1,1,0,4,9,6,5,109,25,69,W(6-4),-,2.75
Jun 8,vs CHW,L 1-0,8.0,6,1,1,0,1,10,14,5,109,30,75,L(5-4),-,2.83
Jun 1,@ HOU,L 7-3,6.0,6,4,4,1,1,6,6,12,100,25,49,L(5-3),-,3.00
May 27,vs ATL,L 7-1,4.1,5,6,6,1,3,8,3,7,91,21,34,L(5-2),-,2.76
May 22,@ TB,W 4-2,7.2,4,2,1,1,2,9,5,12,112,29,72,W(5-1),-,2.17
May 16,vs OAK,W 6-4,5.0,2,2,2,1,4,9,1,7,102,21,60,W(4-1),-,2.29
May 11,@ TOR,L 5-3,9.0,6,3,3,1,0,15,9,9,116,33,78,-,-,2.17
May 6,@ TEX,W 6-1,7.0,4,1,1,1,1,12,8,5,103,28,76,W(3-1),-,2.02
May 1,vs KC,L 7-6,7.0,5,2,1,0,2,6,12,7,96,29,-,-,-,2.14
Apr 26,@ TOR,W 5-4,6.0,4,3,3,2,2,4,4,14,104,25,54,W(2-1),-,2.31
Apr 21,@ OAK,L 3-0,7.0,6,3,3,1,1,10,6,11,110,28,62,L(1-1),-,1.86
Apr 15,vs BAL,W 3-1,5.0,2,1,1,0,2,8,6,3,93,19,65,-,-,1.23
Apr 10,vs NYY,W 14-1,6.0,8,1,1,1,0,8,6,12,87,26,60,W(1-0),-,1.06
Apr 3,@ MIA,W 4-2,5.0,5,1,1,0,0,6,4,8,93,18,59,-,-,0.82
Mar 29,@ TB,L 6-4,6.0,1,0,0,0,3,9,5,5,92,22,76,-,-,0.00
