DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 21,@ MIL,L 4-2,6.0,7,4,1,1,0,5,11,9,88,26,53,L(3-5),-,2.64
Jul 15,vs LAA,W 5-3,6.2,6,3,3,1,4,8,10,7,108,30,54,-,-,2.74
Jul 9,@ SD,W 8-2,6.0,2,0,0,0,1,5,8,8,89,22,72,W(3-4),-,2.61
Jul 3,vs PIT,W 8-3,6.0,4,2,2,0,0,2,9,10,74,21,58,W(2-4),-,2.86
Jun 28,vs CHC,L 11-5,5.0,4,1,1,0,0,6,7,5,68,18,61,-,-,2.84
Jun 23,@ NYM,W 8-3,3.0,5,2,2,0,1,4,5,4,55,14,44,-,-,2.94
May 31,vs PHI,L 2-1,5.0,4,1,1,0,1,5,5,8,62,19,59,-,-,2.76
May 1,@ ARI,L 4-3,6.0,6,2,2,2,1,6,7,11,101,25,57,-,-,2.86
Apr 25,vs MIA,L 8-6,5.0,5,3,3,1,6,7,5,8,112,26,46,L(1-4),-,2.84
Apr 20,vs WSH,L 5-2,7.0,9,4,4,0,0,4,16,9,85,29,47,L(1-3),-,2.45
Apr 15,vs ARI,W 7-2,7.0,2,1,1,1,0,12,7,5,100,24,81,W(1-2),-,1.73
Apr 8,@ SF,W 2-1,7.0,6,1,1,0,0,6,9,11,92,26,67,-,-,1.89
Apr 3,@ ARI,L 6-1,6.0,4,2,2,2,1,6,9,8,97,24,61,L(0-2),-,2.25
Mar 29,vs SF,L 1-0,6.0,8,1,1,1,2,7,6,12,91,27,57,L(0-1),-,1.50
