DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 25,@ NYM,L 6-4,5.0,5,6,6,1,2,1,9,5,70,22,32,L(7-10),-,5.05
Jul 20,@ PHI,L 11-5,3.0,4,7,7,1,4,3,5,5,60,17,22,L(7-9),-,4.82
Jul 13,vs CHC,L 5-4,6.0,6,3,2,0,5,4,12,5,104,26,49,-,-,4.43
Jul 8,@ ARI,W 4-3,5.0,5,3,3,0,4,2,9,7,81,24,43,-,-,4.50
Jul 3,@ OAK,L 6-2,6.0,6,5,5,1,5,2,10,8,83,25,37,L(7-8),-,4.46
Jun 27,@ TEX,L 5-2,7.0,10,4,4,0,1,3,13,14,105,34,43,L(7-7),-,4.29
Jun 22,@ SF,W 6-2,6.0,3,2,2,0,0,4,13,4,79,21,62,W(7-6),-,4.23
Jun 15,@ ATL,W 9-3,6.0,6,3,2,1,2,6,10,9,96,27,54,W(6-6),-,4.31
Jun 10,@ MIA,W 3-1,7.0,2,1,1,0,3,5,13,5,94,27,71,W(5-6),-,4.40
Jun 4,vs ATL,W 11-4,7.0,6,3,3,0,2,5,16,6,109,30,56,W(4-6),-,4.67
May 30,vs MIA,W 3-2,7.0,4,2,2,1,1,5,16,4,99,27,65,-,-,4.74
May 25,@ LAD,L 4-1,6.0,4,4,4,2,3,4,9,9,102,25,49,L(3-6),-,4.97
May 19,@ PIT,W 6-2,7.1,7,2,2,0,0,2,13,12,84,27,58,W(3-5),-,4.87
May 13,vs STL,W 5-3,8.0,5,2,2,0,1,10,13,4,102,28,73,W(2-5),-,5.20
May 8,vs WSH,L 4-0,8.0,7,3,3,0,0,8,13,9,102,30,64,L(1-5),-,5.72
May 2,@ SF,L 9-4,4.0,8,7,6,1,4,6,7,8,101,26,22,L(1-4),-,6.21
Apr 27,vs NYM,L 5-1,6.2,6,3,3,0,3,4,13,7,88,27,51,L(1-3),-,5.35
Apr 21,@ ARI,L 6-2,5.0,5,3,3,1,3,6,7,7,95,23,48,L(1-2),-,5.67
Apr 14,vs SF,W 5-4,5.0,7,4,4,2,3,3,7,11,89,24,37,-,-,5.73
Apr 9,@ COL,W 7-6,5.0,5,4,4,2,3,3,10,6,76,22,41,W(1-1),-,5.29
Apr 4,vs COL,L 5-2,5.0,8,5,5,0,3,6,8,8,99,25,34,L(0-1),-,4.50
Mar 29,vs MIL,L 2-1,7.0,6,1,1,0,1,4,10,11,83,26,64,-,-,1.29
