DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 23,vs OAK,L 15-3,5.0,9,7,7,2,2,5,5,13,92,26,-,L(5-9),-,4.72
Jul 13,@ BAL,W 5-4,6.1,5,4,4,0,1,3,11,9,81,25,49,W(5-8),-,4.36
Jul 7,@ DET,L 7-2,0.2,5,7,3,1,2,2,2,4,41,10,22,L(4-8),-,4.28
Jul 1,vs CHW,L 10-5,5.0,9,7,7,0,0,7,9,9,81,25,28,L(4-7),-,4.05
Jun 25,vs SD,W 7-4,5.0,9,4,4,2,1,5,11,6,90,23,37,-,-,3.61
Jun 19,@ KC,W 4-1,7.0,4,1,0,0,3,7,8,9,108,27,-,W(4-6),-,3.41
Jun 13,@ LAD,L 3-2,6.0,5,2,1,1,4,6,8,7,96,25,58,-,-,3.69
Jun 7,vs HOU,L 5-2,7.1,7,5,5,2,2,5,6,16,104,29,47,L(3-6),-,3.86
Jun 2,@ LAA,W 3-2,7.0,5,2,2,2,1,8,6,11,99,28,-,-,-,3.63
May 27,vs KC,L 5-3,6.1,8,5,5,2,3,2,14,10,95,29,36,L(3-5),-,3.74
May 22,vs NYY,W 6-4,7.0,4,2,2,2,2,7,5,13,100,28,66,W(3-4),-,3.38
May 11,@ HOU,W 1-0,6.0,1,0,0,0,3,5,8,5,100,23,72,W(2-4),-,3.48
May 5,vs BOS,L 6-5,6.0,5,3,2,1,2,5,9,10,103,26,55,-,-,3.94
Apr 30,@ CLE,L 7-5,5.0,4,2,1,0,3,8,5,7,104,24,-,-,-,4.08
Apr 24,vs OAK,L 3-2,6.1,5,2,2,1,2,5,5,13,107,28,58,L(1-4),-,4.41
Apr 18,@ TB,L 4-2,6.1,7,4,4,0,0,4,10,13,86,28,47,L(1-3),-,4.76
Apr 13,@ HOU,L 3-2,6.0,6,2,2,2,2,7,7,11,106,27,57,-,-,4.50
Apr 8,vs TOR,L 7-4,5.1,8,7,5,2,2,5,10,9,98,26,27,L(1-2),-,5.06
Apr 3,@ OAK,W 4-1,5.0,4,1,1,1,3,11,4,3,94,21,63,W(1-1),-,3.38
Mar 29,vs HOU,L 4-1,5.2,5,3,3,2,4,7,6,7,94,24,50,L(0-1),-,4.76
