DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 30,@ DET,W 13-10,6,1,1,0,0,0,1,0,1,0,0,.167,.167,.334,.167
Apr 1,@ DET,W 1-0,4,0,0,0,0,0,0,0,0,0,0,.100,.100,.200,.100
Apr 1,@ DET,W 8-6,Did not play
Apr 2,vs MIN,W 5-4,3,0,0,0,0,0,0,0,1,0,0,.077,.077,.154,.077
Apr 4,vs MIN,L 7-3,4,1,2,0,0,0,0,0,0,1,0,.176,.176,.352,.176
Apr 5,vs CIN,W 5-2,4,1,2,1,1,0,1,0,0,0,0,.238,.381,.619,.238
Apr 6,vs CIN,W 14-3,4,2,3,2,0,0,2,0,0,0,0,.346,.520,.866,.320
Apr 7,vs CIN,L 7-4,4,0,1,1,0,0,2,0,2,0,0,.333,.517,.850,.310
Apr 8,vs CIN,W 5-0,4,1,1,0,0,1,1,0,2,0,0,.324,.576,.900,.303
Apr 10,@ CHC,W 8-5,5,2,3,1,0,0,2,0,0,0,0,.359,.605,.964,.342
Apr 11,@ CHC,L 13-5,Did not play
Apr 12,@ CHC,W 6-1,3,1,1,1,0,0,0,2,0,1,0,.386,.610,.996,.341
Apr 13,@ MIA,L 7-2,4,1,2,1,0,0,0,0,1,0,0,.396,.622,1.018,.356
Apr 14,@ MIA,W 1-0,4,0,1,0,0,0,1,0,0,0,0,.385,.592,.977,.347
Apr 15,@ MIA,W 7-3,4,0,2,0,0,0,2,0,0,0,0,.386,.585,.971,.358
Apr 16,vs COL,L 6-2,4,0,1,0,0,0,0,0,0,0,0,.377,.561,.938,.351
Apr 17,vs COL,L 2-0,4,0,0,0,0,0,0,0,0,0,0,.354,.525,.879,.328
Apr 18,vs COL,W 10-2,Did not play
Apr 19,@ PHI,L 7-0,3,0,0,0,0,0,0,0,1,0,0,.338,.500,.838,.313
Apr 20,@ PHI,L 2-1,4,0,0,0,0,0,0,0,1,0,0,.319,.471,.790,.294
Apr 21,@ PHI,L 6-2,4,0,2,0,0,0,0,0,0,0,0,.329,.472,.801,.306
Apr 22,@ PHI,L 3-2,4,0,1,0,0,0,0,1,0,0,0,.333,.461,.794,.303
Apr 25,vs DET,L 13-10,5,2,3,1,0,0,0,0,1,0,0,.349,.481,.830,.321
Apr 25,vs DET,W 8-3,1,0,0,0,0,0,0,1,0,0,0,.352,.476,.828,.317
Apr 26,vs DET,W 1-0,4,1,1,0,0,1,1,0,0,0,0,.348,.500,.848,.314
Apr 27,vs STL,W 6-5,4,1,2,1,0,0,1,0,0,0,0,.351,.511,.862,.322
Apr 28,vs STL,W 6-2,3,0,1,0,0,0,1,1,0,0,0,.356,.505,.861,.323
Apr 29,vs STL,W 5-0,2,1,0,0,0,0,0,2,0,0,0,.362,.495,.857,.316
Apr 30,@ WSH,L 3-2,4,1,1,0,0,1,1,0,0,0,0,.358,.515,.873,.313
May 1,@ WSH,L 12-4,4,1,1,0,0,1,2,0,1,0,0,.354,.534,.888,.311
May 2,@ WSH,L 9-3,4,0,2,0,0,0,2,0,1,1,0,.359,.533,.892,.318
May 3,@ WSH,L 3-1,4,0,1,0,0,0,0,0,0,0,0,.355,.523,.878,.315
May 4,@ MIL,W 6-4,4,1,1,0,0,1,2,1,0,0,0,.357,.539,.896,.313
May 5,@ MIL,L 5-3,4,0,0,0,0,0,0,0,1,0,0,.346,.521,.867,.303
May 6,@ MIL,W 9-0,5,1,3,1,0,0,2,0,0,0,0,.356,.532,.888,.315
May 8,@ CHW,W 10-6,5,1,4,1,0,0,2,0,1,0,1,.371,.550,.921,.333
May 9,@ CHW,W 6-5,4,0,0,0,0,0,0,0,0,0,0,.361,.534,.895,.323
May 11,vs SF,W 11-2,Did not play
