DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs MIL,L 2-1,2,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000
Mar 30,vs MIL,L 8-6,3,1,1,0,0,1,2,0,0,0,0,.333,.800,1.133,.200
Mar 31,vs MIL,L 7-3,Did not play
Apr 2,vs COL,L 7-4,2,1,1,0,0,1,1,0,1,0,0,.375,1.143,1.518,.286
Apr 3,vs COL,W 8-4,1,0,0,0,0,0,0,0,0,0,0,.333,1.000,1.333,.250
Apr 4,vs COL,L 5-2,4,0,2,1,0,0,0,0,1,0,0,.385,.917,1.302,.333
Apr 5,vs COL,L 3-1,1,0,0,0,0,0,0,0,0,0,0,.357,.846,1.203,.308
Apr 6,@ HOU,W 4-1,4,0,0,0,0,0,0,0,3,0,0,.278,.647,.925,.235
Apr 7,@ HOU,L 1-0,4,0,1,1,0,0,0,0,2,0,0,.273,.619,.892,.238
Apr 8,@ HOU,L 4-1,1,0,0,0,0,0,0,0,0,0,0,.261,.591,.852,.227
Apr 9,@ COL,W 7-6,3,0,1,0,0,0,0,0,0,0,0,.269,.560,.829,.240
Apr 10,@ COL,W 5-2,1,0,0,0,0,0,0,0,1,0,0,.259,.538,.797,.231
Apr 11,@ COL,L 6-4,3,0,0,0,0,0,0,0,1,0,0,.233,.483,.716,.207
Apr 12,vs SF,L 7-0,3,0,0,0,0,0,0,0,0,0,0,.212,.438,.650,.188
Apr 13,vs SF,W 5-1,1,0,0,0,0,0,0,0,0,0,0,.206,.424,.630,.182
Apr 14,vs SF,W 5-4,4,0,1,0,0,0,0,0,1,0,0,.211,.405,.616,.189
Apr 15,vs SF,W 10-1,4,2,1,1,0,0,1,1,2,1,0,.233,.415,.648,.195
Apr 16,vs LAD,L 10-3,Did not play
Apr 17,vs LAD,L 7-3,2,0,0,0,0,0,0,1,2,0,0,.239,.395,.634,.186
Apr 18,vs LAD,L 13-4,4,0,2,0,0,0,0,0,2,0,0,.260,.404,.664,.213
Apr 20,@ ARI,W 4-1,Did not play
Apr 21,@ ARI,L 6-2,Did not play
Apr 22,@ ARI,L 4-2,Did not play
Apr 23,@ COL,W 13-5,5,1,1,0,0,0,2,0,0,0,0,.255,.385,.640,.212
Apr 24,@ COL,L 8-0,3,0,0,0,0,0,0,0,2,0,0,.241,.364,.605,.200
Apr 25,@ COL,L 5-2,1,0,0,0,0,0,0,0,1,0,0,.237,.357,.594,.196
May 12,vs STL,W 2-1,2,0,0,0,0,0,0,0,2,0,0,.230,.345,.575,.190
