DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 23,@ BAL,W 5-3,1.0,2,1,1,0,0,0,1,3,14,4,-,-,Sv(32),1.90
Jul 20,@ DET,W 1-0,1.0,1,0,0,0,0,1,2,1,23,4,-,-,Sv(31),1.73
Jul 15,vs TOR,W 5-2,1.0,0,0,0,0,0,2,0,1,14,3,-,-,Sv(30),1.77
Jul 14,vs TOR,W 6-2,1.0,0,0,0,0,1,2,0,1,20,4,-,W(2-1),-,1.82
Jul 12,vs TOR,W 6-4,1.0,1,0,0,0,0,0,2,2,15,4,-,-,Sv(29),1.86
Jul 11,vs TEX,W 4-2,1.1,0,0,0,0,1,4,0,0,23,5,-,-,Sv(28),1.91
Jul 8,@ KC,W 7-4,0.2,1,0,0,0,0,2,0,1,13,3,-,-,Sv(27),1.98
Jul 4,@ WSH,W 3-0,1.0,2,0,0,0,0,2,0,3,22,5,-,-,Sv(26),2.02
Jul 2,@ WSH,W 4-3,1.1,0,0,0,0,1,1,0,3,33,5,-,-,Sv(25),2.08
Jun 28,vs LAA,W 4-2,1.0,0,0,0,0,1,3,0,0,19,4,-,-,Sv(24),2.16
Jun 27,vs LAA,W 9-6,1.1,0,0,0,0,1,2,1,1,28,5,-,-,Sv(23),2.23
Jun 22,vs SEA,W 14-10,1.0,0,0,0,0,0,1,0,2,11,3,-,-,-,2.32
Jun 14,@ SEA,W 2-1,1.0,0,0,0,0,2,1,1,0,16,4,-,-,Sv(22),2.40
Jun 12,@ BAL,W 6-4,1.0,1,2,2,0,2,1,0,3,33,6,-,-,-,2.48
Jun 11,@ BAL,W 2-0,1.0,0,0,0,0,1,3,0,0,23,4,-,-,Sv(21),1.93
Jun 9,vs CHW,W 4-2,1.0,0,0,0,0,0,2,0,1,15,3,-,-,Sv(20),2.00
Jun 2,@ HOU,W 5-4,1.0,0,0,0,0,0,2,0,1,11,3,-,-,Sv(19),2.08
May 30,vs TOR,W 6-4,1.0,1,0,0,0,1,1,2,1,19,5,-,-,Sv(18),2.16
May 29,vs TOR,W 8-3,0.2,0,0,0,0,0,1,1,0,11,2,-,-,Sv(17),2.25
May 26,vs ATL,W 8-6,1.0,1,1,1,1,0,0,1,3,11,4,-,-,Sv(16),2.31
May 25,vs ATL,W 6-2,1.0,1,0,0,0,0,2,1,1,17,4,-,-,-,2.01
May 23,@ TB,W 4-1,1.0,0,0,0,0,0,2,1,0,10,3,-,-,Sv(15),2.11
May 22,@ TB,W 4-2,1.0,2,0,0,0,1,1,2,2,32,6,-,-,Sv(14),2.21
May 19,vs BAL,W 6-3,1.0,0,0,0,0,0,0,0,3,11,3,-,-,Sv(13),2.33
May 16,vs OAK,W 6-4,1.0,1,1,1,1,0,1,1,2,19,4,-,-,Sv(12),2.45
May 12,@ TOR,W 5-2,1.0,0,0,0,0,0,2,1,0,10,3,-,-,Sv(11),2.08
May 10,@ NYY,W 5-4,1.0,0,0,0,0,0,1,1,1,13,3,-,-,Sv(10),2.20
May 9,@ NYY,L 9-6,0.2,2,2,2,1,0,2,0,2,18,4,-,-,BlSv(2),2.35
May 5,@ TEX,W 6-5,1.0,0,0,0,0,0,2,0,1,11,3,-,-,Sv(9),1.23
May 2,vs KC,W 5-4,1.0,0,0,0,0,0,3,0,0,17,3,-,-,Sv(8),1.32
May 1,vs KC,L 7-6,1.0,1,1,1,1,0,1,1,2,20,4,-,-,BlSv(1),1.42
Apr 29,vs TB,W 4-3,1.1,3,0,0,0,0,3,2,2,26,7,-,W(1-1),-,0.77
Apr 26,@ TOR,W 5-4,1.0,0,0,0,0,0,1,0,2,16,3,-,-,Sv(7),0.87
Apr 25,@ TOR,W 4-3,1.0,0,0,0,0,0,0,1,2,13,3,-,-,Sv(6),0.96
Apr 24,@ TOR,L 4-3,0.1,1,1,1,1,0,1,0,1,9,2,-,L(0-1),-,1.08
Apr 18,@ LAA,W 9-0,1.0,0,0,0,0,0,0,2,1,10,3,-,-,-,0.00
Apr 15,vs BAL,W 3-1,1.0,0,0,0,0,0,2,0,1,15,3,-,-,Sv(5),0.00
Apr 12,vs NYY,W 6-3,1.0,0,0,0,0,0,2,1,0,14,3,-,-,Sv(4),0.00
Apr 8,vs TB,W 8-7,1.0,0,0,0,0,0,0,1,2,12,3,-,-,Sv(3),0.00
Apr 5,vs TB,W 3-2,1.0,1,0,0,0,2,2,1,1,23,6,-,-,-,0.00
Apr 3,@ MIA,W 4-2,1.0,1,0,0,0,1,1,1,2,17,5,-,-,-,0.00
Mar 31,@ TB,W 3-2,1.0,0,0,0,0,1,0,0,2,16,3,-,-,Sv(2),0.00
Mar 30,@ TB,W 1-0,1.0,0,0,0,0,0,3,0,0,15,3,-,-,Sv(1),0.00
