DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 25,@ NYM,L 6-4,1.0,0,0,0,0,0,2,0,1,18,3,-,-,-,2.70
Jul 23,@ NYM,W 3-2,1.2,1,0,0,0,1,2,3,1,35,8,-,-,H(15),2.76
Jul 22,@ PHI,W 10-2,1.0,0,0,0,0,0,2,1,0,9,3,-,-,-,2.85
Jul 15,vs CHC,L 7-4,2.0,2,0,0,0,0,5,3,0,33,8,-,-,-,2.91
Jul 12,vs LAD,L 3-2,0.1,2,1,1,0,0,0,1,1,10,4,-,-,-,3.05
Jul 11,vs LAD,L 4-2,1.0,3,1,1,0,0,0,4,1,13,5,-,-,-,2.86
Jul 8,@ ARI,W 4-3,1.0,0,0,0,0,0,1,2,0,12,3,-,-,-,2.72
Jul 6,@ ARI,L 3-1,1.2,3,1,1,0,1,1,5,2,37,9,-,-,-,2.79
Jul 4,@ OAK,L 4-2,1.0,2,1,1,0,1,0,1,3,17,5,-,-,-,2.68
Jul 1,vs PIT,L 7-5,1.0,1,0,0,0,0,1,3,0,14,4,-,-,-,2.52
Jun 30,vs PIT,W 4-3,1.0,1,0,0,0,0,2,0,2,20,4,-,-,H(14),2.58
Jun 25,@ TEX,L 7-4,0.2,3,4,3,0,0,0,1,5,22,6,-,L(4-1),-,2.65
Jun 24,@ SF,L 3-2,1.0,0,0,0,0,0,2,0,1,14,3,-,-,-,1.96
Jun 22,@ SF,W 6-2,0.1,1,0,0,0,1,0,1,1,10,3,-,-,H(13),2.02
Jun 19,vs OAK,L 4-2,1.0,0,0,0,0,1,1,0,2,21,4,-,-,H(12),2.04
Jun 17,@ ATL,L 4-1,2.0,1,0,0,0,0,3,2,1,26,6,-,-,-,2.10
Jun 15,@ ATL,W 9-3,1.0,0,0,0,0,0,2,1,0,9,3,-,-,-,2.23
Jun 12,@ STL,W 4-2,1.0,3,2,2,0,0,1,1,4,21,6,-,-,-,2.30
Jun 9,@ MIA,W 5-4,1.2,1,0,0,0,0,2,2,2,20,6,-,W(4-0),BlSv(3),1.78
Jun 3,vs CIN,W 6-3,1.0,0,0,0,0,0,2,1,0,15,3,-,-,H(11),1.88
Jun 2,vs CIN,W 8-2,1.0,1,0,0,0,0,1,1,1,11,3,-,-,-,1.95
May 29,vs MIA,W 9-5,0.2,2,1,1,0,0,1,2,1,18,4,-,W(3-0),BlSv(2),2.03
May 26,@ LAD,W 7-5,1.2,0,0,0,0,0,1,2,3,22,6,-,W(2-0),-,1.73
May 23,@ WSH,W 3-1,0.2,0,0,0,0,0,1,1,0,9,2,-,-,H(10),1.85
May 22,@ WSH,L 2-1,1.0,0,0,0,0,0,1,1,1,9,3,-,-,-,1.90
May 19,@ PIT,W 6-2,0.2,1,0,0,0,0,1,0,2,14,3,-,-,H(9),1.99
May 18,@ PIT,W 3-2,0.2,2,0,0,0,1,0,3,1,18,5,-,-,H(8),2.05
May 17,@ PIT,L 5-4,0.1,0,0,0,0,0,0,1,0,5,1,-,-,-,2.11
May 12,vs STL,W 2-1,1.0,1,0,0,0,0,1,2,1,14,4,-,-,-,2.14
May 9,vs WSH,W 2-1,2.0,1,0,0,0,1,2,1,3,30,7,-,W(1-0),-,2.25
May 6,vs LAD,W 3-0,1.0,1,0,0,0,1,1,2,1,22,5,-,-,H(7),2.50
May 5,vs LAD,W 7-4,2.0,1,0,0,0,0,3,1,3,24,7,-,-,H(6),2.65
May 1,@ SF,W 3-2,1.0,2,1,1,0,1,1,2,2,20,6,-,-,BlSv(1),3.00
Apr 30,@ SF,L 6-5,0.1,1,0,0,0,0,0,0,2,7,2,-,-,H(5),2.57
Apr 27,vs NYM,L 5-1,0.1,2,1,1,1,0,1,0,2,10,3,-,-,-,2.63
Apr 23,@ COL,W 13-5,1.0,1,0,0,0,0,0,2,2,20,4,-,-,-,2.03
Apr 18,vs LAD,L 13-4,1.0,4,3,3,0,0,2,1,4,25,7,-,-,-,2.19
Apr 17,vs LAD,L 7-3,1.0,0,0,0,0,0,1,1,1,12,3,-,-,-,0.00
Apr 13,vs SF,W 5-1,2.0,1,0,0,0,0,2,2,2,16,6,-,-,H(4),0.00
Apr 9,@ COL,W 7-6,2.0,0,0,0,0,0,2,3,1,19,6,-,-,H(3),0.00
Apr 7,@ HOU,L 1-0,1.1,0,0,0,0,0,3,0,1,22,4,-,-,-,0.00
Apr 5,vs COL,L 3-1,2.0,1,0,0,0,1,1,5,1,22,8,-,-,-,0.00
Apr 3,vs COL,W 8-4,1.0,0,0,0,0,0,0,3,0,11,3,-,-,H(2),0.00
Mar 30,vs MIL,L 8-6,1.0,0,0,0,0,0,2,0,1,9,3,-,-,H(1),0.00
Mar 29,vs MIL,L 2-1,1.0,0,0,0,0,0,0,3,0,12,3,-,-,-,0.00
