DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs NYY,L 6-1,2,0,1,0,0,0,0,1,1,0,0,.667,.500,1.167,.500
Mar 30,vs NYY,L 4-2,3,0,0,0,0,0,0,0,2,0,0,.333,.200,.533,.200
Mar 31,vs NYY,W 5-3,1,0,1,0,0,0,0,0,0,0,1,.429,.333,.762,.333
Apr 1,vs NYY,W 7-4,4,0,0,0,0,0,0,0,2,0,0,.273,.200,.473,.200
Apr 2,vs CHW,W 4-2,3,1,1,0,0,0,0,1,0,0,0,.333,.231,.564,.231
Apr 3,vs CHW,W 14-5,5,2,2,1,1,0,1,0,0,0,0,.350,.444,.794,.278
Apr 4,vs CHW,L 4-3,2,0,2,1,0,0,0,0,0,0,0,.409,.550,.959,.350
Apr 6,@ TEX,W 8-5,0,0,0,0,0,0,0,0,0,0,0,.409,.550,.959,.350
Apr 7,@ TEX,L 5-1,Did not play
Apr 8,@ TEX,W 7-4,2,0,1,0,0,0,1,0,0,0,0,.417,.545,.962,.364
Apr 9,@ BAL,W 7-1,3,2,1,0,0,0,1,2,1,0,0,.448,.520,.968,.360
Apr 10,@ BAL,W 2-1,4,1,2,0,0,1,1,1,1,0,0,.471,.621,1.092,.379
Apr 11,@ BAL,L 5-3,5,0,1,0,0,0,0,0,2,0,0,.436,.559,.995,.353
Apr 13,@ CLE,W 8-4,3,0,0,0,0,0,0,0,1,0,0,.405,.514,.919,.324
Apr 17,vs KC,W 11-3,2,0,0,0,0,0,0,0,1,0,0,.386,.487,.873,.308
Apr 17,vs KC,W 5-4,1,0,0,0,0,0,0,0,1,0,0,.378,.475,.853,.300
Apr 18,vs KC,W 15-5,4,3,2,0,0,1,4,2,1,0,0,.412,.545,.957,.318
Apr 19,@ NYY,L 4-3,1,0,1,0,0,0,1,0,0,0,0,.423,.556,.979,.333
Apr 20,@ NYY,W 8-5,2,1,0,0,0,0,0,3,1,0,0,.439,.532,.971,.319
Apr 21,@ NYY,L 9-1,Did not play
Apr 22,@ NYY,L 5-1,4,0,0,0,0,0,0,0,3,0,0,.410,.490,.900,.294
Apr 24,vs BOS,W 4-3,5,1,3,1,0,1,3,0,1,0,0,.424,.571,.995,.321
Apr 25,vs BOS,L 4-3,Did not play
Apr 26,vs BOS,L 5-4,0,0,0,0,0,0,0,1,0,0,0,.433,.571,1.004,.321
Apr 27,vs TEX,L 6-4,1,0,0,0,0,0,0,0,0,0,0,.426,.561,.987,.316
Apr 28,vs TEX,L 7-4,3,0,1,1,0,0,0,0,0,0,0,.423,.567,.990,.317
Apr 29,vs TEX,W 7-2,Did not play
