DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 30,@ CIN,W 2-0,Did not play
Mar 31,@ CIN,W 13-7,Did not play
Apr 1,@ CIN,W 6-5,Did not play
Apr 2,@ ATL,W 8-1,Did not play
Apr 3,@ ATL,L 13-6,Did not play
Apr 4,@ ATL,L 7-1,Did not play
Apr 5,vs NYM,L 8-2,Did not play
Apr 7,vs NYM,L 3-2,Did not play
Apr 8,vs NYM,L 6-5,Did not play
Apr 9,vs ATL,W 2-0,Did not play
Apr 10,vs ATL,W 4-1,Did not play
Apr 11,vs ATL,L 5-3,Did not play
Apr 12,vs COL,L 5-1,Did not play
Apr 13,vs COL,L 2-1,Did not play
Apr 14,vs COL,W 6-2,Did not play
Apr 15,vs COL,L 6-5,Did not play
Apr 16,@ NYM,W 8-6,Did not play
Apr 17,@ NYM,W 5-2,Did not play
Apr 18,@ NYM,L 11-5,Did not play
Apr 20,@ LAD,W 5-2,Did not play
Apr 21,@ LAD,L 4-0,Did not play
Apr 22,@ LAD,L 4-3,Did not play
Apr 23,@ SF,L 4-2,Did not play
Apr 24,@ SF,L 4-3,Did not play
Apr 25,@ SF,W 15-2,Did not play
Apr 27,vs ARI,L 5-4,Did not play
Apr 28,vs ARI,L 4-3,Did not play
Apr 29,vs ARI,W 3-1,Did not play
Apr 30,vs PIT,W 3-2,Did not play
May 1,vs PIT,W 12-4,Did not play
May 2,vs PIT,W 9-3,Did not play
May 3,vs PIT,W 3-1,Did not play
May 4,vs PHI,W 7-3,Did not play
May 5,vs PHI,L 3-1,Did not play
May 6,vs PHI,W 5-4,Did not play
May 7,@ SD,W 8-5,Did not play
May 8,@ SD,W 4-0,Did not play
May 9,@ SD,L 2-1,Did not play
May 10,@ ARI,W 2-1,Did not play
May 11,@ ARI,W 3-1,Did not play
May 12,@ ARI,W 2-1,Did not play
May 13,@ ARI,W 6-4,Did not play
May 15,vs NYY,W 5-3,Did not play
May 19,vs LAD,L 4-1,Did not play
May 19,vs LAD,L 5-4,Did not play
May 20,vs LAD,L 7-2,Did not play
May 21,vs SD,W 10-2,Did not play
May 22,vs SD,W 2-1,Did not play
May 23,vs SD,L 3-1,Did not play
May 25,@ MIA,W 9-5,Did not play
May 26,@ MIA,W 4-1,Did not play
May 27,@ MIA,W 5-2,Did not play
May 28,@ BAL,W 6-0,Did not play
May 29,@ BAL,W 3-2,Did not play
May 30,@ BAL,W 2-0,Did not play
May 31,@ ATL,L 4-2,Did not play
Jun 1,@ ATL,L 4-0,Did not play
Jun 2,@ ATL,W 5-3,Did not play
Jun 3,@ ATL,L 4-2,Did not play
Jun 5,vs TB,W 4-2,Did not play
Jun 6,vs TB,W 11-2,Did not play
Jun 8,vs SF,L 9-5,Did not play
Jun 9,vs SF,W 7-5,Did not play
Jun 10,vs SF,L 2-0,Did not play
Jun 12,@ NYY,L 3-0,4,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000
Jun 13,@ NYY,W 5-4,3,1,0,0,0,0,0,1,1,0,0,.125,.000,.125,.000
Jun 15,@ TOR,L 6-5,4,0,1,0,0,0,1,0,0,0,0,.167,.091,.258,.091
Jun 16,@ TOR,L 2-0,4,0,0,0,0,0,0,0,0,0,0,.125,.067,.192,.067
Jun 17,@ TOR,L 8-6,5,0,1,0,0,0,1,0,1,0,0,.143,.100,.243,.100
Jun 18,vs NYY,L 4-2,2,0,1,1,0,0,0,0,1,0,0,.174,.182,.356,.136
Jun 19,vs BAL,W 9-7,3,0,0,0,0,0,0,0,0,0,0,.154,.160,.314,.120
Jun 20,vs BAL,L 3-0,3,0,0,0,0,0,0,0,0,0,0,.138,.143,.281,.107
Jun 21,vs BAL,W 4-2,1,0,0,0,0,0,0,0,0,0,0,.133,.138,.271,.103
Jun 22,vs PHI,L 12-2,4,0,1,0,0,0,0,0,1,0,0,.147,.152,.299,.121
Jun 23,vs PHI,L 5-3,4,0,1,0,0,0,2,0,0,0,0,.158,.162,.320,.135
Jun 24,vs PHI,W 8-6,4,0,3,0,0,0,2,1,0,0,0,.233,.220,.453,.195
Jun 25,@ TB,L 11-0,Did not play
Jun 26,@ TB,L 1-0,4,0,1,0,0,0,0,0,0,0,0,.234,.222,.456,.200
Jun 28,@ PHI,L 4-3,4,0,0,0,0,0,0,0,0,0,0,.216,.204,.420,.184
Jun 29,@ PHI,W 17-7,Did not play
Jun 30,@ PHI,L 3-2,1,0,1,1,0,0,0,0,0,0,0,.231,.240,.471,.200
Jul 1,@ PHI,L 4-3,5,1,0,0,0,0,0,1,0,0,0,.224,.218,.442,.182
Jul 2,vs BOS,L 4-3,4,1,2,0,0,1,1,0,1,0,0,.242,.288,.530,.203
Jul 3,vs BOS,L 11-4,4,0,0,0,0,0,0,0,0,0,0,.227,.270,.497,.190
Jul 4,vs BOS,L 3-0,2,0,1,0,0,0,0,0,0,0,0,.235,.277,.512,.200
Jul 5,vs MIA,W 14-12,3,1,0,0,0,0,1,1,0,0,0,.233,.265,.498,.191
Jul 6,vs MIA,W 3-2,1,0,0,0,0,0,0,0,0,0,0,.230,.261,.491,.188
Jul 7,vs MIA,W 18-4,Did not play
Jul 8,vs MIA,L 10-2,3,0,1,0,0,0,2,0,0,0,0,.231,.264,.495,.194
Jul 9,@ PIT,L 6-3,4,0,2,0,0,0,0,0,0,0,0,.244,.276,.520,.211
Jul 10,@ PIT,W 5-1,4,1,4,2,0,0,0,0,0,0,0,.279,.338,.617,.250
Jul 11,@ PIT,L 2-0,Did not play
Jul 12,@ NYM,W 5-4,2,0,1,0,0,0,0,2,0,0,0,.300,.341,.641,.256
Jul 13,@ NYM,L 4-2,2,0,0,0,0,0,0,2,0,0,0,.309,.333,.642,.250
Jul 14,@ NYM,L 7-4,2,0,0,0,0,0,0,0,0,0,0,.302,.326,.628,.244
Jul 15,@ NYM,W 6-1,1,1,1,0,0,0,2,0,0,0,0,.309,.333,.642,.253
Jul 20,vs ATL,L 8-5,4,0,1,0,0,0,0,0,1,0,0,.307,.330,.637,.253
Jul 22,vs ATL,W 6-2,4,0,2,0,0,0,0,0,0,0,0,.314,.337,.651,.263
Jul 23,@ MIL,L 6-1,4,1,1,0,0,1,1,0,2,0,0,.312,.364,.676,.263
Jul 24,@ MIL,L 5-4,4,0,0,0,0,0,0,0,0,0,0,.301,.350,.651,.252
Jul 25,@ MIL,W 7-3,4,0,1,0,0,0,2,0,1,0,0,.299,.346,.645,.252
