DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Apr 24,vs SEA,L 1-0,Did not play
Apr 25,vs SEA,L 4-3,4,0,0,0,0,0,1,0,1,0,0,.000,.000,.000,.000
Apr 26,@ KC,W 6-3,4,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Apr 27,@ KC,W 7-4,Did not play
Apr 28,@ KC,W 8-0,5,3,4,1,0,1,3,0,0,0,0,.308,.615,.923,.308
Apr 28,@ KC,L 5-2,Did not play
Apr 29,@ KC,L 5-4,2,0,2,1,1,0,2,0,0,0,0,.400,.867,1.267,.400
May 1,@ STL,L 3-2,1,0,0,0,0,0,0,0,0,0,0,.375,.813,1.188,.375
May 2,@ STL,L 3-2,4,0,0,0,0,0,0,0,0,0,0,.300,.650,.950,.300
May 3,vs MIN,W 6-5,4,1,1,0,0,1,2,0,2,0,0,.292,.708,1.000,.292
May 4,vs MIN,L 6-4,4,0,0,0,0,0,0,0,2,0,0,.250,.607,.857,.250
May 5,vs MIN,L 8-4,4,0,0,0,0,0,0,0,2,0,0,.219,.531,.750,.219
May 6,vs MIN,L 5-3,Did not play
May 8,vs PIT,L 10-6,4,0,1,0,0,0,0,0,1,0,0,.222,.500,.722,.222
May 9,vs PIT,L 6-5,3,2,3,0,0,1,2,1,0,1,0,.300,.615,.915,.282
May 11,@ CHC,L 11-2,4,0,2,1,0,0,1,0,2,0,0,.318,.628,.946,.302
May 12,@ CHC,L 8-4,1,0,0,0,0,0,0,0,1,0,0,.311,.614,.925,.295
May 13,@ CHC,W 5-3,3,0,0,0,0,0,0,0,1,0,0,.292,.574,.866,.277
May 15,@ PIT,L 7-0,3,0,0,0,0,0,0,0,2,0,0,.275,.540,.815,.260
May 16,@ PIT,L 3-2,1,0,0,0,0,0,0,0,0,0,0,.269,.529,.798,.255
May 17,vs TEX,W 4-2,Did not play
May 18,vs TEX,L 12-5,5,0,2,0,0,0,0,0,1,0,0,.281,.518,.799,.268
May 19,vs TEX,W 5-3,3,0,1,0,1,0,2,1,0,0,0,.295,.542,.837,.271
May 20,vs TEX,W 3-0,Did not play
May 21,vs BAL,L 3-2,4,1,1,1,0,0,0,0,0,0,0,.292,.540,.832,.270
May 22,vs BAL,W 3-2,4,1,2,0,1,0,0,0,0,0,0,.304,.567,.871,.284
May 23,vs BAL,W 11-1,4,0,1,0,0,0,1,1,1,0,0,.311,.549,.860,.282
May 24,vs BAL,L 9-3,4,1,0,0,0,0,0,0,2,0,0,.295,.520,.815,.267
May 25,@ DET,L 5-4,5,0,1,0,0,0,0,0,2,0,0,.289,.500,.789,.263
May 26,@ DET,W 8-4,5,1,2,0,0,1,2,0,1,0,0,.295,.529,.824,.271
May 27,@ DET,L 3-2,4,0,2,0,0,0,0,0,1,1,0,.304,.528,.832,.281
May 28,@ CLE,L 9-6,4,0,1,0,0,0,0,0,1,0,1,.302,.516,.818,.280
May 29,@ CLE,L 7-3,4,2,2,1,0,1,1,0,1,0,0,.310,.557,.867,.289
May 30,@ CLE,L 9-1,4,0,0,0,0,0,0,0,1,0,0,.298,.535,.833,.277
Jun 1,vs MIL,W 8-3,2,1,1,0,0,0,1,2,0,0,0,.315,.534,.849,.282
Jun 2,vs MIL,L 5-0,1,0,0,0,0,0,0,0,1,0,0,.312,.529,.841,.279
Jun 3,vs MIL,W 6-1,2,1,1,0,0,1,2,0,1,0,0,.315,.557,.872,.283
Jun 5,@ MIN,L 4-2,4,0,1,1,0,0,0,0,1,0,0,.313,.555,.868,.282
Jun 5,@ MIN,W 6-3,Did not play
Jun 6,@ MIN,W 5-2,Did not play
Jun 7,@ MIN,L 7-2,4,0,0,0,0,0,0,0,3,0,0,.303,.535,.838,.272
Jun 8,@ BOS,W 1-0,3,0,0,0,0,0,0,0,2,0,0,.295,.521,.816,.265
Jun 9,@ BOS,L 4-2,3,0,0,0,0,0,0,1,3,0,0,.294,.508,.802,.258
Jun 10,@ BOS,W 5-2,5,0,2,2,0,0,2,0,1,0,0,.298,.520,.818,.264
Jun 11,vs CLE,L 4-0,4,0,0,0,0,0,0,0,3,0,0,.289,.504,.793,.256
Jun 12,vs CLE,W 5-1,2,2,0,0,0,0,0,2,1,0,0,.295,.496,.791,.252
Jun 13,vs CLE,W 3-2,3,0,0,0,0,0,0,0,3,0,0,.289,.485,.774,.246
Jun 14,vs CLE,L 5-2,3,0,0,0,0,0,0,0,0,0,0,.283,.474,.757,.241
Jun 15,vs DET,L 4-3,4,1,2,0,0,0,0,0,1,0,0,.289,.475,.764,.248
Jun 16,vs DET,L 7-5,1,0,0,0,0,0,0,0,1,0,0,.287,.472,.759,.246
Jun 17,vs DET,L 3-1,4,0,2,0,0,0,0,0,0,0,0,.292,.473,.765,.253
Jun 18,@ CLE,L 6-2,3,0,0,0,0,0,0,1,2,0,0,.291,.463,.754,.248
Jun 19,@ CLE,L 6-3,3,0,1,0,0,0,0,1,1,0,0,.296,.461,.757,.250
Jun 20,@ CLE,L 12-0,4,0,0,0,0,0,0,0,1,0,0,.289,.449,.738,.244
Jun 22,vs OAK,L 11-2,Did not play
Jun 22,vs OAK,W 6-4,4,1,1,0,0,0,0,0,2,0,0,.288,.444,.732,.244
Jun 23,vs OAK,L 7-6,1,0,0,0,0,0,0,0,1,0,0,.287,.441,.728,.242
Jun 24,vs OAK,W 10-3,4,1,1,0,0,1,1,0,1,0,0,.286,.455,.741,.242
Jun 26,vs MIN,W 8-4,Did not play
Jun 27,vs MIN,W 6-1,4,1,1,0,0,0,0,0,2,0,0,.285,.450,.735,.243
Jun 28,vs MIN,L 2-1,0,0,0,0,0,0,1,1,0,0,0,.289,.450,.739,.243
Jun 29,@ TEX,L 11-3,3,0,0,0,0,0,0,1,0,0,0,.288,.442,.730,.238
Jun 30,@ TEX,L 13-4,1,0,0,0,0,0,0,0,1,0,0,.286,.439,.725,.237
Jul 1,@ TEX,W 10-5,Did not play
Jul 2,@ CIN,L 5-3,4,0,0,0,0,0,0,0,2,0,0,.280,.429,.709,.232
Jul 3,@ CIN,W 12-8,6,2,2,0,0,2,3,1,2,0,0,.286,.459,.745,.235
Jul 4,@ CIN,L 7-4,4,1,1,0,0,1,1,0,3,0,0,.285,.471,.756,.235
Jul 5,@ HOU,L 4-3,4,0,0,0,0,0,0,0,3,0,0,.279,.461,.740,.230
Jul 6,@ HOU,L 11-4,4,1,1,0,0,1,1,0,3,0,0,.279,.472,.751,.231
Jul 7,@ HOU,L 12-6,3,1,0,0,0,0,0,1,2,0,0,.278,.465,.743,.227
Jul 8,@ HOU,L 2-1,1,0,0,0,0,0,0,0,0,0,0,.277,.462,.739,.226
Jul 10,vs STL,L 14-2,4,0,0,0,0,0,0,0,3,0,0,.272,.453,.725,.222
Jul 11,vs STL,W 4-0,4,0,0,0,0,0,0,0,3,0,0,.267,.444,.711,.217
Jul 13,vs KC,W 9-6,5,2,3,1,0,0,1,0,0,0,0,.274,.453,.727,.226
Jul 14,vs KC,L 5-0,2,0,0,0,0,0,0,0,0,0,0,.272,.449,.721,.224
Jul 15,vs KC,W 10-1,4,3,3,0,0,1,2,0,1,0,0,.280,.468,.748,.234
Jul 20,@ SEA,L 3-1,4,0,1,1,0,0,1,0,2,0,0,.280,.468,.748,.234
Jul 21,@ SEA,W 5-0,4,0,0,0,0,0,0,0,2,0,0,.275,.460,.735,.230
Jul 22,@ SEA,L 8-2,Did not play
Jul 23,@ LAA,W 5-3,4,0,0,0,0,0,0,0,1,0,0,.270,.452,.722,.226
Jul 24,@ LAA,W 4-2,Did not play
