DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 30,@ DET,W 13-10,Did not play
Apr 1,@ DET,W 1-0,Did not play
Apr 1,@ DET,W 8-6,4,1,2,0,0,1,2,0,1,0,0,.500,1.250,1.750,.500
Apr 2,vs MIN,W 5-4,0,0,0,0,0,0,0,1,0,0,0,.600,1.250,1.850,.500
Apr 4,vs MIN,L 7-3,1,0,0,0,0,0,0,0,1,0,0,.500,1.000,1.500,.400
Apr 5,vs CIN,W 5-2,4,0,1,0,0,0,0,0,2,0,0,.400,.667,1.067,.333
Apr 6,vs CIN,W 14-3,1,1,0,0,0,0,0,0,0,0,0,.364,.600,.964,.300
Apr 7,vs CIN,L 7-4,Did not play
Apr 8,vs CIN,W 5-0,Did not play
Apr 10,@ CHC,W 8-5,Did not play
Apr 11,@ CHC,L 13-5,4,2,2,0,0,1,1,0,0,0,0,.400,.786,1.186,.357
Apr 12,@ CHC,W 6-1,1,0,0,0,0,0,0,0,0,0,0,.375,.733,1.108,.333
Apr 13,@ MIA,L 7-2,3,0,0,0,0,0,0,1,1,0,0,.350,.611,.961,.278
Apr 14,@ MIA,W 1-0,Did not play
Apr 15,@ MIA,W 7-3,1,0,0,0,0,0,0,0,1,0,0,.333,.579,.912,.263
Apr 16,vs COL,L 6-2,1,0,0,0,0,0,0,0,1,0,0,.318,.550,.868,.250
Apr 17,vs COL,L 2-0,Did not play
Apr 18,vs COL,W 10-2,4,1,1,1,0,0,2,1,1,0,0,.333,.542,.875,.250
Apr 19,@ PHI,L 7-0,Did not play
Apr 20,@ PHI,L 2-1,1,0,0,0,0,0,0,0,0,0,0,.321,.520,.841,.240
Apr 21,@ PHI,L 6-2,1,0,0,0,0,0,0,0,1,0,0,.310,.500,.810,.231
Apr 22,@ PHI,L 3-2,5,0,1,0,0,0,0,0,1,0,0,.294,.452,.746,.226
Apr 25,vs DET,L 13-10,0,0,0,0,0,0,0,1,0,0,0,.314,.452,.766,.226
Apr 25,vs DET,W 8-3,5,2,2,1,0,0,1,0,0,0,0,.325,.472,.797,.250
Apr 26,vs DET,W 1-0,1,0,0,0,0,0,0,0,0,0,0,.317,.459,.776,.243
Apr 27,vs STL,W 6-5,0,1,0,0,0,0,0,2,0,0,0,.349,.459,.808,.243
Apr 28,vs STL,W 6-2,0,0,0,0,0,0,1,0,0,0,0,.341,.459,.800,.243
Apr 29,vs STL,W 5-0,1,0,1,0,0,0,1,0,0,0,0,.356,.474,.830,.263
Apr 30,@ WSH,L 3-2,Did not play
May 1,@ WSH,L 12-4,Did not play
May 2,@ WSH,L 9-3,4,0,1,0,0,0,0,0,1,0,0,.347,.452,.799,.262
May 3,@ WSH,L 3-1,4,0,1,0,0,0,0,0,1,0,0,.340,.435,.775,.261
May 4,@ MIL,W 6-4,1,1,1,0,0,1,1,0,0,0,0,.352,.511,.863,.277
May 5,@ MIL,L 5-3,1,0,0,0,0,0,0,0,1,0,0,.345,.500,.845,.271
May 6,@ MIL,W 9-0,Did not play
May 8,@ CHW,W 10-6,Did not play
May 9,@ CHW,W 6-5,Did not play
May 11,vs SF,W 11-2,3,0,0,0,0,0,0,1,1,0,0,.339,.471,.810,.255
May 12,vs SF,W 6-5,1,0,1,0,0,0,0,0,0,0,0,.350,.481,.831,.269
May 13,vs SF,L 5-0,4,0,1,0,0,0,0,0,1,0,0,.344,.464,.808,.268
May 15,vs CHW,W 7-0,Did not play
May 16,vs CHW,W 3-2,4,0,0,0,0,0,0,0,1,0,0,.324,.433,.757,.250
May 17,vs SD,W 5-4,3,0,1,0,0,0,1,0,1,0,0,.319,.429,.748,.254
May 18,vs SD,L 3-2,1,0,0,0,0,0,0,0,1,0,0,.315,.422,.737,.250
May 19,vs SD,L 6-2,4,1,1,1,0,0,0,0,0,0,0,.312,.426,.738,.250
May 20,vs SD,L 8-5,0,0,0,0,0,0,0,0,0,0,0,.321,.426,.747,.250
May 22,@ CIN,L 7-2,Did not play
May 23,@ CIN,W 5-4,1,0,0,0,0,0,0,0,0,0,0,.316,.420,.736,.246
May 24,@ CIN,L 5-4,4,1,2,0,0,1,2,0,1,0,0,.325,.466,.791,.260
May 25,vs STL,W 8-1,1,0,0,0,0,0,0,0,0,0,0,.321,.459,.780,.257
May 26,vs STL,L 4-1,Did not play
May 27,vs STL,L 6-4,Did not play
May 28,vs CHC,L 7-0,3,0,0,0,0,0,0,0,1,0,0,.310,.442,.752,.247
May 29,vs CHC,L 8-6,4,0,1,0,0,0,0,0,2,0,0,.308,.432,.740,.247
May 30,vs CHC,W 2-1,Did not play
May 31,@ STL,L 10-8,Did not play
Jun 1,@ STL,W 4-0,1,0,1,0,0,0,0,0,0,0,0,.315,.439,.754,.256
Jun 2,@ STL,L 3-2,1,0,0,0,0,0,0,0,0,0,0,.312,.434,.746,.253
Jun 3,@ STL,L 5-0,3,0,0,0,0,0,0,0,1,0,0,.302,.419,.721,.244
Jun 5,vs LAD,L 5-0,Did not play
Jun 6,vs LAD,W 11-9,3,1,1,1,0,0,2,2,1,0,0,.317,.427,.744,.247
Jun 7,vs LAD,L 8-7,2,1,1,0,0,0,0,0,0,0,0,.320,.429,.749,.253
Jun 8,@ CHC,L 3-1,4,0,1,0,0,0,0,0,0,0,0,.318,.421,.739,.253
Jun 9,@ CHC,L 2-0,2,0,0,0,0,0,0,1,0,0,0,.318,.412,.730,.247
Jun 10,@ CHC,W 7-1,1,0,0,0,0,0,1,0,0,0,0,.315,.408,.723,.245
Jun 11,@ ARI,L 9-5,4,0,2,0,0,0,1,0,0,0,0,.322,.412,.734,.255
Jun 12,@ ARI,L 13-8,0,0,0,0,0,0,0,1,0,0,0,.328,.412,.740,.255
Jun 13,@ ARI,W 5-4,Did not play
Jun 15,vs CIN,W 3-2,Did not play
Jun 16,vs CIN,W 6-2,1,1,1,0,0,0,1,0,0,0,0,.333,.417,.750,.262
Jun 17,vs CIN,L 8-6,1,0,1,0,0,0,1,0,0,0,0,.339,.423,.762,.269
Jun 18,vs MIL,W 1-0,0,0,0,0,0,0,0,1,0,0,0,.345,.423,.768,.269
Jun 19,vs MIL,L 3-2,Did not play
Jun 21,vs ARI,L 9-3,Did not play
Jun 22,vs ARI,L 2-1,5,0,0,0,0,0,0,0,3,0,0,.331,.404,.735,.257
Jun 23,vs ARI,L 7-2,Did not play
Jun 24,vs ARI,L 3-0,Did not play
Jun 25,@ NYM,W 6-4,1,0,0,0,0,0,0,0,1,0,0,.328,.400,.728,.255
