DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jun 8,vs HOU,L 7-3,5.0,6,5,5,1,2,2,9,8,86,21,35,L(1-7),-,4.50
Jun 3,@ LAA,L 3-1,6.0,4,3,3,1,0,1,9,12,96,22,-,L(1-6),-,4.13
May 28,@ SEA,L 2-1,6.0,6,2,2,0,1,2,15,7,83,26,53,L(1-5),-,4.09
May 23,vs NYY,W 12-10,4.1,11,8,6,3,1,2,14,10,102,27,14,-,-,4.22
May 17,@ CHW,L 4-2,7.0,6,0,0,0,0,4,7,14,97,25,69,-,-,3.43
May 12,@ HOU,L 6-1,6.1,4,3,3,2,3,4,10,7,96,25,54,L(1-4),-,4.06
May 6,vs BOS,L 6-1,6.1,9,6,6,2,2,5,12,10,103,30,34,L(1-3),-,4.02
May 1,@ CLE,W 8-6,6.2,6,2,0,0,2,4,12,10,105,29,60,-,-,2.88
Apr 25,vs OAK,W 4-2,4.2,4,2,2,1,3,3,6,9,105,21,48,-,-,3.93
Apr 9,vs LAA,L 8-3,5.0,6,3,3,1,0,5,7,9,81,22,48,L(1-2),-,3.95
Apr 4,@ OAK,L 6-2,3.2,7,5,2,0,2,5,6,6,85,21,36,L(1-1),-,3.12
Mar 30,vs HOU,W 5-1,5.0,4,1,1,0,3,3,6,8,77,20,55,W(1-0),-,1.80
