DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs CHW,L 14-7,4,1,2,1,0,0,0,0,0,0,0,.500,.750,1.250,.500
Mar 31,vs CHW,L 4-3,3,0,0,0,0,0,0,0,1,0,0,.286,.429,.715,.286
Apr 2,@ DET,L 6-1,2,0,0,0,0,0,1,0,0,0,0,.200,.333,.533,.222
Apr 3,@ DET,W 1-0,Did not play
Apr 6,@ CLE,L 3-2,3,0,1,0,0,0,0,0,0,0,0,.231,.333,.564,.250
Apr 7,@ CLE,W 1-0,2,0,0,0,0,0,0,1,1,0,0,.250,.286,.536,.214
Apr 8,@ CLE,L 3-1,Did not play
Apr 9,vs SEA,W 10-0,3,0,1,1,0,0,2,0,2,0,0,.300,.353,.653,.235
Apr 10,vs SEA,L 8-3,3,0,0,0,0,0,0,0,2,0,0,.261,.300,.561,.200
Apr 11,vs SEA,L 4-2,Did not play
Apr 12,vs LAA,L 7-1,4,0,0,0,0,0,0,0,1,0,0,.222,.250,.472,.167
Apr 13,vs LAA,L 5-4,Did not play
Apr 14,vs LAA,L 5-3,3,0,1,0,0,0,1,1,0,0,0,.258,.259,.517,.185
Apr 17,@ TOR,L 11-3,Did not play
Apr 17,@ TOR,L 5-4,5,0,1,0,0,0,0,0,1,0,0,.250,.250,.500,.188
Apr 18,@ TOR,L 15-5,4,0,0,0,0,0,0,0,4,0,0,.225,.222,.447,.167
Apr 20,@ DET,L 3-2,Did not play
Apr 20,@ DET,W 3-2,2,0,0,0,0,0,0,1,1,0,0,.233,.211,.444,.158
Apr 21,@ DET,L 12-4,4,0,1,0,0,0,1,0,0,0,0,.234,.214,.448,.167
Apr 22,@ DET,W 8-5,2,1,1,0,0,0,0,2,0,0,0,.275,.227,.502,.182
Apr 24,vs MIL,L 5-2,Did not play
Apr 25,vs MIL,L 6-2,Did not play
Apr 26,vs CHW,L 6-3,Did not play
Apr 27,vs CHW,L 7-4,Did not play
Apr 28,vs CHW,L 8-0,3,0,0,0,0,0,0,0,1,0,0,.259,.213,.472,.170
Apr 28,vs CHW,W 5-2,Did not play
Apr 29,vs CHW,W 5-4,2,0,0,0,0,0,0,2,1,0,0,.276,.204,.480,.163
Apr 30,@ BOS,L 10-6,Did not play
