DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
May 3,@ CLE,W 13-11,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
May 3,@ CLE,L 13-4,4,0,2,2,0,0,1,0,0,0,0,.500,1.000,1.500,.500
May 4,@ TB,L 6-2,Did not play
May 5,@ TB,L 5-3,Did not play
May 6,@ TB,W 2-1,Did not play
May 15,@ NYM,L 12-2,1,0,0,0,0,0,0,0,1,0,0,.400,.800,1.200,.400
May 16,@ NYM,W 12-1,1,1,1,1,0,0,0,0,0,0,0,.500,1.000,1.500,.500
May 17,vs OAK,L 10-5,4,0,1,0,0,0,0,0,0,0,0,.400,.700,1.100,.400
May 18,vs OAK,L 3-1,4,0,1,0,0,0,0,0,2,0,0,.357,.571,.928,.357
May 19,vs OAK,L 5-4,2,1,0,0,0,0,0,1,0,0,0,.389,.500,.889,.313
May 20,vs OAK,L 9-2,1,0,0,0,0,0,0,1,0,0,0,.400,.471,.871,.294
May 22,vs LAA,W 5-3,Did not play
May 23,vs LAA,L 5-4,1,1,1,0,0,0,0,0,0,0,0,.429,.500,.929,.333
May 24,vs LAA,L 8-1,4,1,1,0,0,1,1,0,0,0,0,.400,.591,.991,.318
May 25,@ PHI,W 6-5,1,0,0,0,0,0,0,0,0,0,0,.385,.565,.950,.304
May 26,@ PHI,L 2-1,3,0,0,0,0,0,0,0,1,0,0,.345,.500,.845,.269
May 27,@ PHI,W 5-3,3,1,1,1,0,0,2,1,0,0,0,.364,.517,.881,.276
May 28,@ BOS,L 8-3,Did not play
May 29,@ BOS,L 8-3,1,0,1,0,0,0,0,0,0,0,0,.382,.533,.915,.300
May 30,@ BOS,L 6-4,0,0,0,0,0,0,0,0,0,0,0,.382,.533,.915,.300
Jul 13,@ BOS,W 13-7,3,1,1,0,0,1,3,0,0,0,0,.368,.606,.974,.303
Jul 14,@ BOS,L 6-2,2,1,1,1,0,0,0,1,0,0,0,.390,.629,1.019,.314
Jul 15,@ BOS,L 5-2,3,0,0,0,0,0,0,1,2,0,0,.378,.579,.957,.289
Jul 20,vs BAL,W 8-7,Did not play
Jul 21,vs BAL,W 4-1,Did not play
Jul 22,vs BAL,W 5-4,2,0,1,0,0,0,0,0,0,0,0,.383,.575,.958,.300
Jul 23,vs MIN,L 8-3,3,0,0,0,0,0,0,1,1,0,0,.373,.535,.908,.279
Jul 24,vs MIN,L 5-0,Did not play
Jul 25,vs MIN,L 12-6,1,0,0,0,0,0,0,0,1,0,0,.377,.523,.900,.273
