DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ BAL,L 3-2,4,1,1,0,0,0,0,1,0,1,0,.400,.250,.650,.250
Mar 31,@ BAL,W 6-2,4,0,0,0,0,0,0,0,2,0,0,.222,.125,.347,.125
Apr 1,@ BAL,W 7-0,4,1,1,0,0,0,0,0,1,0,0,.231,.167,.398,.167
Apr 2,@ PIT,L 5-4,4,0,1,0,0,0,0,0,1,0,0,.235,.188,.423,.188
Apr 4,@ PIT,W 7-3,4,1,0,0,0,0,0,1,0,0,0,.227,.150,.377,.150
Apr 5,vs SEA,W 4-2,2,1,1,0,0,1,1,0,1,0,0,.250,.318,.568,.182
Apr 7,vs SEA,L 11-4,4,1,2,1,0,0,1,0,1,1,0,.286,.385,.671,.231
Apr 9,vs HOU,L 2-0,4,0,0,0,0,0,0,0,0,0,0,.250,.333,.583,.200
Apr 10,vs HOU,W 4-1,0,0,0,0,0,0,0,0,0,0,0,.250,.333,.583,.200
Apr 11,vs HOU,W 9-8,4,1,1,0,1,0,3,1,1,0,0,.270,.382,.652,.206
Apr 12,vs CHW,W 4-0,4,0,1,1,0,0,0,0,1,0,0,.268,.395,.663,.211
Apr 17,vs CLE,L 6-1,4,0,1,0,0,0,0,0,1,0,0,.267,.381,.648,.214
Apr 18,vs CLE,W 2-1,7,1,2,0,0,0,0,0,1,0,0,.269,.367,.636,.224
Apr 20,@ TB,L 8-7,4,1,1,0,0,1,4,0,0,0,0,.268,.415,.683,.226
Apr 21,@ TB,L 10-1,3,0,2,1,0,0,0,0,1,0,0,.288,.446,.734,.250
Apr 22,@ TB,L 8-6,5,0,1,0,0,0,1,0,1,0,0,.281,.426,.707,.246
Apr 23,@ NYY,L 14-1,4,0,1,0,0,0,0,0,2,0,0,.279,.415,.694,.246
Apr 24,@ NYY,L 8-3,4,0,0,0,0,0,0,0,2,0,0,.264,.391,.655,.232
Apr 25,@ NYY,L 7-4,5,0,0,0,0,0,0,0,3,0,0,.247,.365,.612,.216
Apr 26,@ NYY,L 4-3,0,0,0,0,0,0,0,0,0,0,0,.247,.365,.612,.216
Apr 27,vs CIN,L 15-9,5,2,2,1,0,1,2,0,1,0,0,.256,.418,.674,.228
Apr 28,vs CIN,W 3-1,4,1,2,0,0,0,0,0,1,0,0,.267,.422,.689,.241
Apr 29,vs CIN,L 8-2,4,0,0,0,0,0,0,0,1,0,0,.256,.402,.658,.230
Apr 30,vs TOR,L 7-5,4,1,1,0,0,0,0,1,0,0,0,.263,.396,.659,.231
May 1,vs TOR,L 7-4,4,1,2,1,0,1,3,0,0,0,0,.273,.442,.715,.242
May 2,vs TOR,W 4-0,4,1,2,0,0,1,1,0,0,1,0,.282,.475,.757,.253
May 3,@ CHW,L 6-5,4,1,1,1,0,0,1,0,1,0,0,.280,.476,.756,.252
May 4,@ CHW,W 6-4,5,1,1,1,0,0,0,0,1,0,0,.277,.472,.749,.250
May 5,@ CHW,W 8-4,5,1,4,1,0,1,5,0,0,0,0,.299,.522,.821,.274
May 6,@ CHW,W 5-3,4,2,2,0,0,1,2,0,0,1,0,.306,.547,.853,.282
May 7,@ STL,W 6-0,5,1,2,2,0,0,1,0,0,0,0,.310,.557,.867,.287
May 8,@ STL,W 7-1,5,3,2,0,0,0,0,0,0,0,0,.313,.551,.864,.291
May 10,@ LAA,L 7-4,4,0,0,0,0,0,0,0,2,0,0,.304,.534,.838,.282
