DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 22,vs SD,L 10-2,0.1,0,1,0,0,1,0,1,1,13,3,-,-,-,1.91
Jul 15,@ MIA,L 10-5,0.1,3,3,3,0,1,0,2,2,15,5,-,L(3-1),-,1.93
Jul 12,@ BAL,W 5-4,0.2,1,0,0,0,0,0,0,3,8,3,-,-,H(9),1.11
Jul 10,@ NYM,W 7-3,1.0,1,0,0,0,0,1,0,3,15,4,-,-,-,1.14
Jul 9,@ NYM,L 4-3,1.0,0,0,0,0,0,0,0,3,8,3,-,-,-,1.17
Jul 6,@ PIT,W 17-5,0.2,0,0,0,0,0,0,1,1,6,2,-,W(3-0),-,1.21
Jun 24,@ WSH,L 8-6,0.2,2,2,2,0,0,0,0,4,14,4,-,-,-,1.24
Jun 20,vs STL,W 4-3,1.2,1,0,0,0,1,2,1,3,32,8,-,W(2-0),-,0.64
Jun 18,vs STL,W 6-5,0.2,0,0,0,0,0,2,0,0,9,2,-,-,H(8),0.68
Jun 16,@ MIL,W 4-1,1.0,1,0,0,0,0,0,3,1,21,4,-,-,H(7),0.69
Jun 15,@ MIL,L 13-2,1.0,0,0,0,0,0,1,2,1,17,4,-,-,-,0.72
Jun 12,vs COL,W 5-4,0.1,1,0,0,0,0,1,0,1,5,2,-,-,H(6),0.75
Jun 9,vs MIL,L 12-3,1.1,2,0,0,0,0,0,1,5,29,6,-,-,-,0.76
Jun 7,@ CHC,L 4-3,1.0,0,0,0,0,0,1,0,2,13,3,-,-,-,0.81
Jun 5,@ CHC,W 6-1,0.1,0,0,0,0,1,0,0,1,7,2,-,-,-,0.84
Jun 2,@ SF,L 2-0,1.0,0,0,0,0,0,2,0,1,16,3,-,-,-,0.86
May 29,@ LAD,W 6-1,1.0,0,0,0,0,0,1,0,2,12,3,-,-,-,0.90
May 27,vs TOR,L 5-3,0.1,0,0,0,0,1,0,0,1,1,2,-,-,-,0.95
May 22,vs ATL,L 3-1,1.0,2,1,0,0,0,0,2,2,15,4,-,-,-,0.96
May 17,@ STL,W 6-2,1.0,3,0,0,0,0,0,2,4,21,6,-,-,-,1.02
May 16,@ BAL,W 4-1,0.2,0,0,0,0,0,2,0,0,6,2,-,-,H(5),1.08
May 13,vs NYM,W 4-2,1.0,0,0,0,0,1,1,0,2,20,4,-,-,Sv(1),1.13
May 8,vs SF,W 4-2,0.2,1,1,1,1,1,2,0,1,19,4,-,-,H(4),1.20
May 6,@ WSH,L 5-4,0.1,0,0,0,0,0,0,1,0,4,1,-,-,H(3),0.63
May 5,@ WSH,W 3-1,1.0,1,0,0,0,1,1,1,1,15,4,-,-,H(2),0.64
May 1,@ MIA,L 2-1,0.1,0,0,0,0,0,0,0,1,2,1,-,-,-,0.69
Apr 30,@ MIA,L 8-4,1.0,1,0,0,0,0,2,1,0,21,3,-,-,-,0.71
Apr 28,vs ATL,L 4-1,1.1,1,0,0,0,1,0,2,2,24,5,-,-,-,0.77
Apr 26,vs ARI,L 8-2,1.0,1,0,0,0,1,2,1,1,25,5,-,-,-,0.87
Apr 22,vs PIT,W 3-2,0.2,0,0,0,0,0,1,0,1,10,2,-,-,-,0.96
Apr 18,@ ATL,L 7-3,1.1,1,1,1,1,0,2,2,1,24,5,-,-,-,1.04
Apr 15,@ TB,W 10-4,2.0,1,0,0,0,1,4,1,2,39,8,-,-,-,0.00
Apr 13,@ TB,W 2-1,0.1,0,0,0,0,0,0,0,1,4,1,-,W(1-0),-,0.00
Apr 11,vs CIN,W 4-3,1.0,1,0,0,0,1,1,1,1,19,4,-,-,-,0.00
Apr 8,vs MIA,L 6-3,1.2,1,0,0,0,0,2,1,2,19,5,-,-,-,0.00
Apr 4,@ NYM,L 4-2,1.0,0,0,0,0,0,1,0,2,20,3,-,-,-,0.00
Apr 3,@ NYM,L 2-0,0.1,0,0,0,0,0,0,0,1,3,1,-,-,-,0.00
Mar 30,@ ATL,W 5-4,0.1,0,0,0,0,0,0,0,1,1,1,-,-,H(1),0.00
Mar 29,@ ATL,L 8-5,0.2,1,1,0,0,1,1,1,1,20,4,-,-,BlSv(1),0.00
