DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Apr 3,vs SD,W 14-3,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000
Apr 4,vs SD,L 4-0,3,0,1,0,0,0,0,0,1,0,0,.250,.250,.500,.250
Apr 5,vs SD,W 3-1,Did not play
Apr 6,vs SD,W 10-2,Did not play
Apr 7,@ COL,L 2-1,3,0,0,0,0,0,0,0,2,0,0,.143,.143,.286,.143
Apr 8,@ COL,L 4-2,1,1,1,1,0,0,0,0,0,0,0,.250,.375,.625,.250
Apr 9,@ COL,W 10-6,5,1,1,1,0,0,0,0,0,0,0,.231,.385,.616,.231
Apr 10,@ CHC,L 3-2,0,0,0,0,0,0,0,1,0,0,1,.286,.385,.671,.231
Apr 12,@ CHC,W 2-0,Did not play
Apr 13,@ CHC,L 4-0,Did not play
Apr 14,vs ARI,W 7-1,Did not play
Apr 15,vs ARI,W 8-4,Did not play
Apr 16,vs ARI,L 3-1,Did not play
Apr 17,vs ARI,L 4-2,Did not play
Apr 18,vs COL,L 4-3,Did not play
Apr 19,vs COL,W 4-2,Did not play
Apr 21,@ ARI,L 13-5,Did not play
Apr 22,@ ARI,L 11-5,Did not play
Apr 23,@ ARI,W 6-2,Did not play
Apr 24,@ SF,L 2-1,Did not play
Apr 25,@ SF,W 2-1,Did not play
Apr 26,@ SF,L 4-3,Did not play
Apr 27,@ SF,W 5-1,Did not play
Apr 28,vs PHI,W 5-3,Did not play
Apr 29,vs PHI,W 6-5,Did not play
Apr 30,vs PHI,W 5-3,Did not play
May 1,vs SF,L 4-3,Did not play
May 2,vs SF,W 13-5,3,2,1,0,0,1,2,0,1,0,0,.294,.563,.857,.250
May 3,vs SF,L 4-1,1,0,1,0,0,0,0,0,0,0,0,.333,.588,.921,.294
May 5,@ SD,W 8-2,1,1,1,0,0,0,0,0,0,0,0,.368,.611,.979,.333
May 6,@ SD,W 10-2,1,1,0,0,0,0,0,2,1,0,0,.409,.579,.988,.316
May 8,vs PIT,W 12-1,Did not play
May 9,vs PIT,W 4-3,1,0,0,0,0,0,0,0,1,0,0,.391,.550,.941,.300
May 10,vs PIT,W 5-2,Did not play
May 11,@ COL,L 10-7,Did not play
May 12,@ COL,W 6-2,Did not play
May 13,@ COL,W 4-0,3,0,1,1,0,0,0,0,1,0,0,.385,.565,.950,.304
May 14,@ COL,L 9-6,1,0,0,0,0,0,0,0,0,0,0,.370,.542,.912,.292
May 15,@ SF,L 8-4,1,0,1,0,0,0,1,0,0,0,0,.393,.560,.953,.320
May 16,@ SF,L 2-1,3,0,1,0,0,0,0,0,0,0,0,.387,.536,.923,.321
May 17,@ SF,W 6-1,1,0,0,0,0,0,0,0,0,0,0,.375,.517,.892,.310
May 18,vs MIA,W 7-2,Did not play
May 19,vs MIA,W 7-2,4,0,0,0,0,0,0,0,1,0,0,.333,.455,.788,.273
May 20,vs MIA,L 10-6,1,0,0,0,0,0,0,0,1,0,0,.324,.441,.765,.265
May 21,vs MIA,W 6-3,Did not play
May 23,vs STL,W 2-1,Did not play
May 24,vs STL,L 6-1,Did not play
May 25,vs STL,W 7-3,Did not play
May 26,vs CHC,W 4-0,Did not play
May 27,vs CHC,W 5-0,0,0,0,0,0,0,0,1,0,0,0,.342,.441,.783,.265
