DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs PHI,W 8-5,2,3,1,0,0,1,2,3,0,0,0,.800,2.000,2.800,.500
Mar 30,vs PHI,L 5-4,2,1,0,0,0,0,0,3,1,0,0,.700,1.000,1.700,.250
Mar 31,vs PHI,W 15-2,5,1,2,1,0,0,2,1,0,0,0,.625,.778,1.403,.333
Apr 2,vs WSH,L 8-1,3,0,1,0,0,0,1,1,0,0,0,.600,.667,1.267,.333
Apr 3,vs WSH,W 13-6,3,3,2,0,0,1,4,2,1,0,0,.640,.867,1.507,.400
Apr 4,vs WSH,W 7-1,4,1,2,2,0,0,0,0,1,0,0,.621,.895,1.516,.421
Apr 6,@ COL,W 8-3,3,1,1,0,0,0,1,2,0,0,0,.618,.818,1.436,.409
Apr 7,@ COL,L 3-2,5,0,1,1,0,0,1,0,1,0,0,.564,.741,1.305,.370
Apr 8,@ COL,W 4-0,3,0,1,1,0,0,0,1,0,0,0,.558,.733,1.291,.367
Apr 9,@ WSH,L 2-0,3,0,0,0,0,0,0,0,2,0,0,.522,.667,1.189,.333
Apr 10,@ WSH,L 4-1,3,0,0,0,0,0,0,1,2,0,0,.500,.611,1.111,.306
Apr 11,@ WSH,W 5-3,4,1,2,1,0,0,0,2,0,1,0,.518,.625,1.143,.325
Apr 13,@ CHC,W 4-0,5,0,1,0,0,0,0,0,2,0,0,.492,.578,1.070,.311
Apr 14,@ CHC,L 14-10,5,1,2,0,0,0,1,1,0,0,0,.493,.560,1.053,.320
Apr 16,vs PHI,W 2-1,2,0,0,0,0,0,0,1,0,0,0,.486,.538,1.024,.308
Apr 17,vs PHI,L 5-1,4,0,0,0,0,0,0,0,2,0,0,.467,.500,.967,.286
Apr 18,vs PHI,W 7-3,3,0,1,0,0,0,0,0,1,0,0,.468,.492,.960,.288
Apr 19,vs NYM,W 12-4,3,1,2,0,0,0,1,0,0,0,0,.470,.500,.970,.306
Apr 20,vs NYM,L 5-3,5,0,0,0,0,0,0,0,2,0,0,.443,.463,.906,.284
Apr 21,vs NYM,W 4-3,4,0,2,2,0,0,2,0,2,0,0,.446,.493,.939,.296
Apr 23,@ CIN,L 10-4,4,1,1,0,0,0,0,0,0,0,0,.438,.480,.918,.293
Apr 24,@ CIN,L 9-7,6,2,2,0,0,2,2,0,0,0,0,.431,.543,.974,.296
Apr 25,@ CIN,W 5-4,4,0,2,0,0,0,0,1,1,0,0,.439,.541,.980,.306
Apr 26,@ CIN,W 7-4,4,2,3,3,0,0,0,1,0,0,0,.455,.584,1.039,.326
Apr 27,@ PHI,L 7-3,4,1,2,0,0,0,1,0,0,1,0,.457,.581,1.038,.333
Apr 28,@ PHI,W 4-1,5,0,1,0,1,0,1,0,1,0,0,.446,.582,1.028,.327
Apr 29,@ PHI,W 10-1,4,0,0,0,0,0,0,1,1,0,0,.437,.559,.996,.314
May 1,@ NYM,W 3-2,5,1,2,1,0,0,2,0,0,0,0,.435,.561,.996,.318
May 2,@ NYM,W 7-0,4,1,3,0,0,0,1,0,0,0,0,.444,.568,1.012,.333
May 3,@ NYM,W 11-0,4,2,0,0,0,0,0,1,1,0,0,.436,.548,.984,.322
May 4,vs SF,L 9-4,4,1,1,0,0,1,2,0,1,0,0,.431,.563,.994,.319
