DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ TEX,W 4-1,4,1,1,0,0,1,1,1,1,0,0,.400,1.000,1.400,.250
Mar 30,@ TEX,L 5-1,4,0,1,0,0,0,0,0,1,0,0,.333,.625,.958,.250
Mar 31,@ TEX,W 9-3,4,0,1,1,0,0,1,1,2,0,0,.357,.583,.940,.250
Apr 1,@ TEX,W 8-2,3,0,0,0,0,0,1,1,2,0,0,.316,.467,.783,.200
Apr 2,vs BAL,W 6-1,5,1,2,1,0,0,1,0,1,0,0,.333,.500,.833,.250
Apr 3,vs BAL,W 10-6,4,2,1,1,0,0,1,0,1,0,0,.345,.500,.845,.250
Apr 4,vs BAL,W 3-2,4,0,0,0,0,0,0,0,1,0,0,.303,.429,.732,.214
Apr 6,vs SD,L 4-1,4,1,1,0,0,0,0,0,0,0,0,.297,.406,.703,.219
Apr 7,vs SD,W 1-0,4,0,0,0,0,0,0,1,2,0,0,.286,.361,.647,.194
Apr 8,vs SD,W 4-1,3,0,1,0,0,0,0,0,1,0,0,.289,.359,.648,.205
Apr 9,@ MIN,W 2-0,5,0,0,0,0,0,0,0,2,0,0,.260,.318,.578,.182
Apr 10,@ MIN,L 4-1,4,0,1,0,0,0,0,1,1,0,0,.273,.313,.586,.188
Apr 11,@ MIN,L 9-8,4,1,0,0,0,0,1,2,1,0,0,.279,.288,.567,.173
Apr 13,vs TEX,W 3-2,4,2,2,0,0,2,2,0,0,0,0,.292,.411,.703,.196
Apr 14,vs TEX,L 6-5,5,1,2,0,0,0,0,0,1,0,0,.300,.410,.710,.213
Apr 15,vs TEX,L 3-1,3,0,0,0,0,0,0,1,0,0,0,.297,.391,.688,.203
Apr 16,@ SEA,L 2-1,3,1,2,0,0,1,1,1,0,0,0,.321,.448,.769,.224
Apr 17,@ SEA,W 4-1,4,0,0,0,0,0,1,0,2,0,0,.301,.423,.724,.211
Apr 18,@ SEA,W 7-1,4,1,2,1,0,0,2,0,0,0,0,.318,.440,.758,.227
Apr 19,@ SEA,W 9-2,4,2,1,0,0,0,0,1,2,0,0,.323,.430,.753,.228
Apr 20,@ CHW,W 10-0,5,2,2,2,0,0,4,0,1,0,0,.327,.452,.779,.238
Apr 21,@ CHW,W 10-1,4,2,1,1,0,0,0,1,0,0,0,.330,.455,.785,.239
Apr 22,@ CHW,W 7-1,4,2,1,1,0,0,0,1,0,0,0,.333,.457,.790,.239
Apr 23,vs LAA,L 2-0,4,0,1,0,0,0,0,0,0,0,0,.330,.448,.778,.240
Apr 24,vs LAA,L 8-7,5,0,3,0,0,0,0,0,0,0,1,.342,.455,.797,.257
Apr 25,vs LAA,W 5-2,4,0,0,0,0,0,0,0,0,0,0,.331,.438,.769,.248
Apr 27,vs OAK,L 8-1,4,1,1,0,0,0,0,0,1,0,0,.328,.431,.759,.248
Apr 28,vs OAK,W 11-0,4,2,2,0,0,1,1,0,0,0,0,.333,.460,.793,.257
