DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ ARI,L 8-2,4,0,1,0,0,0,0,0,0,0,0,.250,.250,.500,.250
Mar 30,@ ARI,L 9-8,4,1,1,0,0,1,2,0,1,0,0,.250,.625,.875,.250
Mar 31,@ ARI,W 2-1,4,0,0,0,0,0,0,0,1,0,0,.167,.417,.584,.167
Apr 2,@ SD,W 7-4,4,0,1,0,0,0,0,1,0,0,0,.235,.375,.610,.188
Apr 3,@ SD,L 8-4,3,2,1,1,0,0,0,1,0,0,0,.286,.421,.707,.211
Apr 4,@ SD,W 5-2,Did not play
Apr 5,@ SD,W 3-1,2,1,0,0,0,0,0,1,1,0,0,.292,.381,.673,.190
Apr 6,vs ATL,L 8-3,4,0,0,0,0,0,0,0,1,0,0,.250,.320,.570,.160
Apr 7,vs ATL,W 3-2,4,0,2,0,0,0,0,1,0,0,0,.303,.345,.648,.207
Apr 8,vs ATL,L 4-0,3,0,0,0,0,0,0,0,0,0,0,.278,.313,.591,.188
Apr 9,vs SD,L 7-6,1,0,0,0,0,0,0,0,1,0,0,.270,.303,.573,.182
Apr 10,vs SD,L 5-2,3,0,1,0,0,0,0,0,1,0,0,.275,.306,.581,.194
Apr 11,vs SD,W 6-4,2,0,1,0,0,0,0,0,0,0,0,.286,.316,.602,.211
Apr 12,@ WSH,W 5-1,4,2,2,0,0,0,0,0,0,0,0,.304,.333,.637,.238
Apr 13,@ WSH,W 2-1,4,0,2,0,0,0,0,0,0,0,1,.320,.348,.668,.261
Apr 14,@ WSH,L 6-2,3,1,0,0,0,0,0,1,1,0,0,.315,.327,.642,.245
Apr 15,@ WSH,W 6-5,3,0,0,0,0,0,0,0,1,0,0,.298,.308,.606,.231
Apr 16,@ PIT,W 6-2,4,0,0,0,0,0,0,0,0,1,0,.279,.286,.565,.214
Apr 17,@ PIT,W 2-0,3,1,0,0,0,0,0,1,0,0,0,.277,.271,.548,.203
Apr 18,@ PIT,L 10-2,2,1,1,1,0,0,0,0,0,0,0,.284,.295,.579,.213
Apr 20,vs CHC,L 16-5,4,0,1,0,0,0,0,0,2,0,0,.282,.292,.574,.215
Apr 21,vs CHC,W 5-2,4,1,1,0,0,0,2,0,1,1,0,.280,.290,.570,.217
Apr 22,vs CHC,L 9-7,Did not play
Apr 23,vs SD,L 13-5,Did not play
Apr 24,vs SD,W 8-0,Did not play
Apr 25,vs SD,W 5-2,Did not play
Apr 27,@ MIA,W 1-0,3,1,2,1,0,0,0,1,0,0,0,.304,.319,.623,.236
Apr 28,@ MIA,L 4-1,4,0,0,0,0,0,0,0,1,0,0,.289,.303,.592,.224
Apr 29,@ MIA,L 3-0,1,0,1,0,0,0,0,0,0,0,0,.298,.312,.610,.234
Apr 30,@ CHC,L 3-2,4,0,0,0,0,0,0,0,1,0,0,.284,.296,.580,.222
May 1,@ CHC,W 3-1,1,0,0,0,0,0,0,0,0,0,0,.281,.293,.574,.220
May 2,@ CHC,W 11-2,5,2,3,2,0,0,0,0,1,1,0,.298,.333,.631,.241
May 4,@ NYM,W 8-7,4,1,2,0,0,0,0,1,0,0,0,.313,.341,.654,.253
May 5,@ NYM,W 2-0,1,0,0,0,0,0,0,0,0,0,0,.310,.337,.647,.250
May 6,@ NYM,W 3-2,3,0,2,1,0,0,1,1,0,0,0,.327,.358,.685,.263
May 8,vs LAA,W 4-2,4,0,1,0,0,0,1,0,2,0,0,.324,.354,.678,.263
May 9,vs LAA,L 8-0,1,0,0,0,0,0,0,0,0,0,0,.321,.350,.671,.260
May 10,vs MIL,L 5-2,4,0,0,0,0,0,0,0,1,0,0,.310,.337,.647,.250
May 11,vs MIL,L 11-10,5,1,4,0,0,0,1,0,0,1,0,.331,.358,.689,.275
May 12,vs MIL,W 4-0,4,0,1,0,0,0,0,0,0,0,0,.328,.354,.682,.274
May 13,vs MIL,L 7-3,1,0,0,0,0,0,0,0,0,0,0,.325,.351,.676,.272
May 14,@ SD,W 6-4,4,1,1,0,0,1,3,0,0,0,0,.323,.373,.696,.271
May 15,@ SD,L 4-0,4,0,0,0,0,0,0,0,1,0,0,.313,.361,.674,.262
May 17,@ SF,W 5-3,6,0,2,0,0,0,0,0,1,0,0,.314,.359,.673,.266
May 18,@ SF,W 6-1,1,1,1,0,0,0,0,0,0,1,0,.319,.364,.683,.271
May 19,@ SF,L 9-4,4,0,2,1,0,0,0,0,0,0,0,.324,.376,.700,.278
May 20,@ SF,L 9-5,0,0,0,0,0,0,0,0,0,0,0,.324,.376,.700,.278
May 21,@ LAD,W 2-1,4,1,1,0,0,1,1,0,1,0,0,.322,.394,.716,.277
May 22,@ LAD,L 5-3,4,0,2,0,0,0,0,0,1,0,0,.327,.397,.724,.284
May 23,@ LAD,L 3-0,4,0,0,0,0,0,0,0,3,0,0,.318,.386,.704,.276
May 25,vs CIN,W 5-4,4,1,1,0,0,0,2,0,1,0,0,.316,.383,.699,.275
May 26,vs CIN,L 6-5,3,0,1,0,0,0,1,1,0,0,0,.321,.382,.703,.276
May 27,vs CIN,W 8-2,Did not play
May 28,vs SF,W 6-5,1,0,0,0,0,0,0,0,0,0,0,.319,.379,.698,.275
May 29,vs SF,W 11-4,5,2,2,1,0,0,1,0,1,0,0,.321,.386,.707,.278
May 30,vs SF,L 7-4,2,0,0,0,0,0,0,0,2,0,0,.318,.381,.699,.275
Jun 1,vs LAD,L 11-8,5,0,1,0,0,0,1,0,0,0,0,.314,.376,.690,.273
Jun 2,vs LAD,L 12-4,4,0,0,0,0,0,0,0,1,0,0,.307,.367,.674,.266
Jun 3,vs LAD,L 10-7,2,0,1,0,0,0,0,0,1,0,0,.309,.368,.677,.269
Jun 5,@ CIN,W 9-6,4,0,2,0,0,0,1,0,1,0,1,.314,.371,.685,.274
Jun 6,@ CIN,W 6-3,4,1,2,0,0,0,2,0,1,0,0,.317,.374,.691,.279
Jun 7,@ CIN,L 7-5,2,0,2,0,0,0,0,0,0,0,0,.325,.381,.706,.287
Jun 8,vs ARI,L 9-4,4,1,2,1,0,0,0,0,1,0,0,.328,.389,.717,.292
Jun 9,vs ARI,L 12-7,4,0,0,0,0,0,0,0,2,0,0,.322,.381,.703,.286
Jun 10,vs ARI,L 8-3,3,0,1,0,0,0,0,0,0,0,0,.325,.380,.705,.286
Jun 12,@ PHI,L 5-4,3,1,2,0,0,0,0,0,1,1,0,.333,.385,.718,.292
Jun 13,@ PHI,W 7-2,4,1,1,0,0,0,2,0,1,0,0,.332,.382,.714,.291
Jun 14,@ PHI,L 9-3,2,0,1,0,0,0,1,1,1,0,0,.336,.383,.719,.294
Jun 15,@ TEX,W 9-5,4,1,0,0,0,0,0,0,0,0,0,.330,.376,.706,.288
Jun 16,@ TEX,L 5-2,Did not play
Jun 17,@ TEX,L 13-12,4,1,3,2,0,0,4,1,0,0,0,.341,.392,.733,.297
Jun 18,vs NYM,L 12-2,4,1,2,1,0,0,1,0,0,0,0,.344,.399,.743,.300
Jun 19,vs NYM,W 10-8,Did not play
Jun 20,vs NYM,W 10-8,4,1,2,0,0,0,2,0,0,0,0,.346,.401,.747,.304
Jun 21,vs NYM,W 6-4,3,0,0,0,0,0,1,0,0,0,0,.340,.395,.735,.300
Jun 22,vs MIA,W 11-3,1,0,1,1,0,0,3,0,0,0,0,.343,.403,.746,.303
Jun 23,vs MIA,L 6-2,2,1,1,0,0,1,2,0,1,0,0,.343,.417,.760,.305
Jun 24,vs MIA,L 8-5,4,1,1,0,0,1,1,0,1,0,0,.342,.427,.769,.304
Jun 26,@ SF,L 3-2,4,0,1,0,0,0,0,0,3,0,0,.340,.424,.764,.303
Jun 27,@ SF,L 1-0,Did not play
Jun 28,@ SF,W 9-8,4,1,2,0,0,0,1,0,0,0,1,.343,.426,.769,.306
Jun 29,@ LAD,W 3-1,1,0,0,0,0,0,0,0,1,0,0,.341,.424,.765,.305
Jun 30,@ LAD,W 3-1,3,0,0,0,0,0,0,1,0,0,0,.340,.418,.758,.301
Jul 1,@ LAD,L 6-4,4,1,2,1,0,0,0,0,0,0,0,.342,.424,.766,.305
Jul 2,vs SF,W 5-2,Did not play
Jul 3,vs SF,W 8-1,3,0,1,0,0,0,1,1,0,0,0,.345,.423,.768,.305
Jul 4,vs SF,W 1-0,0,0,0,0,0,0,0,0,0,0,0,.345,.423,.768,.305
Jul 6,@ SEA,W 7-1,5,0,0,0,0,0,0,0,0,0,0,.338,.414,.752,.299
Jul 7,@ SEA,W 5-1,3,1,2,0,0,0,1,0,0,0,0,.341,.417,.758,.303
Jul 8,@ SEA,L 6-4,3,0,0,0,0,0,0,0,0,0,0,.337,.412,.749,.300
Jul 10,vs ARI,L 5-3,4,0,0,0,0,0,0,0,1,0,0,.332,.406,.738,.295
Jul 11,vs ARI,W 19-2,4,1,0,0,0,0,0,1,2,0,0,.330,.400,.730,.291
Jul 12,vs ARI,W 5-1,2,1,1,0,0,0,1,0,0,0,0,.331,.401,.732,.292
Jul 13,vs SEA,W 10-7,3,2,2,1,0,0,1,1,0,0,0,.337,.407,.744,.296
Jul 14,vs SEA,W 4-1,3,0,1,0,0,0,0,0,1,1,0,.339,.407,.746,.297
Jul 15,vs SEA,W 4-3,3,0,1,0,0,0,0,0,1,0,0,.339,.406,.745,.297
Jul 20,@ ARI,W 11-10,0,1,0,0,0,0,0,2,0,0,0,.343,.406,.749,.297
Jul 21,@ ARI,W 6-5,2,1,0,0,0,0,0,2,0,0,0,.345,.403,.748,.295
Jul 22,@ ARI,L 6-1,4,0,0,0,0,0,0,0,2,0,0,.341,.397,.738,.291
Jul 24,vs HOU,L 8-2,4,0,1,0,0,0,1,0,3,0,0,.340,.395,.735,.290
