DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ TOR,W 6-1,5,3,3,1,0,2,4,0,1,0,0,.600,2.000,2.600,.600
Mar 30,@ TOR,W 4-2,4,0,0,0,0,0,0,0,2,0,0,.333,1.111,1.444,.333
Mar 31,@ TOR,L 5-3,3,0,1,1,0,0,0,1,0,0,0,.385,1.000,1.385,.333
Apr 1,@ TOR,L 7-4,2,1,0,0,0,0,0,3,1,0,0,.444,.857,1.301,.286
Apr 3,vs TB,W 11-4,5,0,0,0,0,0,0,0,5,0,0,.348,.632,.980,.211
Apr 4,vs TB,W 7-2,4,1,1,0,0,1,2,0,3,0,0,.333,.696,1.029,.217
Apr 5,vs BAL,L 5-2,4,0,0,0,0,0,0,0,1,0,0,.290,.593,.883,.185
Apr 6,vs BAL,L 7-3,6,0,2,0,0,0,1,0,2,0,0,.297,.545,.842,.212
Apr 7,vs BAL,W 8-3,2,0,0,0,0,0,0,2,0,0,0,.317,.514,.831,.200
Apr 8,vs BAL,L 8-7,7,0,0,0,0,0,0,0,5,0,0,.271,.429,.700,.167
Apr 10,@ BOS,L 14-1,4,0,2,1,0,0,0,0,2,0,0,.288,.457,.745,.196
Apr 11,@ BOS,W 10-7,5,2,3,0,1,0,3,0,1,0,0,.316,.510,.826,.235
Apr 12,@ BOS,L 6-3,3,1,2,0,0,0,0,0,0,1,0,.344,.519,.863,.259
Apr 13,@ DET,W 8-6,5,0,0,0,0,0,0,0,2,0,0,.318,.475,.793,.237
Apr 16,vs MIA,W 12-1,3,1,0,0,0,0,0,1,2,0,0,.324,.452,.776,.226
Apr 17,vs MIA,L 9-1,4,0,0,0,0,0,0,0,2,0,0,.307,.424,.731,.212
Apr 19,vs TOR,W 4-3,3,0,1,0,0,0,0,1,0,0,0,.316,.420,.736,.217
Apr 20,vs TOR,L 8-5,4,1,1,0,0,1,2,0,0,0,0,.313,.452,.765,.219
Apr 21,vs TOR,W 9-1,4,1,0,0,0,0,0,1,2,0,0,.307,.429,.736,.208
Apr 22,vs TOR,W 5-1,4,0,0,0,0,0,0,0,1,0,0,.293,.407,.700,.198
Apr 23,vs MIN,W 14-1,4,3,4,0,0,1,2,1,0,0,0,.330,.471,.801,.235
Apr 24,vs MIN,W 8-3,4,1,0,0,0,0,0,0,3,0,0,.317,.449,.766,.225
Apr 25,vs MIN,W 7-4,4,1,1,0,0,0,1,0,2,0,0,.311,.441,.752,.226
Apr 26,vs MIN,W 4-3,4,2,2,1,0,0,0,0,1,0,0,.318,.454,.772,.237
Apr 27,@ LAA,W 4-3,4,0,1,0,0,0,0,1,1,0,0,.322,.446,.768,.238
Apr 28,@ LAA,W 11-1,5,1,1,0,0,0,0,0,0,0,0,.317,.434,.751,.236
Apr 29,@ LAA,W 2-1,3,1,1,1,0,0,0,1,1,0,0,.323,.440,.763,.239
Apr 30,@ HOU,L 2-1,4,0,0,0,0,0,0,0,3,0,0,.313,.425,.738,.230
May 1,@ HOU,W 4-0,4,0,0,0,0,0,0,0,3,0,0,.303,.410,.713,.222
May 2,@ HOU,W 4-0,4,2,3,1,0,2,4,0,1,0,0,.316,.479,.795,.240
May 3,@ HOU,W 6-5,3,0,0,0,0,0,0,1,2,0,0,.314,.468,.782,.234
May 4,vs CLE,W 7-6,4,1,1,1,0,0,0,1,2,0,0,.317,.469,.786,.234
May 5,vs CLE,W 5-2,4,0,0,0,0,0,0,0,2,0,0,.309,.455,.764,.227
May 6,vs CLE,W 7-4,0,1,0,0,0,0,0,1,0,0,0,.313,.455,.768,.227
May 8,vs BOS,W 3-2,3,2,2,0,0,2,2,1,0,1,0,.325,.504,.829,.237
May 9,vs BOS,W 9-6,4,1,1,1,0,0,2,0,1,0,0,.327,.504,.831,.237
May 10,vs BOS,L 5-4,4,0,1,0,0,0,0,0,0,0,0,.325,.497,.822,.238
May 11,vs OAK,L 10-5,4,0,1,0,0,0,0,0,0,0,0,.323,.490,.813,.238
May 12,vs OAK,W 7-6,4,0,0,0,0,0,0,2,1,0,0,.324,.477,.801,.232
May 13,vs OAK,W 6-2,4,1,4,1,0,1,3,0,0,0,0,.339,.516,.855,.252
May 15,@ WSH,L 5-3,4,1,1,0,0,0,0,1,2,0,0,.341,.509,.850,.252
May 18,@ KC,L 5-2,4,1,2,0,0,0,0,0,2,0,0,.344,.509,.853,.258
May 19,@ KC,W 8-3,5,1,1,0,0,1,1,0,1,0,0,.340,.518,.858,.256
May 20,@ KC,W 10-1,5,1,2,1,0,0,0,0,2,0,0,.342,.520,.862,.260
May 21,@ TEX,W 10-5,4,0,1,0,0,0,1,0,1,0,0,.338,.514,.852,.260
May 22,@ TEX,L 6-4,4,1,1,0,0,0,0,0,0,0,0,.337,.508,.845,.260
May 23,@ TEX,L 12-10,4,1,1,0,0,0,0,0,1,0,0,.338,.503,.841,.259
May 25,vs LAA,W 2-1,4,0,0,0,0,0,0,0,1,0,0,.332,.492,.824,.254
May 26,vs LAA,L 11-4,4,0,0,0,0,0,0,0,2,0,0,.326,.482,.808,.249
May 27,vs LAA,W 3-1,4,0,0,0,0,0,0,0,4,0,0,.320,.472,.792,.244
May 28,vs HOU,L 5-1,Did not play
May 29,vs HOU,W 6-5,5,0,1,0,0,0,0,0,1,0,0,.317,.465,.782,.243
May 30,vs HOU,W 5-3,2,0,1,0,0,0,1,1,0,0,0,.320,.466,.786,.245
Jun 1,@ BAL,W 4-1,4,0,0,0,0,0,0,0,2,0,0,.315,.457,.772,.240
Jun 2,@ BAL,W 8-5,4,1,2,0,0,1,2,1,1,0,0,.321,.472,.793,.245
Jun 4,@ DET,W 7-4,5,1,1,0,0,0,0,0,1,0,0,.318,.465,.783,.244
Jun 4,@ DET,L 4-2,3,1,1,0,0,1,1,0,2,0,0,.321,.477,.798,.245
Jun 5,@ TOR,W 7-2,5,1,2,1,0,0,0,0,1,0,0,.323,.480,.803,.249
Jun 6,@ TOR,W 3-0,4,1,1,0,0,1,1,2,1,0,0,.327,.489,.816,.249
Jun 8,@ NYM,W 4-1,4,1,1,0,0,1,1,0,1,0,0,.326,.498,.824,.249
Jun 9,@ NYM,W 4-3,3,0,0,0,0,0,0,1,2,0,0,.325,.492,.817,.246
Jun 10,@ NYM,L 2-0,4,0,0,0,0,0,0,0,3,0,0,.320,.483,.803,.242
Jun 12,vs WSH,W 3-0,4,0,0,0,0,0,0,0,2,0,0,.315,.475,.790,.238
Jun 13,vs WSH,L 5-4,4,0,3,0,0,0,1,0,1,0,0,.321,.480,.801,.246
Jun 14,vs TB,W 4-3,4,0,0,0,0,0,0,0,2,0,0,.317,.472,.789,.242
Jun 15,vs TB,W 5-0,2,1,0,0,0,0,1,1,1,0,0,.316,.469,.785,.240
Jun 16,vs TB,W 4-1,4,1,1,0,0,1,1,0,0,0,0,.315,.477,.792,.240
Jun 17,vs TB,L 3-1,3,0,1,0,0,0,0,1,2,0,0,.318,.475,.793,.241
Jun 18,@ WSH,W 4-2,5,0,4,1,0,0,2,0,1,0,0,.326,.485,.811,.252
Jun 19,vs SEA,W 7-2,4,1,1,0,0,1,1,0,1,0,0,.325,.493,.818,.252
Jun 20,vs SEA,W 7-5,4,1,2,0,0,1,2,0,2,0,0,.329,.504,.833,.255
Jun 21,vs SEA,W 4-3,4,0,0,0,0,0,0,0,2,0,0,.325,.496,.821,.252
Jun 22,@ TB,L 2-1,3,0,0,0,0,0,0,1,1,0,0,.324,.491,.815,.249
Jun 23,@ TB,L 4-0,4,0,1,1,0,0,0,0,2,0,0,.323,.491,.814,.249
