DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 23,vs CHW,L 5-3,0.2,2,1,1,0,1,1,2,1,28,6,-,-,BlSv(1),2.77
Jul 20,vs HOU,L 3-1,1.0,1,0,0,0,2,1,1,1,27,5,-,-,-,2.19
Jul 14,@ LAD,W 5-4,0.2,0,0,0,0,1,1,1,0,11,3,-,-,-,2.38
Jul 13,@ LAD,L 3-2,1.0,1,0,0,0,0,1,1,2,19,4,-,-,H(3),2.53
Jul 11,vs SEA,L 3-0,1.0,0,0,0,0,0,0,3,0,9,3,-,-,-,2.79
Jul 10,vs SEA,W 9-3,1.0,0,0,0,0,0,1,1,1,11,3,-,-,-,3.12
Jul 8,vs LAD,W 4-3,1.0,1,0,0,0,0,0,2,1,16,3,-,-,H(2),3.52
Jul 6,vs LAD,W 3-2,1.1,0,0,0,0,0,2,1,1,13,4,-,-,-,4.05
Jul 4,@ SEA,W 7-4,1.0,0,0,0,0,1,2,0,1,16,4,-,-,H(1),5.06
Jul 1,@ BAL,L 8-2,0.2,2,1,1,0,0,2,1,1,16,4,-,-,-,6.23
Jun 29,@ BAL,W 7-1,1.0,0,0,0,0,0,1,0,2,15,3,-,-,-,4.91
Jun 27,@ BOS,L 9-6,0.2,0,0,0,0,0,0,2,0,10,2,-,-,-,6.75
Jun 25,@ KC,L 2-0,1.0,2,1,1,0,1,1,3,0,20,5,-,-,-,9.00
Jun 24,vs TOR,L 7-6,1.0,2,1,1,1,0,1,2,2,21,5,-,L(0-1),-,9.00
"Previously with NYM, Acquired by LAA"
Jun 19,@ COL,L 10-8,1.2,3,2,2,1,3,1,3,3,37,10,-,-,-,5.03
Jun 17,@ ARI,W 5-3,1.0,1,0,0,0,1,0,1,2,14,4,-,-,-,4.50
Jun 14,@ ARI,L 6-3,1.2,0,1,1,0,1,2,1,2,22,6,-,-,-,4.76
Jun 2,vs CHC,L 7-1,1.0,0,0,0,0,0,1,0,2,11,3,-,-,-,4.70
May 31,vs CHC,L 5-1,1.0,2,2,2,1,1,1,0,4,24,6,-,L(2-2),-,5.02
May 28,@ ATL,W 8-5,3.0,2,0,0,0,1,3,4,4,45,13,-,-,-,4.05
May 8,@ CIN,L 7-2,0.1,3,2,2,1,1,0,1,3,19,5,-,-,-,5.23
May 6,vs COL,L 3-2,2.0,2,1,1,1,1,2,2,3,27,8,-,L(2-1),-,3.60
Apr 16,vs WSH,L 8-6,1.0,1,1,1,1,0,0,1,3,15,4,-,-,-,3.38
Apr 15,vs MIL,W 3-2,1.0,0,0,0,0,0,1,0,2,8,3,-,-,-,2.57
Apr 14,vs MIL,L 5-1,1.0,1,1,1,1,0,2,0,2,14,4,-,-,-,3.00
Apr 10,@ MIA,W 8-6,1.0,1,0,0,0,1,2,0,2,18,5,-,W(2-0),-,1.80
Apr 9,@ MIA,W 4-2,1.0,2,0,0,0,0,1,1,3,22,5,-,-,H(2),2.25
Apr 7,@ WSH,W 3-2,1.0,2,1,1,1,0,1,1,3,25,5,-,W(1-0),-,3.00
Apr 5,@ WSH,W 8-2,1.0,1,0,0,0,0,3,0,1,21,4,-,-,-,0.00
Apr 4,vs PHI,W 4-2,1.0,0,0,0,0,0,3,0,0,14,3,-,-,H(1),0.00
