DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Apr 3,@ MIL,L 5-4,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Apr 4,@ MIL,W 6-0,Did not play
Apr 5,vs ARI,L 3-1,0,0,0,0,0,0,0,1,0,0,0,.500,.000,.500,.000
Apr 7,vs ARI,W 5-3,1,0,0,0,0,0,0,0,1,0,0,.333,.000,.333,.000
Apr 8,vs ARI,L 4-1,Did not play
Apr 9,vs MIL,L 5-4,1,0,0,0,0,0,0,0,1,0,0,.250,.000,.250,.000
Apr 10,vs MIL,W 5-3,4,0,0,0,0,0,0,1,1,0,0,.222,.000,.222,.000
Apr 11,vs MIL,L 3-2,3,0,1,0,0,0,0,0,2,0,0,.250,.100,.350,.100
Apr 12,@ CIN,W 13-4,0,0,0,0,0,0,0,0,0,0,0,.308,.100,.408,.100
Apr 13,@ CIN,W 5-3,Did not play
Apr 14,@ CIN,W 6-1,4,1,1,0,0,0,0,0,1,1,0,.294,.143,.437,.143
Apr 15,@ CIN,W 3-2,2,1,1,0,0,1,2,1,0,0,1,.350,.375,.725,.188
Apr 17,@ CHC,W 5-3,1,1,1,0,0,0,0,0,0,0,0,.381,.412,.793,.235
Apr 19,@ CHC,L 8-5,4,1,1,0,0,0,0,0,1,1,0,.385,.381,.766,.238
Apr 20,vs CIN,W 4-2,3,0,1,0,0,0,0,1,1,1,0,.400,.375,.775,.250
Apr 21,vs CIN,W 4-3,2,0,1,0,0,0,0,1,0,0,0,.424,.385,.809,.269
Apr 22,vs CIN,W 9-2,4,1,2,0,0,0,0,0,1,0,0,.432,.400,.832,.300
Apr 24,vs NYM,L 6-5,0,0,0,0,0,0,0,0,0,0,0,.432,.400,.832,.300
Apr 25,vs NYM,W 9-1,2,2,0,0,0,0,0,1,0,0,0,.439,.375,.814,.281
Apr 26,vs NYM,W 4-3,0,0,0,0,0,0,0,0,0,0,0,.439,.375,.814,.281
Apr 27,@ PIT,L 6-5,0,0,0,0,0,0,0,0,0,0,0,.439,.375,.814,.281
Apr 28,@ PIT,L 6-2,Did not play
Apr 29,@ PIT,L 5-0,3,0,0,0,0,0,0,0,1,0,0,.409,.343,.752,.257
May 1,vs CHW,W 3-2,0,0,0,0,0,0,0,0,0,0,0,.409,.343,.752,.257
May 2,vs CHW,W 3-2,Did not play
May 4,vs CHC,W 3-2,1,0,0,0,0,0,0,0,0,0,0,.400,.333,.733,.250
May 5,vs CHC,W 8-6,3,2,1,0,0,0,0,1,0,1,0,.408,.333,.741,.256
May 6,vs CHC,W 4-3,7,1,2,0,0,0,0,0,3,0,1,.393,.326,.719,.261
May 7,vs MIN,L 6-0,3,0,1,0,0,0,0,1,1,0,0,.400,.327,.727,.265
May 8,vs MIN,L 7-1,3,0,0,0,0,0,0,0,1,0,0,.381,.308,.689,.250
May 10,@ SD,W 2-1,Did not play
May 11,@ SD,W 9-5,5,1,1,0,0,1,1,0,1,0,0,.368,.351,.719,.246
