DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 13,vs SEA,W 10-7,3.0,2,3,3,0,3,0,5,5,45,13,-,W(1-3),-,4.76
Jul 10,vs ARI,L 5-3,1.0,0,0,0,0,1,2,1,0,15,4,-,-,-,4.26
Jul 3,vs SF,W 8-1,1.0,1,0,0,0,1,0,2,2,18,5,-,-,-,4.44
Jun 27,@ SF,L 1-0,0.0,1,1,1,1,0,0,0,1,3,1,-,L(0-3),-,INF
Jun 23,vs MIA,L 6-2,1.1,0,0,0,0,0,0,2,2,7,4,-,-,-,4.24
Jun 20,vs NYM,W 10-8,1.0,1,0,0,0,2,0,2,1,28,5,-,-,H(4),4.50
Jun 18,vs NYM,L 12-2,1.2,2,2,2,1,0,2,2,3,24,7,-,-,-,4.71
Jun 16,@ TEX,L 5-2,0.0,2,3,3,0,1,0,1,1,15,3,-,L(0-2),-,INF
Jun 15,@ TEX,W 9-5,1.1,0,0,0,0,0,3,0,1,16,4,-,-,H(3),2.79
Jun 13,@ PHI,W 7-2,1.0,1,1,1,1,0,2,0,2,20,4,-,-,-,3.00
Jun 8,vs ARI,L 9-4,2.0,2,1,1,0,1,1,2,5,29,9,-,-,-,2.65
Jun 6,@ CIN,W 6-3,1.2,1,0,0,0,2,3,0,3,31,8,-,-,H(2),2.40
Jun 2,vs LAD,L 12-4,2.2,1,1,1,0,1,2,1,6,37,10,-,-,-,2.70
May 30,vs SF,L 7-4,1.2,2,2,2,0,0,1,2,3,23,7,-,L(0-1),-,2.53
May 28,vs SF,W 6-5,2.0,0,0,0,0,0,1,3,2,21,6,-,-,-,1.00
May 20,@ SF,L 9-5,1.1,1,0,0,0,1,1,0,4,28,6,-,-,-,1.29
May 13,vs MIL,L 7-3,1.2,2,1,1,1,1,1,4,2,43,8,-,-,-,1.59
May 10,vs MIL,L 5-2,2.0,0,0,0,0,1,0,2,4,23,7,-,-,-,0.00
May 2,@ CHC,W 11-2,1.0,1,0,0,0,1,0,1,3,14,5,-,-,-,0.00
Apr 23,vs SD,L 13-5,1.0,0,0,0,0,0,1,2,0,10,3,-,-,H(1),0.00
