DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 24,@ COL,W 8-2,1.0,0,0,0,0,0,1,1,1,15,3,-,W(2-2),-,1.49
Jul 20,@ LAA,W 3-1,1.0,0,0,0,0,0,2,1,0,17,3,-,-,Sv(9),1.53
Jul 13,vs DET,W 3-0,1.0,0,0,0,0,1,0,2,1,17,4,-,-,Sv(8),1.57
Jul 10,vs OAK,W 6-5,1.0,2,1,1,0,0,2,2,1,18,5,-,-,BlSv(3),1.62
Jul 8,vs CHW,W 2-1,1.0,0,0,0,0,0,2,1,0,9,3,-,-,Sv(7),1.39
Jul 3,@ TEX,W 5-3,1.1,1,0,0,0,1,2,3,0,35,6,-,-,Sv(6),1.44
Jun 28,@ TB,W 1-0,1.0,1,0,0,0,0,3,1,0,16,4,-,-,Sv(5),1.50
Jun 26,vs TOR,W 7-0,1.0,1,0,0,0,1,1,0,3,23,5,-,-,-,1.55
Jun 22,vs KC,L 1-0,1.0,1,0,0,0,2,2,0,2,24,6,-,-,-,1.61
Jun 19,vs TB,L 2-1,1.0,2,1,1,0,0,1,3,1,21,5,-,L(1-2),-,1.67
Jun 17,@ KC,W 7-4,1.0,0,0,0,0,1,1,1,0,13,3,-,-,Sv(4),1.38
Jun 14,@ OAK,W 7-3,1.0,0,0,0,0,0,1,1,1,12,3,-,-,-,1.44
Jun 10,@ TEX,W 8-7,1.0,0,0,0,0,0,3,0,0,16,3,-,-,Sv(3),1.50
Jun 9,@ TEX,W 4-3,1.0,1,0,0,0,1,0,3,0,16,4,-,-,Sv(2),1.57
Jun 6,vs SEA,W 7-5,1.1,2,0,0,0,0,2,3,1,20,6,-,-,Sv(1),1.64
Jun 2,vs BOS,L 5-4,0.1,0,0,0,0,1,1,0,0,10,2,-,-,-,1.74
May 31,vs BOS,W 4-2,0.1,0,0,0,0,0,0,1,0,5,1,-,-,H(3),1.77
May 29,@ NYY,L 6-5,1.0,0,0,0,0,0,2,0,1,10,3,-,-,H(2),1.80
May 27,@ CLE,L 10-9,0.2,2,0,0,0,0,0,0,4,14,4,-,-,BlSv(2),1.89
May 26,@ CLE,L 8-6,0.2,0,0,0,0,0,1,1,0,11,2,-,-,-,1.96
May 24,@ CLE,W 8-2,1.0,1,0,0,0,0,1,2,1,13,4,-,-,-,2.04
May 22,vs SF,W 11-2,1.0,0,0,0,0,0,2,1,0,17,3,-,-,-,2.16
May 19,vs CLE,L 5-4,1.0,0,0,0,0,0,1,1,1,9,3,-,-,-,2.30
May 13,vs TEX,W 6-1,0.2,3,1,1,1,0,1,1,3,19,5,-,-,-,2.45
May 11,vs TEX,L 1-0,1.0,0,0,0,0,0,1,2,0,12,3,-,-,-,1.93
May 6,@ ARI,L 3-1,1.0,0,0,0,0,0,2,0,1,17,3,-,-,-,2.08
May 5,@ ARI,L 4-3,1.0,0,0,0,0,0,1,0,2,7,3,-,-,-,2.25
May 2,vs NYY,L 4-0,0.2,2,1,1,0,1,1,1,2,22,5,-,-,-,2.45
Apr 28,vs OAK,W 11-0,1.0,1,0,0,0,1,0,2,1,21,4,-,-,-,1.74
Apr 23,vs LAA,L 2-0,1.0,0,0,0,0,1,0,3,0,21,4,-,-,-,1.93
Apr 21,@ CHW,W 10-1,1.0,0,0,0,0,0,0,2,1,15,3,-,-,-,2.16
Apr 19,@ SEA,W 9-2,0.1,2,0,0,0,0,0,0,3,12,3,-,-,-,2.45
Apr 15,vs TEX,L 3-1,1.0,3,2,2,0,0,1,1,4,22,6,-,L(1-1),-,2.57
Apr 14,vs TEX,L 6-5,1.0,0,0,0,0,0,2,1,0,11,3,-,-,H(1),0.00
Apr 11,@ MIN,L 9-8,1.0,0,0,0,0,0,1,1,1,7,3,-,-,-,0.00
Apr 10,@ MIN,L 4-1,1.0,0,0,0,0,0,1,1,1,12,3,-,-,-,0.00
Apr 4,vs BAL,W 3-2,1.0,1,0,0,0,0,2,1,1,15,4,-,-,-,0.00
Apr 3,vs BAL,W 10-6,1.0,2,1,0,0,0,2,0,3,16,5,-,W(1-0),BlSv(1),0.00
Mar 30,@ TEX,L 5-1,1.0,1,0,0,0,0,1,1,2,12,4,-,-,-,0.00
