DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 22,@ SEA,L 8-2,0.2,2,2,2,1,0,0,1,3,22,4,-,-,-,5.81
Jul 15,vs KC,W 10-1,1.0,0,0,0,0,0,1,0,2,10,3,-,-,-,5.61
Jul 10,vs STL,L 14-2,3.1,6,4,4,2,2,3,3,10,74,18,-,-,-,5.69
Jul 6,@ HOU,L 11-4,1.0,6,7,7,1,1,1,1,7,24,10,-,-,-,5.43
Jul 3,@ CIN,W 12-8,2.0,0,0,0,0,1,6,0,0,40,7,-,W(3-3),-,4.52
Jul 2,@ CIN,L 5-3,0.1,0,0,0,0,1,1,0,0,13,2,-,-,-,4.67
Jun 28,vs MIN,L 2-1,2.0,1,1,1,0,3,0,1,6,46,10,-,L(2-3),-,4.70
Jun 23,vs OAK,L 7-6,1.0,1,0,0,0,1,0,0,4,32,5,-,-,-,4.70
Jun 20,@ CLE,L 12-0,1.0,2,1,1,0,0,0,2,3,19,5,-,-,-,4.78
Jun 18,@ CLE,L 6-2,0.2,2,1,1,0,2,2,1,1,28,6,-,-,-,4.71
Jun 17,vs DET,L 3-1,1.0,0,0,0,0,0,0,0,3,21,3,-,-,-,4.61
Jun 16,vs DET,L 7-5,1.0,1,0,0,0,1,1,1,1,15,4,-,-,-,4.69
Jun 14,vs CLE,L 5-2,1.0,0,0,0,0,0,2,0,1,15,3,-,-,-,4.77
Jun 11,vs CLE,L 4-0,1.0,0,0,0,0,0,0,2,1,10,3,-,-,-,4.86
Jun 6,@ MIN,W 5-2,5.0,6,2,2,0,3,2,8,9,104,22,46,W(2-2),-,4.96
Jun 1,vs MIL,W 8-3,3.1,5,3,3,1,5,1,8,6,88,20,34,-,-,5.10
May 28,@ CLE,L 9-6,1.0,1,0,0,0,0,1,2,0,13,3,-,-,-,4.87
May 26,@ DET,W 8-4,5.0,7,3,2,2,1,5,7,11,84,24,47,W(1-2),-,4.98
May 21,vs BAL,L 3-2,6.0,5,3,3,3,2,7,3,12,92,24,55,L(0-2),-,5.17
May 16,@ PIT,L 3-2,5.0,2,2,2,0,3,2,5,8,64,19,54,-,-,5.29
May 11,@ CHC,L 11-2,2.1,5,1,1,1,0,2,3,7,52,12,-,-,-,5.60
May 8,vs PIT,L 10-6,1.0,0,0,0,0,0,1,1,1,16,3,-,-,-,5.76
May 5,vs MIN,L 8-4,3.1,6,8,8,1,6,2,5,8,89,21,12,L(0-1),-,6.00
Apr 29,@ KC,L 5-4,4.2,5,2,2,1,3,5,4,9,86,21,48,-,-,3.48
Apr 24,vs SEA,L 1-0,3.1,2,0,0,0,1,1,5,6,59,13,-,-,-,3.38
Apr 22,vs HOU,L 7-1,1.0,2,1,1,1,0,2,2,1,19,5,-,-,-,4.26
Apr 18,@ OAK,L 12-11,2.1,1,1,1,0,1,4,2,2,44,9,-,-,-,3.86
Apr 17,@ OAK,L 10-2,2.0,1,0,0,0,1,1,1,5,33,8,-,-,-,3.86
Apr 10,vs TB,L 6-5,2.2,3,1,1,1,2,2,3,4,42,11,-,-,-,4.91
Apr 7,vs DET,L 6-1,2.1,2,0,0,0,1,3,1,5,49,11,-,-,-,5.79
Apr 3,@ TOR,L 14-5,2.1,3,3,3,0,1,2,0,8,45,12,-,-,-,11.57
