DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 24,vs STL,L 4-2,6.2,5,2,2,0,2,8,4,12,115,26,62,-,-,6.29
May 28,@ ARI,L 12-5,4.0,6,8,6,2,1,3,10,7,82,21,-,L(1-7),-,6.68
May 23,vs PIT,L 5-4,5.0,10,4,4,1,3,3,11,10,97,27,31,-,-,6.21
May 18,vs CHC,L 8-1,4.2,10,6,6,0,5,3,9,11,88,28,18,L(1-6),-,6.11
May 12,@ LAD,W 5-3,5.0,10,3,3,1,2,4,7,14,81,27,37,W(1-5),-,5.59
May 7,vs NYM,L 7-6,4.0,8,6,6,3,1,3,5,12,86,21,24,L(0-5),-,5.61
May 1,vs MIL,L 7-6,5.0,6,5,5,2,1,1,8,12,86,22,35,L(0-4),-,4.81
Apr 26,vs ATL,L 7-4,5.0,7,4,4,2,1,1,7,14,50,23,37,-,-,4.19
Apr 21,@ STL,L 4-3,5.2,7,3,3,2,2,4,10,10,96,26,45,-,-,3.68
Apr 15,vs STL,L 3-2,7.0,4,3,3,1,2,4,9,10,90,25,59,L(0-3),-,3.42
Apr 10,@ PHI,L 6-1,6.0,2,1,1,0,0,7,6,8,93,22,71,-,-,3.24
Apr 5,@ PIT,L 5-2,4.2,7,5,4,1,3,2,9,11,84,25,31,L(0-2),-,4.22
Mar 30,vs WSH,L 2-0,6.0,4,1,1,0,3,3,7,12,104,25,-,L(0-1),-,1.50
