DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
May 14,vs TB,L 2-1,3,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000
May 15,vs TB,L 6-5,4,2,2,1,0,0,0,0,0,0,0,.286,.429,.715,.286
May 16,vs TB,L 5-3,4,0,1,0,0,0,0,0,1,0,0,.273,.364,.637,.273
May 18,vs NYY,W 5-2,3,0,0,0,0,0,1,1,1,0,0,.267,.286,.553,.214
May 19,vs NYY,L 8-3,3,0,0,0,0,0,0,1,1,0,0,.263,.235,.498,.176
May 20,vs NYY,L 10-1,3,1,2,0,0,0,0,0,1,0,0,.318,.300,.618,.250
May 21,@ STL,L 6-0,3,0,0,0,0,0,0,0,0,0,0,.280,.261,.541,.217
May 22,@ STL,W 5-1,0,0,0,0,0,0,0,1,0,0,0,.308,.261,.569,.217
May 23,@ STL,W 5-2,1,0,0,0,0,0,0,0,1,0,0,.296,.250,.546,.208
May 24,@ TEX,W 8-2,5,0,0,0,0,0,0,0,2,0,0,.250,.207,.457,.172
May 25,@ TEX,L 8-4,4,0,2,1,0,0,0,0,1,0,0,.278,.273,.551,.212
May 26,@ TEX,L 4-3,3,1,2,1,0,0,0,1,0,0,0,.325,.333,.658,.250
May 27,@ TEX,W 5-3,4,0,2,0,0,0,2,0,0,0,0,.341,.350,.691,.275
May 28,vs MIN,L 8-5,4,0,0,0,0,0,0,1,2,0,0,.327,.318,.645,.250
May 29,vs MIN,W 2-1,6,0,1,1,0,0,0,0,2,0,0,.309,.320,.629,.240
May 30,vs MIN,W 11-8,3,2,2,0,0,1,1,1,1,0,0,.339,.396,.735,.264
Jun 1,vs OAK,L 16-0,4,0,1,0,0,0,0,0,2,0,0,.333,.386,.719,.263
Jun 2,vs OAK,W 5-4,Did not play
Jun 3,vs OAK,L 5-1,3,0,0,0,0,0,0,0,1,0,0,.318,.367,.685,.250
Jun 4,@ LAA,L 9-6,4,1,1,1,0,0,0,0,1,0,0,.314,.375,.689,.250
Jun 5,@ LAA,L 1-0,3,0,1,0,0,0,0,0,1,0,0,.315,.373,.688,.254
Jun 6,@ LAA,L 4-3,3,0,1,0,0,0,0,1,2,0,0,.325,.371,.696,.257
Jun 7,@ OAK,L 4-1,3,0,1,0,0,0,0,0,1,0,0,.325,.370,.695,.260
Jun 8,@ OAK,L 7-2,4,0,1,0,0,0,0,0,0,0,0,.321,.364,.685,.260
Jun 9,@ OAK,W 2-0,3,0,0,0,0,0,0,1,2,0,0,.318,.350,.668,.250
Jun 10,@ OAK,L 3-2,4,0,1,0,0,0,0,0,1,0,0,.315,.345,.660,.250
Jun 12,vs CIN,L 5-1,4,1,1,0,0,1,1,0,1,0,0,.313,.375,.688,.250
Jun 13,vs CIN,L 7-0,4,0,0,0,0,0,0,0,1,0,0,.300,.359,.659,.239
Jun 15,vs HOU,L 7-3,4,0,1,0,0,0,0,0,2,0,0,.298,.354,.652,.240
Jun 16,vs HOU,L 10-2,3,0,0,0,0,0,0,1,3,0,0,.296,.343,.639,.232
Jun 17,vs HOU,L 7-4,4,1,1,0,0,1,2,0,0,0,0,.295,.369,.664,.233
Jun 18,vs TEX,L 6-3,4,0,1,0,0,0,0,0,1,0,0,.293,.364,.657,.234
Jun 19,vs TEX,L 4-1,4,0,0,0,0,0,0,0,2,0,0,.283,.351,.634,.225
Jun 20,vs TEX,L 3-2,4,0,2,1,0,0,1,0,0,0,1,.290,.365,.655,.235
Jun 22,@ HOU,W 1-0,4,0,0,0,0,0,0,0,2,0,0,.281,.353,.634,.227
Jun 23,@ HOU,L 4-3,4,1,1,0,0,1,3,0,2,0,0,.280,.374,.654,.228
Jun 24,@ HOU,L 11-3,4,0,1,0,0,0,0,0,1,0,0,.279,.370,.649,.228
Jun 25,vs LAA,W 2-0,3,1,1,1,0,0,0,1,2,0,1,.286,.377,.663,.231
Jun 26,@ MIL,L 5-1,0,0,0,0,0,0,0,1,0,0,0,.291,.377,.668,.231
Jun 27,@ MIL,W 5-4,3,1,0,0,0,0,0,1,1,0,0,.290,.368,.658,.226
Jun 29,@ SEA,L 4-1,3,0,0,0,0,0,0,0,0,0,0,.284,.360,.644,.221
Jun 30,@ SEA,L 6-4,Did not play
Jul 1,@ SEA,L 1-0,3,0,0,0,0,0,0,0,3,0,0,.278,.353,.631,.216
Jul 2,vs CLE,L 9-3,1,0,1,0,0,0,0,0,0,0,0,.283,.357,.640,.221
Jul 3,vs CLE,L 6-4,4,0,1,0,0,0,0,0,1,0,0,.282,.354,.636,.222
Jul 4,vs CLE,L 3-2,4,0,1,0,0,0,0,0,1,0,0,.281,.351,.632,.223
Jul 6,vs BOS,L 10-5,3,0,0,0,0,0,0,1,2,0,0,.280,.344,.624,.219
Jul 7,vs BOS,L 15-4,4,0,0,0,0,0,0,0,3,0,0,.274,.335,.609,.213
Jul 8,vs BOS,L 7-4,4,0,0,0,0,0,0,0,2,0,0,.267,.327,.594,.208
Jul 9,@ MIN,L 3-1,Did not play
Jul 10,@ MIN,W 9-4,5,2,2,0,1,0,1,0,2,0,0,.271,.341,.612,.213
Jul 11,@ MIN,L 8-5,Did not play
Jul 13,@ CHW,L 9-6,3,1,0,0,0,0,0,1,1,0,0,.271,.335,.606,.210
Jul 14,@ CHW,W 5-0,4,0,1,0,0,0,0,0,1,0,0,.270,.333,.603,.211
Jul 15,@ CHW,L 10-1,1,0,0,0,0,0,0,0,0,0,0,.269,.331,.600,.209
Jul 20,vs MIN,W 6-5,4,0,1,1,0,0,1,0,2,0,0,.268,.335,.603,.210
Jul 21,vs MIN,W 4-2,4,0,0,0,0,0,0,0,1,0,0,.263,.328,.591,.206
Jul 22,vs MIN,W 5-3,Did not play
Jul 23,vs DET,L 5-4,2,0,0,0,0,0,0,1,0,0,0,.264,.324,.588,.203
Jul 24,vs DET,W 5-4,Did not play
Jul 25,vs DET,L 8-4,4,1,1,0,0,0,0,0,1,0,0,.264,.323,.587,.204
