DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 22,vs BAL,W 5-4,5.0,4,1,1,0,0,9,5,5,102,19,-,-,-,4.18
Jul 12,@ BOS,L 6-4,3.2,5,5,0,1,1,6,7,4,98,19,46,L(10-6),-,4.29
Jul 7,vs NYY,L 8-5,2.2,4,6,6,2,6,5,1,6,84,18,25,L(10-5),-,4.44
Jul 1,vs DET,L 9-1,5.2,10,7,7,1,1,4,7,14,97,26,24,L(10-4),-,4.03
Jun 25,@ HOU,W 6-3,6.0,7,3,3,1,2,4,7,14,104,27,48,W(10-3),-,3.62
Jun 20,vs ATL,W 5-4,8.1,6,4,4,2,0,8,11,12,113,31,63,W(9-3),-,3.56
Jun 13,@ TB,L 1-0,5.0,1,0,0,0,3,4,7,6,98,20,66,-,-,3.48
Jun 8,vs BAL,W 5-1,7.0,2,1,0,0,2,3,8,12,105,25,72,W(8-3),-,3.71
Jun 2,@ DET,L 7-4,5.0,5,4,4,1,2,8,4,8,106,22,-,-,-,4.08
May 27,@ PHI,W 5-3,6.2,6,3,2,0,2,8,8,10,100,28,58,W(7-3),-,3.84
May 22,vs LAA,W 5-3,7.0,3,2,2,0,3,5,7,10,99,25,65,W(6-3),-,3.97
May 16,@ NYM,W 12-1,7.0,2,0,0,0,0,10,7,6,101,23,83,W(5-3),-,4.15
May 10,vs SEA,L 9-3,3.1,10,7,7,2,2,3,9,7,84,21,13,L(4-3),-,4.80
May 4,@ TB,L 6-2,5.2,4,3,3,1,4,3,8,8,108,24,-,L(4-2),-,3.67
Apr 29,vs TEX,W 7-2,7.0,5,2,2,1,0,9,9,7,99,25,68,W(4-1),-,3.50
Apr 24,vs BOS,W 4-3,7.0,4,1,1,0,0,10,6,9,97,25,75,-,-,3.72
Apr 18,vs KC,W 15-5,6.0,5,4,4,1,2,8,9,7,99,27,52,W(3-1),-,4.50
Apr 9,@ BAL,W 7-1,6.0,5,1,1,1,3,9,6,7,104,26,64,W(2-1),-,3.94
Apr 3,vs CHW,W 14-5,5.1,7,4,4,2,1,9,9,4,93,24,46,W(1-1),-,5.40
Mar 29,vs NYY,L 6-1,4.2,4,3,2,1,1,5,3,11,96,20,50,L(0-1),-,3.86
