DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Apr 3,vs TOR,W 3-2,4,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000
Apr 5,vs TOR,W 3-1,3,0,0,0,0,0,0,0,2,0,0,.000,.000,.000,.000
Apr 7,vs NYY,W 6-5,2,0,1,0,0,0,0,0,1,0,0,.111,.111,.222,.111
Apr 8,vs NYY,W 5-4,4,0,0,0,0,0,0,0,1,0,0,.077,.077,.154,.077
Apr 9,vs NYY,L 7-3,3,0,1,0,0,0,1,1,2,0,0,.176,.125,.301,.125
Apr 11,@ BOS,L 8-1,3,0,0,0,0,0,0,0,0,0,0,.150,.105,.255,.105
Apr 12,@ BOS,W 12-5,4,0,2,0,0,0,0,0,0,0,0,.208,.174,.382,.174
Apr 13,@ TOR,W 2-1,3,0,1,0,0,0,1,0,1,0,0,.222,.192,.414,.192
Apr 14,@ TOR,W 6-4,4,1,1,0,0,1,2,0,0,0,0,.226,.300,.526,.200
Apr 15,@ TOR,L 2-1,Did not play
Apr 16,@ TOR,W 11-4,5,2,3,2,0,0,1,0,0,0,0,.278,.400,.678,.257
Apr 18,@ CIN,L 9-3,4,0,0,0,0,0,0,0,2,0,0,.250,.359,.609,.231
Apr 19,@ CIN,W 2-0,4,1,1,0,0,0,0,0,2,0,0,.250,.349,.599,.233
Apr 20,@ CIN,W 2-1,4,0,2,1,0,0,1,0,2,0,0,.271,.383,.654,.255
Apr 21,vs BOS,W 2-0,3,0,0,0,0,0,0,0,0,0,0,.255,.360,.615,.240
Apr 22,vs BOS,W 4-2,4,0,1,0,0,0,0,0,0,0,0,.255,.352,.607,.241
Apr 23,vs BOS,L 6-2,4,0,0,0,0,0,0,0,1,0,0,.237,.328,.565,.224
Apr 24,vs TB,W 6-3,4,0,0,0,0,0,0,0,0,0,0,.222,.306,.528,.210
Apr 25,vs TB,L 2-0,3,0,0,0,0,0,0,0,0,0,0,.212,.292,.504,.200
Apr 26,vs TB,W 5-4,Did not play
Apr 28,@ NYY,L 14-11,5,0,2,0,0,0,0,0,1,0,0,.225,.300,.525,.214
Apr 29,@ NYY,L 12-4,4,0,0,0,0,0,0,0,0,0,0,.213,.284,.497,.203
Apr 30,@ NYY,W 7-4,3,0,0,0,0,0,0,2,1,0,0,.225,.273,.498,.195
May 1,@ BOS,W 5-2,4,0,0,0,0,0,0,0,1,0,0,.214,.259,.473,.185
May 2,@ BOS,L 5-2,3,0,1,0,0,0,0,0,0,0,0,.218,.262,.480,.190
May 3,@ BOS,L 4-2,4,0,2,0,0,0,1,0,1,0,0,.231,.273,.504,.205
May 4,@ BOS,W 8-3,4,1,1,0,0,0,1,1,0,0,0,.240,.272,.512,.207
May 5,vs CHW,W 4-2,4,0,0,0,0,0,0,0,1,0,0,.230,.260,.490,.198
May 6,vs CHW,W 6-5,4,0,1,0,0,0,0,0,0,0,0,.231,.260,.491,.200
May 7,vs CHW,W 4-0,4,0,0,0,0,0,0,0,2,0,0,.222,.250,.472,.192
May 8,vs WSH,W 6-4,3,1,1,0,0,0,0,1,0,0,0,.232,.252,.484,.196
May 9,vs WSH,W 5-4,5,0,2,1,0,0,1,0,1,0,0,.239,.268,.507,.205
May 10,@ WSH,L 7-6,3,1,1,0,0,0,0,1,1,0,0,.248,.270,.518,.209
May 12,@ KC,L 3-2,4,1,1,0,1,0,0,0,0,0,0,.248,.286,.534,.210
May 13,@ KC,L 4-3,4,0,0,0,0,0,0,0,2,0,0,.240,.276,.516,.203
May 14,@ KC,L 9-8,Did not play
May 16,@ DET,W 13-11,7,2,1,0,0,1,3,0,1,0,0,.235,.292,.527,.200
May 17,@ DET,L 5-4,4,0,0,0,0,0,1,0,1,0,0,.229,.284,.513,.194
May 18,@ DET,L 6-5,4,0,1,0,0,0,0,0,0,0,0,.229,.283,.512,.196
May 19,vs TOR,W 5-3,4,0,1,0,0,0,1,0,1,0,0,.230,.282,.512,.197
May 20,vs TOR,W 7-5,2,0,0,0,0,0,0,2,0,0,0,.237,.278,.515,.194
May 21,vs TOR,L 3-1,0,0,0,0,0,0,0,0,0,0,0,.237,.278,.515,.194
May 22,vs MIN,L 14-7,4,2,2,1,0,0,1,0,0,0,0,.244,.291,.535,.203
May 23,vs MIN,L 2-0,3,0,0,0,0,0,0,0,0,0,0,.239,.285,.524,.199
May 24,vs MIN,L 4-3,3,1,1,0,0,1,1,1,1,0,0,.245,.305,.550,.201
May 26,@ HOU,L 2-0,3,0,2,0,0,0,0,0,1,0,1,.253,.312,.565,.210
May 27,@ HOU,L 5-2,3,0,2,0,0,0,0,0,0,0,0,.260,.319,.579,.219
May 28,@ HOU,L 8-4,1,0,0,0,0,0,0,0,0,0,0,.259,.317,.576,.217
May 29,vs NYY,W 3-2,4,0,0,0,0,0,0,0,1,0,0,.253,.309,.562,.212
May 30,vs NYY,L 8-3,4,0,1,0,0,0,1,0,1,0,0,.253,.308,.561,.213
May 31,vs NYY,W 10-4,4,2,2,1,0,0,0,0,1,0,0,.258,.318,.576,.220
Jun 1,vs BOS,W 7-5,3,0,0,0,0,0,0,0,0,0,0,.254,.313,.567,.216
Jun 2,vs BOS,W 3-2,3,0,1,0,0,0,0,0,1,0,0,.255,.313,.568,.218
Jun 3,vs BOS,L 5-2,3,0,0,0,0,0,0,0,1,0,0,.251,.308,.559,.214
Jun 4,vs BOS,L 7-3,4,0,0,0,0,0,0,0,2,0,0,.246,.301,.547,.210
Jun 6,vs PIT,W 6-5,4,0,0,0,0,0,0,0,0,0,0,.241,.295,.536,.205
Jun 7,vs PIT,W 9-6,5,1,1,1,0,0,1,0,1,0,0,.240,.297,.537,.205
Jun 8,@ WSH,L 6-1,3,0,0,0,0,0,0,0,1,0,0,.237,.293,.530,.202
Jun 9,@ NYY,L 8-2,4,0,1,0,0,0,0,0,0,0,0,.237,.292,.529,.203
Jun 10,@ NYY,L 16-3,2,0,0,0,0,0,0,0,1,0,0,.235,.289,.524,.201
Jun 11,@ NYY,L 14-3,3,1,2,1,0,0,0,0,0,0,0,.241,.300,.541,.208
Jun 12,@ CHW,L 10-7,4,0,1,0,0,0,0,0,0,0,0,.241,.299,.540,.209
Jun 13,@ CHW,L 6-1,4,0,1,0,0,0,0,0,0,0,0,.241,.298,.539,.209
Jun 14,@ CHW,W 10-6,4,1,1,1,0,0,0,0,0,0,0,.241,.301,.542,.210
Jun 15,@ CHW,L 5-2,Did not play
Jun 16,vs STL,L 11-2,3,0,0,0,0,0,0,0,1,0,0,.238,.297,.535,.207
Jun 17,vs STL,W 15-7,4,1,2,2,0,0,3,1,1,0,0,.246,.310,.556,.212
Jun 18,vs STL,W 8-5,1,0,0,0,0,0,0,0,0,0,0,.248,.308,.556,.211
Jun 19,vs CLE,L 12-0,Did not play
Jun 20,vs CLE,W 6-5,Did not play
Jun 21,vs CLE,L 5-1,Did not play
Jun 22,vs CLE,L 6-3,Did not play
Jun 23,@ TB,L 15-5,Did not play
Jun 24,@ TB,W 8-3,Did not play
Jun 25,@ TB,W 8-5,Did not play
Jun 27,@ TOR,W 3-1,Did not play
Jun 28,@ TOR,L 4-0,Did not play
Jun 29,@ TOR,W 2-0,Did not play
Jun 30,vs TB,L 6-4,Did not play
Jul 1,vs TB,L 10-3,Did not play
Jul 2,vs TB,W 7-1,Did not play
Jul 3,@ MIL,L 8-1,Did not play
Jul 4,@ MIL,L 6-2,Did not play
Jul 5,@ MIL,L 4-0,Did not play
Jul 6,@ MIN,L 6-4,Did not play
Jul 7,@ MIN,L 9-6,Did not play
Jul 8,@ MIN,W 5-1,Did not play
Jul 9,@ MIN,W 11-5,Did not play
Jul 14,vs CHC,L 9-8,Did not play
Jul 15,vs CHC,L 10-3,Did not play
Jul 16,vs CHC,L 8-0,Did not play
Jul 17,vs TEX,W 3-1,Did not play
Jul 18,vs TEX,W 12-1,Did not play
Jul 19,vs TEX,W 10-2,Did not play
Jul 20,vs TEX,W 9-7,Did not play
Jul 21,vs HOU,L 8-7,Did not play
Jul 22,vs HOU,L 8-4,Did not play
Jul 23,vs HOU,W 9-7,Did not play
Jul 24,@ TB,W 5-0,Did not play
Jul 25,@ TB,L 5-4,Did not play
Jul 26,@ TB,L 5-1,Did not play
Jul 28,@ TEX,L 8-2,Did not play
Jul 29,@ TEX,W 4-0,Did not play
Jul 30,@ TEX,W 10-6,Did not play
Jul 31,vs KC,W 2-1,Did not play
Aug 1,vs KC,W 7-2,Did not play
Aug 2,vs KC,W 6-0,Did not play
Aug 3,vs DET,L 7-5,Did not play
Aug 4,vs DET,L 5-2,Did not play
Aug 5,vs DET,W 5-2,Did not play
Aug 6,vs DET,W 12-3,Did not play
Aug 7,@ LAA,W 6-2,Did not play
Aug 8,@ LAA,L 3-2,Did not play
Aug 9,@ LAA,L 5-1,Did not play
Aug 10,@ OAK,W 7-2,Did not play
Aug 11,@ OAK,L 5-4,Did not play
Aug 12,@ OAK,W 12-5,Did not play
Aug 13,@ OAK,L 9-3,Did not play
Aug 14,@ SEA,W 11-3,Did not play
Aug 15,@ SEA,L 3-1,Did not play
Aug 16,@ SEA,L 7-6,Did not play
Aug 18,vs LAA,W 9-7,Did not play
